ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,33.0,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,2.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",34.0,75.0,AK
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",32.0,2917.0,PA
10135,612.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,112.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",162.0,6925.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",21.0,969.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",133.0,8559.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,146.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",142.0,5662.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,112.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",74.0,11072.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",51.0,7387.0,PA
10135,888.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,278.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",5.0,715.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",8.0,393.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",42.0,1630.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",157.0,5535.0,TX
10136,694.0,"Abilene, TX: Abilene Regional",1.0,150.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,123.0,TX
10136,888.0,"Abilene, TX: Abilene Regional",1.0,167.0,TX
10139,194.0,"Ambler, AK: Ambler River",20.0,52.0,AK
10139,415.0,"Ambler, AK: Ambler River",48.0,192.0,AK
10139,416.0,"Ambler, AK: Ambler River",30.0,77.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",72.0,381.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",43.0,235.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",754.0,96953.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",443.0,63886.0,NM
10140,622.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,134.0,NM
10140,627.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,710.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",56.0,2369.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",107.0,6593.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",138.0,9186.0,NM
10140,655.0,"Albuquerque, NM: Albuquerque International Sunport",23.0,2861.0,NM
10140,656.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,136.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",448.0,29749.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",13.0,560.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",25.0,1557.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",65.0,9029.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",93.0,11682.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,376.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,119.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",9.0,1353.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",88.0,14560.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",59.0,2234.0,SD
10141,631.0,"Aberdeen, SD: Aberdeen Regional",1.0,39.0,SD
10141,638.0,"Aberdeen, SD: Aberdeen Regional",1.0,46.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",86.0,3795.0,GA
10146,638.0,"Albany, GA: Southwest Georgia Regional",1.0,66.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",979.0,4425.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",31.0,41.0,MA
10154,458.0,"Nantucket, MA: Nantucket Memorial",195.0,918.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",47.0,239.0,MA
10154,629.0,"Nantucket, MA: Nantucket Memorial",16.0,509.0,MA
10154,673.0,"Nantucket, MA: Nantucket Memorial",33.0,1529.0,MA
10154,675.0,"Nantucket, MA: Nantucket Memorial",30.0,666.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",176.0,8915.0,MA
10155,673.0,"Waco, TX: Waco Regional",5.0,297.0,TX
10155,675.0,"Waco, TX: Waco Regional",17.0,614.0,TX
