ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,33.0,"Kodiak Island, AK: Trident Basin Seaplane Base",10.0,1.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",22.0,39.0,AK
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,704.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",135.0,5493.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",83.0,4294.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",126.0,8233.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,35.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",81.0,3107.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",66.0,9933.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",29.0,3999.0,PA
10135,888.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,41.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,143.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",3.0,177.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",46.0,1823.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",151.0,5418.0,TX
10136,694.0,"Abilene, TX: Abilene Regional",1.0,122.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,90.0,TX
10139,194.0,"Ambler, AK: Ambler River",7.0,19.0,AK
10139,415.0,"Ambler, AK: Ambler River",47.0,173.0,AK
10139,416.0,"Ambler, AK: Ambler River",44.0,163.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",76.0,360.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",54.0,259.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",729.0,91062.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",447.0,66802.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",37.0,1676.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",104.0,6255.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",172.0,11978.0,NM
10140,655.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,139.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",393.0,27093.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,220.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,1210.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",68.0,9669.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",70.0,9012.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,176.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,139.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,800.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",94.0,15665.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",63.0,2500.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",88.0,3701.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",716.0,3241.0,MA
10154,458.0,"Nantucket, MA: Nantucket Memorial",209.0,991.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",41.0,218.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",53.0,2501.0,MA
10155,612.0,"Waco, TX: Waco Regional",1.0,105.0,TX
10155,673.0,"Waco, TX: Waco Regional",1.0,54.0,TX
10155,675.0,"Waco, TX: Waco Regional",15.0,545.0,TX
10155,676.0,"Waco, TX: Waco Regional",154.0,5158.0,TX
10155,677.0,"Waco, TX: Waco Regional",1.0,68.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",31.0,1331.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1.0,60.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",90.0,5459.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",131.0,20295.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",31.0,4205.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",67.0,12931.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",24.0,3680.0,NJ
10165,612.0,"Adak Island, AK: Adak",7.0,132.0,AK
10165,614.0,"Adak Island, AK: Adak",2.0,45.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",190.0,272.0,AK
10170,131.0,"Kodiak, AK: Kodiak Airport",53.0,149.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",35.0,173.0,AK
10170,432.0,"Kodiak, AK: Kodiak Airport",23.0,272.0,AK
10170,483.0,"Kodiak, AK: Kodiak Airport",65.0,1361.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",11.0,957.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",47.0,4590.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",12.0,29.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",44.0,192.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",116.0,4910.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",1.0,53.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",95.0,3861.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",64.0,2427.0,LA
10194,479.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,4.0,TX
10204,35.0,"Angoon, AK: Angoon Seaplane Base",11.0,19.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",57.0,112.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",35.0,115.0,AK
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",142.0,6319.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",117.0,6557.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",93.0,6279.0,GA
10208,655.0,"Augusta, GA: Augusta Regional at Bush Field",57.0,7966.0,GA
10208,656.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,136.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",2.0,123.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",58.0,2673.0,GA
10208,694.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,143.0,GA
10221,479.0,"Alliance, NE: Alliance Municipal",42.0,202.0,NE
10225,405.0,"Wainwright, AK: Wainwright Airport",32.0,117.0,AK
10225,416.0,"Wainwright, AK: Wainwright Airport",56.0,238.0,AK
10237,406.0,"Atka, AK: Atka Airport",14.0,33.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",93.0,213.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",15.0,21.0,AK
10241,416.0,"Akiak, AK: Akiak Airport",10.0,22.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",19.0,25.0,AK
10243,131.0,"Akhiok, AK: Akhiok Airport",6.0,17.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",4.0,13.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",130.0,129.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",83.0,204.0,AK
10245,432.0,"King Salmon, AK: King Salmon Airport",66.0,1917.0,AK
10245,459.0,"King Salmon, AK: King Salmon Airport",2.0,0.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",18.0,417.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",4.0,14.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",56.0,276.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",21.0,86.0,AK
10257,125.0,"Albany, NY: Albany International",18.0,52.0,NY
10257,612.0,"Albany, NY: Albany International",161.0,18950.0,NY
10257,614.0,"Albany, NY: Albany International",185.0,26180.0,NY
10257,629.0,"Albany, NY: Albany International",153.0,6463.0,NY
10257,631.0,"Albany, NY: Albany International",192.0,10963.0,NY
10257,638.0,"Albany, NY: Albany International",40.0,2556.0,NY
10257,655.0,"Albany, NY: Albany International",88.0,10774.0,NY
10257,673.0,"Albany, NY: Albany International",3.0,94.0,NY
10257,675.0,"Albany, NY: Albany International",387.0,14946.0,NY
10257,694.0,"Albany, NY: Albany International",104.0,12290.0,NY
10257,698.0,"Albany, NY: Albany International",199.0,20366.0,NY
10257,699.0,"Albany, NY: Albany International",6.0,549.0,NY
10257,722.0,"Albany, NY: Albany International",24.0,3541.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",63.0,2208.0,IA
10272,479.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",106.0,671.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",80.0,4579.0,WA
10278,33.0,"Lazy Bay, AK: Alitak Seaplane Base",2.0,2.0,AK
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",8.0,6.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",142.0,14636.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",4.0,488.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",20.0,853.0,TX
10279,638.0,"Amarillo, TX: Rick Husband Amarillo International",131.0,7290.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",85.0,5066.0,TX
10279,675.0,"Amarillo, TX: Rick Husband Amarillo International",118.0,4922.0,TX
10298,612.0,"Anniston, AL: Anniston Regional",1.0,135.0,AL
10299,194.0,"Anchorage, AK: Ted Stevens Anchorage International",4.0,14.0,AK
