DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,415,4,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,415,4,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,415,4,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,415,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,10868,CAE,"Columbia, SC",SC,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,11973,GPT,"Gulfport/Biloxi, MS",MS,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10868,CAE,"Columbia, SC",SC,10397,ATL,"Atlanta, GA",GA,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11973,GPT,"Gulfport/Biloxi, MS",MS,10397,ATL,"Atlanta, GA",GA,631,4,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,10185,AEX,"Alexandria, LA",LA,699,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11193,CVG,"Cincinnati, OH",KY,698,4,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11292,DEN,"Denver, CO",CO,623,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13487,MSP,"Minneapolis, MN",MN,622,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,15304,TPA,"Tampa, FL",FL,622,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10615,BIF,"El Paso, TX",TX,11298,DFW,"Dallas/Fort Worth, TX",TX,622,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10721,BOS,"Boston, MA",MA,10185,AEX,"Alexandria, LA",LA,698,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10721,BOS,"Boston, MA",MA,10397,ATL,"Atlanta, GA",GA,622,4,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11193,CVG,"Cincinnati, OH",KY,10397,ATL,"Atlanta, GA",GA,698,4,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11292,DEN,"Denver, CO",CO,10397,ATL,"Atlanta, GA",GA,623,4,L
