DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,415,1,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,415,1,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,415,1,F
0.00,0.00,3E,21253,"Multi-Aero, Inc. d/b/a Air Choice One",0MQ,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,415,1,F
0.00,0.00,AAT,19650,Air Sunshine Inc.,AAT,14843,SJU,"San Juan, PR",PR,15626,VQS,"Vieques, PR",PR,125,1,F
0.00,0.00,AAT,19650,Air Sunshine Inc.,AAT,15626,VQS,"Vieques, PR",PR,14843,SJU,"San Juan, PR",PR,125,1,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,13485,MSN,"Madison, WI",WI,13342,MKE,"Milwaukee, WI",WI,675,1,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13619,NC1,"Gastonia, NC",NC,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11630,FAI,"Fairbanks, AK",AK,14533,RIV,"Riverside, CA",CA,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,14679,SAN,"San Diego, CA",CA,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13244,MEM,"Memphis, TN",TN,10397,ATL,"Atlanta, GA",GA,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,14533,RIV,"Riverside, CA",CA,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13851,OKC,"Oklahoma City, OK",OK,14275,PTK,"Pontiac, MI",MI,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13930,ORD,"Chicago, IL",IL,11618,EWR,"Newark, NJ",NJ,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14275,PTK,"Pontiac, MI",MI,12339,IND,"Indianapolis, IN",IN,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,13487,MSP,"Minneapolis, MN",MN,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14683,SAT,"San Antonio, TX",TX,12191,HOU,"Houston, TX",TX,622,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14869,SLC,"Salt Lake City, UT",UT,11630,FAI,"Fairbanks, AK",AK,626,1,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14908,SNA,"Santa Ana, CA",CA,12892,LAX,"Los Angeles, CA",CA,622,1,L
0.00,0.00,KO,20341,Alaska Central Express,KO,10170,ADQ,"Kodiak, AK",AK,12321,ILI,"Iliamna, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10245,AKN,"King Salmon, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10551,BET,"Bethel, AK",AK,15012,STG,"St. George Island, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10926,CDV,"Cordova, AK",AK,15171,TEK,"Tatitlek, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,11336,DLG,"Dillingham, AK",AK,15293,TOG,"Togiak, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14738,SDP,"Sandpoint, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12523,JNU,"Juneau, AK",AK,10926,CDV,"Cordova, AK",AK,405,1,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,1,G
