DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,13795,OAJ,"Jacksonville/Camp Lejeune, NC",NC,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11433,DTW,"Detroit, MI",MI,15096,SYR,"Syracuse, NY",NY,629,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,12451,JAX,"Jacksonville, FL",FL,12953,LGA,"New York, NY",NY,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,12953,LGA,"New York, NY",NY,12451,JAX,"Jacksonville, FL",FL,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,13795,OAJ,"Jacksonville/Camp Lejeune, NC",NC,10397,ATL,"Atlanta, GA",GA,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,15096,SYR,"Syracuse, NY",NY,11433,DTW,"Detroit, MI",MI,629,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,11391,DQK,"Fort Drum, NY",NY,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14533,RIV,"Riverside, CA",CA,687,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11298,DFW,"Dallas/Fort Worth, TX",TX,14533,RIV,"Riverside, CA",CA,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11391,DQK,"Fort Drum, NY",NY,10185,AEX,"Alexandria, LA",LA,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11391,DQK,"Fort Drum, NY",NY,10397,ATL,"Atlanta, GA",GA,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,14831,SJC,"San Jose, CA",CA,687,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11618,EWR,"Newark, NJ",NJ,13487,MSP,"Minneapolis, MN",MN,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12197,HPN,"White Plains, NY",NY,12478,JFK,"New York, NY",NY,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13232,MDW,"Chicago, IL",IL,12197,HPN,"White Plains, NY",NY,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13244,MEM,"Memphis, TN",TN,10397,ATL,"Atlanta, GA",GA,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13495,MSY,"New Orleans, LA",LA,10397,ATL,"Atlanta, GA",GA,624,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,10397,ATL,"Atlanta, GA",GA,624,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,10397,ATL,"Atlanta, GA",GA,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,10397,ATL,"Atlanta, GA",GA,687,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,11433,DTW,"Detroit, MI",MI,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,14533,RIV,"Riverside, CA",CA,624,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,14533,RIV,"Riverside, CA",CA,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,13619,NC1,"Gastonia, NC",NC,624,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,13619,NC1,"Gastonia, NC",NC,626,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,13619,NC1,"Gastonia, NC",NC,687,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14831,SJC,"San Jose, CA",CA,11433,DTW,"Detroit, MI",MI,687,11,L
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,10613,BID,"Block Island, RI",RI,15855,WST,"Westerly, RI",RI,079,11,F
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,15855,WST,"Westerly, RI",RI,10613,BID,"Block Island, RI",RI,079,11,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,12191,HOU,"Houston, TX",TX,12206,HRL,"Harlingen/San Benito, TX",TX,614,11,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,12206,HRL,"Harlingen/San Benito, TX",TX,12191,HOU,"Houston, TX",TX,614,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10140,ABQ,"Albuquerque, NM",NM,14570,RNO,"Reno, NV",NV,673,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11540,ELP,"El Paso, TX",TX,10140,ABQ,"Albuquerque, NM",NM,673,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12278,ICT,"Wichita, KS",KS,13198,MCI,"Kansas City, MO",MO,673,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,14100,PHL,"Philadelphia, PA",PA,12264,IAD,"Washington, DC",VA,631,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,14100,PHL,"Philadelphia, PA",PA,12264,IAD,"Washington, DC",VA,673,11,F
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10136,ABI,"Abilene, TX",TX,10747,BRO,"Brownsville, TX",TX,614,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10140,ABQ,"Albuquerque, NM",NM,14288,PUB,"Pueblo, CO",CO,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,10158,ACY,"Atlantic City, NJ",NJ,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,13303,MIA,"Miami, FL",FL,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,13303,MIA,"Miami, FL",FL,619,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,14092,PGV,"Greenville, NC",NC,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,14100,PHL,"Philadelphia, PA",PA,619,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,14524,RIC,"Richmond, VA",VA,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,14730,SDF,"Louisville, KY",KY,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,11986,GRR,"Grand Rapids, MI",MI,619,11,L
