DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,B6,20409,JetBlue Airways,B6,14747,SEA,"Seattle, WA",WA,12954,LGB,"Long Beach, CA",CA,699,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11977,GRB,"Green Bay, WI",WI,698,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14771,SFO,"San Francisco, CA",CA,699,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10559,BFI,"Seattle, WA",WA,10792,BUF,"Buffalo, NY",NY,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10800,BUR,"Burbank, CA",CA,14771,SFO,"San Francisco, CA",CA,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11193,CVG,"Cincinnati, OH",KY,11433,DTW,"Detroit, MI",MI,614,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,12478,JFK,"New York, NY",NY,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11977,GRB,"Green Bay, WI",WI,10397,ATL,"Atlanta, GA",GA,698,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12264,IAD,"Washington, DC",VA,13487,MSP,"Minneapolis, MN",MN,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,694,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12889,LAS,"Las Vegas, NV",NV,14747,SEA,"Seattle, WA",WA,888,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,13619,NC1,"Gastonia, NC",NC,626,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,12264,IAD,"Washington, DC",VA,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,14533,RIV,"Riverside, CA",CA,626,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12478,JFK,"New York, NY",NY,694,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,13619,NC1,"Gastonia, NC",NC,626,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14747,SEA,"Seattle, WA",WA,12889,LAS,"Las Vegas, NV",NV,888,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14747,SEA,"Seattle, WA",WA,14869,SLC,"Salt Lake City, UT",UT,723,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14771,SFO,"San Francisco, CA",CA,13796,OAK,"Oakland, CA",CA,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14831,SJC,"San Jose, CA",CA,12892,LAX,"Los Angeles, CA",CA,622,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,15304,TPA,"Tampa, FL",FL,10397,ATL,"Atlanta, GA",GA,626,9,F
0.00,0.00,KO,20341,Alaska Central Express,KO,10245,AKN,"King Salmon, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,11336,DLG,"Dillingham, AK",AK,10245,AKN,"King Salmon, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,11336,DLG,"Dillingham, AK",AK,15293,TOG,"Togiak, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14738,SDP,"Sandpoint, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12523,JNU,"Juneau, AK",AK,10926,CDV,"Cordova, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15012,STG,"St. George Island, AK",AK,14919,SNP,"St. Paul, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15293,TOG,"Togiak, AK",AK,10299,ANC,"Anchorage, AK",AK,405,9,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15991,YAK,"Yakutat, AK",AK,12523,JNU,"Juneau, AK",AK,405,9,G
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,10613,BID,"Block Island, RI",RI,15855,WST,"Westerly, RI",RI,079,9,F
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,15855,WST,"Westerly, RI",RI,10613,BID,"Block Island, RI",RI,079,9,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,11292,DEN,"Denver, CO",CO,12451,JAX,"Jacksonville, FL",FL,698,9,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12264,IAD,"Washington, DC",VA,12266,IAH,"Houston, TX",TX,698,9,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12451,JAX,"Jacksonville, FL",FL,11292,DEN,"Denver, CO",CO,698,9,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,13204,MCO,"Orlando, FL",FL,11618,EWR,"Newark, NJ",NJ,612,9,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,11697,FLL,"Fort Lauderdale, FL",FL,14492,RDU,"Raleigh/Durham, NC",NC,614,9,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,12889,LAS,"Las Vegas, NV",NV,11697,FLL,"Fort Lauderdale, FL",FL,614,9,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,14843,SJU,"San Juan, PR",PR,11697,FLL,"Fort Lauderdale, FL",FL,612,9,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11057,CLT,"Charlotte, NC",NC,10397,ATL,"Atlanta, GA",GA,673,9,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12264,IAD,"Washington, DC",VA,12953,LGA,"New York, NY",NY,673,9,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12951,LFT,"Lafayette, LA",LA,12266,IAH,"Houston, TX",TX,673,9,F
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,12016,GUM,"Guam, TT",TT,14582,ROP,"Rota, TT",TT,194,9,P
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,12016,GUM,"Guam, TT",TT,14955,SPN,"Saipan, TT",TT,079,9,L
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14582,ROP,"Rota, TT",TT,12016,GUM,"Guam, TT",TT,194,9,P
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14582,ROP,"Rota, TT",TT,14955,SPN,"Saipan, TT",TT,194,9,P
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14582,ROP,"Rota, TT",TT,15215,TIQ,"Tinian, TT",TT,079,9,L
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14955,SPN,"Saipan, TT",TT,12016,GUM,"Guam, TT",TT,079,9,P
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14955,SPN,"Saipan, TT",TT,14582,ROP,"Rota, TT",TT,194,9,P
1.00,0.00,1SQ,21570,Star Marianas Air Inc.,1SQ,14955,SPN,"Saipan, TT",TT,15215,TIQ,"Tinian, TT",TT,079,9,P
1.00,0.00,1TQ,21577,Rhoades Aviation dba Transair,1TQ,12982,LIH,"Lihue, HI",HI,12758,KOA,"Kona, HI",HI,620,9,P
1.00,0.00,1TQ,21577,Rhoades Aviation dba Transair,1TQ,13830,OGG,"Kahului, HI",HI,12758,KOA,"Kona, HI",HI,620,9,P
1.00,0.00,27Q,21652,"Jet Aviation Flight Services, Inc.",27Q,10158,ACY,"Atlantic City, NJ",NJ,15356,TTN,"Trenton, NJ",NJ,770,9,L
1.00,0.00,27Q,21652,"Jet Aviation Flight Services, Inc.",27Q,10397,ATL,"Atlanta, GA",GA,12264,IAD,"Washington, DC",VA,688,9,L
