ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",6.0,7.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",34.0,61.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",62.0,1659.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,593.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",82.0,5431.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",31.0,1183.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80.0,5202.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,729.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",2.0,199.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",5.0,147.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",78.0,2186.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",42.0,1385.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,103.0,TX
10139,194.0,"Ambler, AK: Ambler River",5.0,3.0,AK
10139,412.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",36.0,58.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",62.0,109.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",53.0,102.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",468.0,22531.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",311.0,15340.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",57.0,1247.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",36.0,1356.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,164.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,1026.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",289.0,7167.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,51.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",18.0,847.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",36.0,1796.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,1698.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,347.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,1495.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",57.0,1080.0,SD
10141,638.0,"Aberdeen, SD: Aberdeen Regional",5.0,169.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",60.0,1296.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",756.0,3306.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",115.0,376.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",124.0,759.0,MA
10154,638.0,"Nantucket, MA: Nantucket Memorial",14.0,548.0,MA
10154,673.0,"Nantucket, MA: Nantucket Memorial",64.0,3711.0,MA
10154,675.0,"Nantucket, MA: Nantucket Memorial",16.0,513.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",70.0,2895.0,MA
10155,673.0,"Waco, TX: Waco Regional",2.0,87.0,TX
10155,675.0,"Waco, TX: Waco Regional",8.0,285.0,TX
10155,676.0,"Waco, TX: Waco Regional",86.0,2042.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",92.0,3044.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1.0,43.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",9.0,463.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",2.0,92.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",15.0,1683.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",103.0,6239.0,NJ
10165,612.0,"Adak Island, AK: Adak",4.0,65.0,AK
10165,614.0,"Adak Island, AK: Adak",5.0,73.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",217.0,260.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",47.0,195.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",34.0,2752.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",13.0,1334.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",9.0,13.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",37.0,111.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",58.0,1295.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",30.0,1230.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",1.0,34.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",83.0,2575.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",25.0,830.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",2.0,0.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",29.0,65.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",28.0,78.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",58.0,2206.0,GA
10208,612.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,44.0,GA
10208,622.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,101.0,GA
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",2.0,37.0,GA
