ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,0.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",18.0,17.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",59.0,1145.0,PA
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",23.0,1157.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",61.0,1078.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",12.0,275.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",106.0,4063.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",106.0,2074.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",91.0,9130.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,786.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",2.0,76.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",1.0,37.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",41.0,716.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",124.0,2445.0,TX
10139,415.0,"Ambler, AK: Ambler River",39.0,125.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",72.0,213.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",51.0,154.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",681.0,39260.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",241.0,16160.0,NM
10140,622.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,143.0,NM
10140,623.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,127.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",58.0,1777.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,228.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,53.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",132.0,4316.0,NM
10140,656.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,144.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",424.0,14116.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",67.0,2155.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",15.0,689.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",79.0,4733.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",112.0,6315.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",49.0,5157.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,50.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,555.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",11.0,748.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",60.0,1125.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",77.0,1817.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",336.0,969.0,MA
10155,631.0,"Waco, TX: Waco Regional",46.0,907.0,TX
10155,673.0,"Waco, TX: Waco Regional",2.0,49.0,TX
10155,675.0,"Waco, TX: Waco Regional",34.0,807.0,TX
10155,676.0,"Waco, TX: Waco Regional",38.0,776.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",115.0,2554.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1.0,3.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",43.0,1500.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",57.0,4484.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",42.0,2786.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",205.0,20695.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",5.0,170.0,NJ
10165,612.0,"Adak Island, AK: Adak",7.0,181.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",156.0,190.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",34.0,140.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",52.0,2531.0,AK
10184,35.0,"Allakaket, AK: Allakaket Airport",1.0,1.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",2.0,2.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",38.0,149.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",100.0,2248.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",72.0,1445.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",62.0,1344.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",9.0,12.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",5.0,13.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",38.0,97.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",10.0,889.0,GA
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",102.0,2604.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",39.0,1124.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",171.0,5862.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",51.0,1704.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",50.0,1459.0,GA
10208,676.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,36.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",53.0,121.0,NE
10237,406.0,"Atka, AK: Atka Airport",13.0,5.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",16.0,18.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",10.0,11.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",6.0,13.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",14.0,18.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",7.0,23.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",100.0,66.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",2.0,0.0,AK
10245,406.0,"King Salmon, AK: King Salmon Airport",1.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",45.0,35.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",1.0,2.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",41.0,134.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",13.0,33.0,AK
10257,612.0,"Albany, NY: Albany International",155.0,10576.0,NY
10257,614.0,"Albany, NY: Albany International",178.0,12713.0,NY
10257,629.0,"Albany, NY: Albany International",109.0,2757.0,NY
10257,631.0,"Albany, NY: Albany International",52.0,1710.0,NY
10257,638.0,"Albany, NY: Albany International",66.0,2414.0,NY
10257,655.0,"Albany, NY: Albany International",57.0,4359.0,NY
10257,656.0,"Albany, NY: Albany International",7.0,510.0,NY
10257,673.0,"Albany, NY: Albany International",86.0,2532.0,NY
10257,675.0,"Albany, NY: Albany International",358.0,7155.0,NY
10257,678.0,"Albany, NY: Albany International",1.0,16.0,NY
10257,694.0,"Albany, NY: Albany International",127.0,10749.0,NY
10257,698.0,"Albany, NY: Albany International",54.0,3162.0,NY
10257,699.0,"Albany, NY: Albany International",4.0,315.0,NY
10257,722.0,"Albany, NY: Albany International",16.0,1654.0,NY
10257,888.0,"Albany, NY: Albany International",1.0,16.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",54.0,784.0,IA
10268,676.0,"Waterloo, IA: Waterloo Regional",1.0,3.0,IA
10272,479.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",93.0,269.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",56.0,1758.0,WA
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",4.0,2.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",122.0,6321.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",5.0,377.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",2.0,63.0,TX
10279,631.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,17.0,TX
10279,638.0,"Amarillo, TX: Rick Husband Amarillo International",102.0,3282.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",49.0,1544.0,TX
10279,675.0,"Amarillo, TX: Rick Husband Amarillo International",129.0,2467.0,TX
10279,676.0,"Amarillo, TX: Rick Husband Amarillo International",4.0,89.0,TX
10299,406.0,"Anchorage, AK: Ted Stevens Anchorage International",7.0,26.0,AK
10299,416.0,"Anchorage, AK: Ted Stevens Anchorage International",263.0,1553.0,AK
10299,459.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,0.0,AK
10299,479.0,"Anchorage, AK: Ted Stevens Anchorage International",33.0,160.0,AK
10299,612.0,"Anchorage, AK: Ted Stevens Anchorage International",530.0,31821.0,AK
10299,614.0,"Anchorage, AK: Ted Stevens Anchorage International",267.0,23061.0,AK
