ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",26.0,18.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",60.0,1603.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,90.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",76.0,4013.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",30.0,1000.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56.0,5114.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5.0,366.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",2.0,138.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",3.0,129.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",69.0,2384.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",46.0,1252.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,104.0,TX
10139,194.0,"Ambler, AK: Ambler River",2.0,3.0,AK
10139,412.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",41.0,74.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",60.0,123.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",50.0,129.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",312.0,22122.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",215.0,17657.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",91.0,3386.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",65.0,3094.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,227.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,516.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",264.0,10733.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,314.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,2125.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",28.0,2212.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,56.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",27.0,2298.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",63.0,1198.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",60.0,1360.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",790.0,3558.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",128.0,553.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",80.0,545.0,MA
10154,638.0,"Nantucket, MA: Nantucket Memorial",4.0,148.0,MA
10154,673.0,"Nantucket, MA: Nantucket Memorial",21.0,1013.0,MA
10154,675.0,"Nantucket, MA: Nantucket Memorial",2.0,88.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",44.0,1910.0,MA
10155,673.0,"Waco, TX: Waco Regional",5.0,190.0,TX
10155,675.0,"Waco, TX: Waco Regional",41.0,1032.0,TX
10155,676.0,"Waco, TX: Waco Regional",47.0,1046.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",62.0,1642.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",26.0,1503.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",14.0,1423.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",7.0,697.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",45.0,4398.0,NJ
10165,612.0,"Adak Island, AK: Adak",1.0,9.0,AK
10165,614.0,"Adak Island, AK: Adak",7.0,78.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",194.0,203.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",48.0,188.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",28.0,2201.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",17.0,1738.0,AK
10184,34.0,"Allakaket, AK: Allakaket Airport",1.0,1.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",6.0,9.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",33.0,131.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",73.0,1829.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",77.0,2462.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",27.0,936.0,LA
10194,614.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,39.0,TX
10204,40.0,"Angoon, AK: Angoon Seaplane Base",11.0,15.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",40.0,73.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",59.0,2419.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,59.0,GA
