ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,20443.0,Island Air Service,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",20.0,12.0,AK
10135,20304.0,SkyWest Airlines Inc.,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",84.0,2167.0,PA
10135,20304.0,SkyWest Airlines Inc.,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",30.0,940.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",17.0,650.0,PA
10135,20368.0,Allegiant Air,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85.0,8159.0,PA
10135,20368.0,Allegiant Air,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,240.0,PA
10135,20397.0,PSA Airlines Inc.,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,137.0,PA
10135,20397.0,PSA Airlines Inc.,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",82.0,4321.0,PA
10135,20398.0,Envoy Air,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",26.0,794.0,PA
10136,20304.0,SkyWest Airlines Inc.,629.0,"Abilene, TX: Abilene Regional",19.0,187.0,TX
10136,20398.0,Envoy Air,673.0,"Abilene, TX: Abilene Regional",1.0,71.0,TX
10136,20398.0,Envoy Air,675.0,"Abilene, TX: Abilene Regional",64.0,2247.0,TX
10136,20398.0,Envoy Air,676.0,"Abilene, TX: Abilene Regional",66.0,1972.0,TX
10139,20331.0,Bering Air Inc.,194.0,"Ambler, AK: Ambler River",6.0,9.0,AK
10139,20331.0,Bering Air Inc.,415.0,"Ambler, AK: Ambler River",29.0,54.0,AK
10140,19393.0,Southwest Airlines Co.,612.0,"Albuquerque, NM: Albuquerque International Sunport",310.0,24273.0,NM
10140,19393.0,Southwest Airlines Co.,614.0,"Albuquerque, NM: Albuquerque International Sunport",124.0,10427.0,NM
10140,19687.0,Horizon Air,673.0,"Albuquerque, NM: Albuquerque International Sunport",28.0,1023.0,NM
10140,19790.0,Delta Air Lines Inc.,699.0,"Albuquerque, NM: Albuquerque International Sunport",23.0,2101.0,NM
10140,19805.0,American Airlines Inc.,614.0,"Albuquerque, NM: Albuquerque International Sunport",14.0,1928.0,NM
10140,19805.0,American Airlines Inc.,698.0,"Albuquerque, NM: Albuquerque International Sunport",37.0,3381.0,NM
10140,19805.0,American Airlines Inc.,699.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,653.0,NM
10140,19930.0,Alaska Airlines Inc.,614.0,"Albuquerque, NM: Albuquerque International Sunport",24.0,1961.0,NM
10140,19930.0,Alaska Airlines Inc.,888.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,598.0,NM
10140,20304.0,SkyWest Airlines Inc.,629.0,"Albuquerque, NM: Albuquerque International Sunport",75.0,3183.0,NM
10140,20304.0,SkyWest Airlines Inc.,631.0,"Albuquerque, NM: Albuquerque International Sunport",74.0,4007.0,NM
10140,20304.0,SkyWest Airlines Inc.,638.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,35.0,NM
10140,20304.0,SkyWest Airlines Inc.,673.0,"Albuquerque, NM: Albuquerque International Sunport",187.0,8161.0,NM
10140,20368.0,Allegiant Air,694.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,23.0,NM
10140,20368.0,Allegiant Air,698.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,669.0,NM
10140,20378.0,Mesa Airlines Inc.,638.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,187.0,NM
10140,20378.0,Mesa Airlines Inc.,673.0,"Albuquerque, NM: Albuquerque International Sunport",27.0,1775.0,NM
10140,20398.0,Envoy Air,673.0,"Albuquerque, NM: Albuquerque International Sunport",147.0,9075.0,NM
10140,20409.0,JetBlue Airways,694.0,"Albuquerque, NM: Albuquerque International Sunport",9.0,468.0,NM
10140,20436.0,Frontier Airlines Inc.,722.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,205.0,NM
10140,20452.0,Republic Airline,673.0,"Albuquerque, NM: Albuquerque International Sunport",18.0,1067.0,NM
10140,21599.0,Boutique Air,479.0,"Albuquerque, NM: Albuquerque International Sunport",47.0,100.0,NM
10140,21894.0,"ADVANCED AIR, LLC",458.0,"Albuquerque, NM: Albuquerque International Sunport",65.0,140.0,NM
10141,20304.0,SkyWest Airlines Inc.,629.0,"Aberdeen, SD: Aberdeen Regional",70.0,1489.0,SD
10141,20304.0,SkyWest Airlines Inc.,638.0,"Aberdeen, SD: Aberdeen Regional",3.0,125.0,SD
10146,20363.0,Endeavor Air Inc.,629.0,"Albany, GA: Southwest Georgia Regional",85.0,1604.0,GA
10154,20253.0,Cape Air,125.0,"Nantucket, MA: Nantucket Memorial",610.0,2495.0,MA
10154,20409.0,JetBlue Airways,678.0,"Nantucket, MA: Nantucket Memorial",17.0,733.0,MA
10154,21080.0,Tradewind Aviation,479.0,"Nantucket, MA: Nantucket Memorial",42.0,247.0,MA
10154,21618.0,"Southern Airways Express, dba Mokulele Airlines",416.0,"Nantucket, MA: Nantucket Memorial",107.0,290.0,MA
10155,20398.0,Envoy Air,673.0,"Waco, TX: Waco Regional",3.0,106.0,TX
10155,20398.0,Envoy Air,675.0,"Waco, TX: Waco Regional",35.0,1133.0,TX
10155,20398.0,Envoy Air,676.0,"Waco, TX: Waco Regional",56.0,1640.0,TX
10157,20304.0,SkyWest Airlines Inc.,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",18.0,562.0,CA
10157,20304.0,SkyWest Airlines Inc.,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",53.0,2612.0,CA
10158,20416.0,Spirit Air Lines,694.0,"Atlantic City, NJ: Atlantic City International",17.0,2418.0,NJ
10158,20416.0,Spirit Air Lines,722.0,"Atlantic City, NJ: Atlantic City International",69.0,9432.0,NJ
10165,19930.0,Alaska Airlines Inc.,614.0,"Adak Island, AK: Adak",9.0,86.0,AK
10170,19930.0,Alaska Airlines Inc.,612.0,"Kodiak, AK: Kodiak Airport",38.0,3110.0,AK
10170,19930.0,Alaska Airlines Inc.,614.0,"Kodiak, AK: Kodiak Airport",4.0,409.0,AK
10170,20443.0,Island Air Service,79.0,"Kodiak, AK: Kodiak Airport",193.0,212.0,AK
10170,20443.0,Island Air Service,416.0,"Kodiak, AK: Kodiak Airport",43.0,134.0,AK
10184,20333.0,Wright Air Service,194.0,"Allakaket, AK: Allakaket Airport",5.0,19.0,AK
10184,20333.0,Wright Air Service,416.0,"Allakaket, AK: Allakaket Airport",35.0,99.0,AK
10185,20304.0,SkyWest Airlines Inc.,629.0,"Alexandria, LA: Alexandria International",47.0,963.0,LA
10185,20363.0,Endeavor Air Inc.,629.0,"Alexandria, LA: Alexandria International",89.0,1857.0,LA
10185,20363.0,Endeavor Air Inc.,638.0,"Alexandria, LA: Alexandria International",2.0,67.0,LA
