ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,20443.0,Island Air Service,35.0,10324.0,AOS,"Amook Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,35.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,35.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,35.0,12854.0,KWP,"West Point, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,2.0,AK
10056,20443.0,Island Air Service,35.0,15446.0,UGI,"Uganik, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,40.0,10278.0,ALZ,"Lazy Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,40.0,10324.0,AOS,"Amook Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,5.0,AK
10056,20443.0,Island Air Service,40.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,1.0,AK
10056,20443.0,Island Air Service,40.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,5.0,AK
10056,20443.0,Island Air Service,40.0,12782.0,KPR,"Port Williams, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,2.0,AK
10056,20443.0,Island Air Service,40.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,2.0,AK
10056,20443.0,Island Air Service,40.0,12854.0,KWP,"West Point, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,1.0,AK
10135,19805.0,American Airlines Inc.,614.0,14100.0,PHL,"Philadelphia, PA",PA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,39.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",78.0,1691.0,PA
10135,20304.0,SkyWest Airlines Inc.,631.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,28.0,PA
10135,20304.0,SkyWest Airlines Inc.,638.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,51.0,PA
10135,20304.0,SkyWest Airlines Inc.,673.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,26.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,10397.0,ATL,"Atlanta, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",28.0,999.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,12478.0,JFK,"New York, NY",NY,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,34.0,PA
10135,20368.0,Allegiant Air,694.0,10693.0,BNA,"Nashville, TN",TN,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,447.0,PA
10135,20368.0,Allegiant Air,694.0,11697.0,FLL,"Fort Lauderdale, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,228.0,PA
10135,20368.0,Allegiant Air,694.0,13577.0,MYR,"Myrtle Beach, SC",SC,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,62.0,PA
10135,20368.0,Allegiant Air,694.0,14082.0,PGD,"Punta Gorda, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",11.0,1074.0,PA
10135,20368.0,Allegiant Air,694.0,14112.0,PIE,"St. Petersburg, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,972.0,PA
10135,20368.0,Allegiant Air,694.0,14685.0,SAV,"Savannah, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,45.0,PA
10135,20368.0,Allegiant Air,694.0,14761.0,SFB,"Sanford, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",25.0,2462.0,PA
