ORIGIN_AIRPORT_ID,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10001,"Afognak Lake, AK: Afognak Lake Airport",0.0,0.0,
10003,"Granite Mountain, AK: Bear Creek Mining Strip",0.0,0.0,
10004,"Lik, AK: Lik Mining Camp",0.0,0.0,
10005,"Little Squaw, AK: Little Squaw Airport",0.0,0.0,
10006,"Kizhuyak, AK: Kizhuyak Bay",0.0,0.0,
10007,"Klawock, AK: Klawock Seaplane Base",0.0,0.0,
10008,"Elizabeth Island, AK: Elizabeth Island Airport",0.0,0.0,
10009,"Homer, AK: Augustin Island",0.0,0.0,
10010,"Hudson, NY: Columbia County",0.0,0.0,
10011,"Peach Springs, AZ: Grand Canyon West",0.0,0.0,
10012,"Blairstown, NJ: Blairstown Airport",0.0,0.0,
10013,"Crosbyton, TX: Crosbyton Municipal",0.0,0.0,
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",0.0,0.0,
10015,"Deadmans Bay, AK: Deadmans Bay Airport",0.0,0.0,
10016,"Hallo Bay, AK: Hallo Bay Airport",0.0,0.0,
10017,"Red Lake, AK: Red Lake Airport",0.0,0.0,
10018,"Shell Lake, AK: Shell Lake Airport",0.0,0.0,
10019,"Kougarok, AK: Navigator Airstrip",0.0,0.0,
10020,"Selawik, AK: Roland Norton Memorial",0.0,0.0,
10021,"Pillar Bay, AK: Pillar Bay Airport",0.0,0.0,
10022,"Johnstone Point, AK: Johnstone Point Airport",0.0,0.0,
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",0.0,0.0,
10024,"Bell Creek, AK: Bell Creek Airport",0.0,0.0,
10025,"Cinnabar, AK: Cinnabar Airport",0.0,0.0,
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",0.0,0.0,
10027,"Whitebear, AK: Whitebear Airport",0.0,0.0,
10028,"Puviaq, AK: Puviaq Airport",0.0,0.0,
10029,"Arley Lake, AK: Arley Lake Airport",0.0,0.0,
10030,"Port Vita, AK: Port Vita Airport",0.0,0.0,
10031,"Kantishna, AK: Kantishna Airport",0.0,0.0,
10033,"Alpine, AK: Alpine Airstrip",0.0,0.0,
10034,"Serpentine, AK: Serpentine Airport",0.0,0.0,
10035,"Driftwood Bay, AK: Driftwood Bay Airport",0.0,0.0,
10036,"Bradley Lake, AK: Bradley Lake Airport",0.0,0.0,
10037,"Chilkat Lake, AK: Chilkat Lake Airport",0.0,0.0,
10038,"Nugget Creek, AK: Nugget Creek Airport",0.0,0.0,
10039,"Ivotuk, AK: Ivotuk Airstrip",0.0,0.0,
10040,"Pogo Mines, AK: Pogo Mines Airport",0.0,0.0,
10041,"Ayakulik River, AK: Ayakulik River Airport",0.0,0.0,
10042,"Kiluda Bay, AK: Kiluda Bay Airport",0.0,0.0,
10043,"Terror Lake, AK: Terror Lake Airport",0.0,0.0,
10044,"Selief Bay, AK: Selief Bay Airport",0.0,0.0,
10047,"Laura Lake, AK: Laura Lake Airport",0.0,0.0,
10049,"Deep Bay, AK: Deep Bay Airport",0.0,0.0,
10050,"Kako, AK: Kako Airport",0.0,0.0,
10051,"Molly Creek, AK: Molly Creek Airport",0.0,0.0,
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",0.0,0.0,
10053,"Cape Simpson, AK: Cape Simpson Airport",0.0,0.0,
10054,"Kogru River, AK: Kogru River Airport",0.0,0.0,
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",0.0,0.0,
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",44.0,59.0,AK
10058,"Lake Florence, AK: Lake Florence Airport",0.0,0.0,
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",0.0,0.0,
10060,"Distin Lake, AK: Distin Lake Airport",0.0,0.0,
10061,"Port Hobron, AK: Port Hobron Airport",0.0,0.0,
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",0.0,0.0,
10063,"Big Bay, AK: Big Bay Airport",0.0,0.0,
10064,"Wien Lake, AK: Wien Lake Airport",0.0,0.0,
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",0.0,0.0,
10066,"Blear Lake, AK: Blear Lake Airport",0.0,0.0,
10067,"Cannery Bay, AK: Cannery Bay Airport",0.0,0.0,
10069,"Bear Lake, AK: Johnsons Landing",0.0,0.0,
10070,"International Seafoods, AK: International Seafoods Airport",0.0,0.0,
10071,"Cosna River, AK: Cosna River Airport",0.0,0.0,
10072,"Ivatuk, AK: Ivatuk Airport",0.0,0.0,
10074,"Cape Sarichef, AK: Cape Sarichef Airport",0.0,0.0,
10075,"Taylor Mountain Mine, AK: Taylor Mountain",0.0,0.0,
10076,"Yukon Charley Rivvers, AK: Coal Creek",0.0,0.0,
10078,"Karluk Portage, AK: Karluk Portage Airport",0.0,0.0,
10079,"Hope, AK: Hope Airport",0.0,0.0,
10080,"Viekoda Bay, AK: Viekoda Bay Airport",0.0,0.0,
10082,"Cold Bay, AK: Cathedral Strip",0.0,0.0,
10083,"Village Islands, AK: Village Islands Airport",0.0,0.0,
10084,"Homer, AK: Bear Cove Farm",0.0,0.0,
10085,"Chinitna Bay, AK: Chinitna Bay Airport",0.0,0.0,
10086,"McKinley Park, AK: McKinley National Park",0.0,0.0,
10087,"Nanwalek, AK: Dog Fish Bay",0.0,0.0,
10088,"Malina Bay, AK: Malina Bay Airport",0.0,0.0,
10089,"Red Fox Bay, AK: Red Fox Bay Airport",0.0,0.0,
10090,"Shearwater, AK: Shearwater Airport",0.0,0.0,
10091,"Cape Simpson, AK: Lake",0.0,0.0,
10092,"Cape Simpson, AK: Cape Simpson No. 1",0.0,0.0,
10093,"Cape Simpson, AK: Cape Simpson No. 7",0.0,0.0,
10094,"Aglaq, AK: Cape Simpson #1",0.0,0.0,
10095,"Nikiski, AK: Nikiski Private Airstrip",0.0,0.0,
10096,"Petrof Point, AK: Petrof Point Airport",0.0,0.0,
10097,"Denali, AK: Denali West Lodge Private",0.0,0.0,
10098,"Big River, AK: Big River Airport",0.0,0.0,
10100,"Carry Inlet, AK: Carry Inlet Airport",0.0,0.0,
10102,"Montague Island, AK: Montague Island Airport",0.0,0.0,
10103,"Shannon Pond, AK: Shannon Pond Airport",0.0,0.0,
10104,"Omalik Lagoon, AK: Omalik Lagoon Airport",0.0,0.0,
10105,"Omolik Lagoon, AK: Omolik Lagoon Airport",0.0,0.0,
10106,"Bradley Lake Project, AK: Bradley Lake Project Airport",0.0,0.0,
10107,"Barrow, AK: Ice Strip",0.0,0.0,
10108,"Barrow, AK: Ice Strip",0.0,0.0,
10109,"Barrow, AK: Ice Strip",0.0,0.0,
10110,"Akulik, AK: Akulik Air Strip",0.0,0.0,
10111,"Deadfall, AK: Deadfall Air Strip",0.0,0.0,
10112,"Eagle Creek, AK: Eagle Creek Airport",0.0,0.0,
10113,"Bethel, AK: Ice Kong",0.0,0.0,
10116,"Kachemak Bay, AK: Glacier Split",0.0,0.0,
10117,"Selby Lake, AK: Selby Lake Airport",0.0,0.0,
10118,"Anaa, French Polynesia: Anaa Airport",0.0,0.0,
10119,"Arrabury, Australia: Arrabury Station",0.0,0.0,
