DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,10647,BKL,"Cleveland, OH",OH,13105,LUK,"Cincinnati, OH",OH,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,13105,LUK,"Cincinnati, OH",OH,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,14050,PDK,"Atlanta, GA",GA,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,10647,BKL,"Cleveland, OH",OH,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,11057,CLT,"Charlotte, NC",NC,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,13232,MDW,"Chicago, IL",IL,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,14050,PDK,"Atlanta, GA",GA,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13232,MDW,"Chicago, IL",IL,13105,LUK,"Cincinnati, OH",OH,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,632,6,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,13105,LUK,"Cincinnati, OH",OH,632,6,L
0.00,0.00,4B,21599,Boutique Air,4B,10397,ATL,"Atlanta, GA",GA,12039,GWO,"Greenwood, MS",MS,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,10721,BOS,"Boston, MA",MA,10721,BOS,"Boston, MA",MA,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,10950,CEZ,"Cortez, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,13502,MTJ,"Montrose/Delta, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,15177,TEX,"Telluride, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11197,CVN,"Clovis, NM",NM,11298,DFW,"Dallas/Fort Worth, TX",TX,458,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11197,CVN,"Clovis, NM",NM,11298,DFW,"Dallas/Fort Worth, TX",TX,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11283,DDC,"Dodge City, KS",KS,11292,DEN,"Denver, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,10558,BFF,"Scottsbluff, NE",NE,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,11283,DDC,"Dodge City, KS",KS,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,13502,MTJ,"Montrose/Delta, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,15177,TEX,"Telluride, CO",CO,479,6,F
0.00,0.00,4B,21599,Boutique Air,4B,11298,DFW,"Dallas/Fort Worth, TX",TX,11197,CVN,"Clovis, NM",NM,458,6,F
