DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,15380,TVC,"Traverse City, MI",MI,11433,DTW,"Detroit, MI",MI,638,10,F
0.00,0.00,B6,20409,JetBlue Airways,B6,11697,FLL,"Fort Lauderdale, FL",FL,14771,SFO,"San Francisco, CA",CA,694,10,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11992,GSB,"Goldsboro, NC",NC,624,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,627,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,687,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,698,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,699,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,16218,YUM,"Yuma, AZ",AZ,624,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11298,DFW,"Dallas/Fort Worth, TX",TX,15304,TPA,"Tampa, FL",FL,627,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,13697,N1C,"Cherry Point, NC",NC,359,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11992,GSB,"Goldsboro, NC",NC,13087,LSV,"Las Vegas, NV",NV,624,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13087,LSV,"Las Vegas, NV",NV,10397,ATL,"Atlanta, GA",GA,624,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,10397,ATL,"Atlanta, GA",GA,624,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,13728,NPA,"Pensacola, FL",FL,699,10,L
