ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",5.0,3.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",14.0,19.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27.0,1039.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",134.0,3666.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",30.0,1548.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",143.0,7235.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",18.0,426.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",107.0,11665.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7.0,540.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,85.0,TX
10136,629.0,"Abilene, TX: Abilene Regional",49.0,805.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",4.0,244.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",120.0,4316.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",22.0,768.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,88.0,TX
10139,194.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",52.0,171.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",71.0,206.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",32.0,143.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",281.0,32356.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",175.0,22957.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",52.0,2393.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,194.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,835.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",108.0,7450.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",506.0,30032.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",60.0,2455.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",13.0,1462.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",12.0,1023.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",30.0,3678.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,642.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",18.0,2583.0,NM
10140,839.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,165.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,2620.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",60.0,1357.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",86.0,2404.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",410.0,1850.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",8.0,42.0,MA
10155,673.0,"Waco, TX: Waco Regional",5.0,310.0,TX
10155,675.0,"Waco, TX: Waco Regional",124.0,3747.0,TX
10155,676.0,"Waco, TX: Waco Regional",7.0,218.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",52.0,2375.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1.0,48.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",26.0,1605.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",140.0,18449.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",43.0,4758.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",110.0,15589.0,NJ
10165,612.0,"Adak Island, AK: Adak",1.0,5.0,AK
10165,614.0,"Adak Island, AK: Adak",7.0,122.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",140.0,157.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",40.0,151.0,AK
10170,483.0,"Kodiak, AK: Kodiak Airport",5.0,71.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",59.0,3472.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",14.0,558.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",6.0,22.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",36.0,142.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",112.0,2543.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",27.0,906.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",3.0,45.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",137.0,3787.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",1.0,23.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",17.0,18.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",5.0,12.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",51.0,165.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",2.0,157.0,GA
10208,614.0,"Augusta, GA: Augusta Regional at Bush Field",4.0,333.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",31.0,1430.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",226.0,10502.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",60.0,3618.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",117.0,4869.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",52.0,246.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",109.0,258.0,AK
10237,406.0,"Atka, AK: Atka Airport",12.0,7.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",60.0,105.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",14.0,8.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",3.0,8.0,AK
10241,416.0,"Akiak, AK: Akiak Airport",3.0,2.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",9.0,15.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",5.0,11.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",68.0,48.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",2.0,3.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",69.0,35.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",1.0,16.0,AK
10245,673.0,"King Salmon, AK: King Salmon Airport",30.0,1301.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",3.0,5.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",47.0,134.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",21.0,33.0,AK
10257,530.0,"Albany, NY: Albany International",22.0,990.0,NY
10257,608.0,"Albany, NY: Albany International",71.0,5197.0,NY
10257,612.0,"Albany, NY: Albany International",105.0,12318.0,NY
10257,614.0,"Albany, NY: Albany International",73.0,11817.0,NY
10257,629.0,"Albany, NY: Albany International",7.0,324.0,NY
10257,631.0,"Albany, NY: Albany International",87.0,4761.0,NY
10257,638.0,"Albany, NY: Albany International",58.0,3150.0,NY
10257,673.0,"Albany, NY: Albany International",109.0,6923.0,NY
10257,675.0,"Albany, NY: Albany International",209.0,9465.0,NY
10257,678.0,"Albany, NY: Albany International",59.0,4794.0,NY
10257,694.0,"Albany, NY: Albany International",21.0,2730.0,NY
10257,698.0,"Albany, NY: Albany International",6.0,583.0,NY
10257,699.0,"Albany, NY: Albany International",7.0,1128.0,NY
10257,722.0,"Albany, NY: Albany International",4.0,668.0,NY
10257,838.0,"Albany, NY: Albany International",3.0,424.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",30.0,743.0,IA
10272,629.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",53.0,784.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",59.0,2957.0,WA
10278,35.0,"Lazy Bay, AK: Alitak Seaplane Base",2.0,1.0,AK
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",3.0,0.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",72.0,8122.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",18.0,2296.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",108.0,4161.0,TX
10279,631.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,63.0,TX
10279,638.0,"Amarillo, TX: Rick Husband Amarillo International",115.0,7296.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",52.0,2977.0,TX
10279,675.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,33.0,TX
10279,698.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,57.0,TX
10279,838.0,"Amarillo, TX: Rick Husband Amarillo International",2.0,318.0,TX
10299,35.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,0.0,AK
10299,194.0,"Anchorage, AK: Ted Stevens Anchorage International",23.0,80.0,AK
10299,416.0,"Anchorage, AK: Ted Stevens Anchorage International",338.0,2153.0,AK
10299,479.0,"Anchorage, AK: Ted Stevens Anchorage International",51.0,182.0,AK
10299,483.0,"Anchorage, AK: Ted Stevens Anchorage International",305.0,4820.0,AK
10299,612.0,"Anchorage, AK: Ted Stevens Anchorage International",386.0,25462.0,AK
10299,614.0,"Anchorage, AK: Ted Stevens Anchorage International",375.0,35773.0,AK
10299,622.0,"Anchorage, AK: Ted Stevens Anchorage International",29.0,3545.0,AK
10299,623.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,136.0,AK
10299,634.0,"Anchorage, AK: Ted Stevens Anchorage International",16.0,1581.0,AK
