ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,3.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",13.0,5.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,55.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",127.0,1864.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",14.0,439.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",99.0,3875.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,87.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",48.0,4634.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,78.0,TX
10136,629.0,"Abilene, TX: Abilene Regional",32.0,316.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",4.0,82.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",81.0,2185.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",40.0,1007.0,TX
10139,194.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,412.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",49.0,92.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",63.0,112.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",41.0,114.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",258.0,18989.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",86.0,6056.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",25.0,891.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",78.0,3124.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,65.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",26.0,1051.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",381.0,14378.0,NM
