ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,1.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",16.0,15.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",92.0,3594.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",16.0,814.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",219.0,13664.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",55.0,1935.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",97.0,14391.0,PA
10136,629.0,"Abilene, TX: Abilene Regional",1.0,19.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",1.0,45.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",162.0,6359.0,TX
10139,194.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",64.0,207.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",75.0,320.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",40.0,206.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",449.0,55717.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",423.0,63985.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",78.0,3584.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",85.0,5133.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",10.0,1658.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,521.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",313.0,19929.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",92.0,4011.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",88.0,12148.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",85.0,9663.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",101.0,17199.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,364.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",10.0,1202.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,4587.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",36.0,5893.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",70.0,2359.0,SD
10141,638.0,"Aberdeen, SD: Aberdeen Regional",1.0,48.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",92.0,3045.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",603.0,2905.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",110.0,349.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",26.0,141.0,MA
10154,530.0,"Nantucket, MA: Nantucket Memorial",34.0,1515.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",85.0,4490.0,MA
10155,673.0,"Waco, TX: Waco Regional",1.0,50.0,TX
10155,675.0,"Waco, TX: Waco Regional",142.0,4698.0,TX
10157,612.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",12.0,1324.0,CA
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",6.0,733.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",37.0,1574.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",52.0,1851.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",121.0,5583.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",138.0,19691.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",8.0,904.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",1.0,78.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",101.0,13040.0,NJ
10165,612.0,"Adak Island, AK: Adak",7.0,197.0,AK
10165,614.0,"Adak Island, AK: Adak",1.0,49.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",211.0,260.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",35.0,150.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",37.0,2613.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",36.0,2937.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",1.0,0.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",33.0,131.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",68.0,2577.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",31.0,1537.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",2.0,82.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",129.0,4360.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",4.0,5.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",29.0,71.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",28.0,107.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",30.0,2667.0,GA
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",13.0,526.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",92.0,4602.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",182.0,11438.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",24.0,1618.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",71.0,3195.0,GA
10216,673.0,"Athens, GA: Athens/Ben Epps",2.0,116.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",53.0,339.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",119.0,284.0,AK
10237,406.0,"Atka, AK: Atka Airport",12.0,22.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",53.0,92.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",8.0,11.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",7.0,18.0,AK
10241,416.0,"Akiak, AK: Akiak Airport",3.0,0.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",14.0,16.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",4.0,3.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",92.0,42.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",3.0,0.0,AK
10245,406.0,"King Salmon, AK: King Salmon Airport",1.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",67.0,40.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",11.0,71.0,AK
10245,484.0,"King Salmon, AK: King Salmon Airport",1.0,40.0,AK
10245,673.0,"King Salmon, AK: King Salmon Airport",30.0,1062.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",5.0,11.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",55.0,182.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",13.0,27.0,AK
10257,530.0,"Albany, NY: Albany International",8.0,350.0,NY
10257,612.0,"Albany, NY: Albany International",40.0,5252.0,NY
10257,614.0,"Albany, NY: Albany International",194.0,29998.0,NY
10257,629.0,"Albany, NY: Albany International",6.0,287.0,NY
10257,631.0,"Albany, NY: Albany International",158.0,8966.0,NY
10257,638.0,"Albany, NY: Albany International",98.0,6339.0,NY
10257,673.0,"Albany, NY: Albany International",37.0,2159.0,NY
10257,675.0,"Albany, NY: Albany International",320.0,13893.0,NY
10257,677.0,"Albany, NY: Albany International",2.0,68.0,NY
10257,678.0,"Albany, NY: Albany International",3.0,261.0,NY
10257,694.0,"Albany, NY: Albany International",221.0,31518.0,NY
10257,698.0,"Albany, NY: Albany International",70.0,8370.0,NY
10257,699.0,"Albany, NY: Albany International",5.0,700.0,NY
10257,722.0,"Albany, NY: Albany International",15.0,2004.0,NY
10257,838.0,"Albany, NY: Albany International",27.0,4252.0,NY
10257,888.0,"Albany, NY: Albany International",4.0,671.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",51.0,1333.0,IA
10272,629.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",52.0,1053.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",54.0,3440.0,WA
10278,35.0,"Lazy Bay, AK: Alitak Seaplane Base",2.0,3.0,AK
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",3.0,2.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",116.0,11337.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",18.0,1949.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",116.0,4116.0,TX
10279,631.0,"Amarillo, TX: Rick Husband Amarillo International",3.0,157.0,TX
10279,638.0,"Amarillo, TX: Rick Husband Amarillo International",122.0,6954.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",41.0,2366.0,TX
10279,675.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,27.0,TX
10279,677.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,64.0,TX
10279,694.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,111.0,TX
10279,698.0,"Amarillo, TX: Rick Husband Amarillo International",31.0,2875.0,TX
