ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,20443.0,Island Air Service,35.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,1.0,AK
10056,20443.0,Island Air Service,35.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,2.0,AK
10056,20443.0,Island Air Service,40.0,10324.0,AOS,"Amook Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,1.0,AK
10056,20443.0,Island Air Service,40.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,2.0,AK
10056,20443.0,Island Air Service,40.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,0.0,AK
10056,20443.0,Island Air Service,40.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,2.0,AK
10135,20046.0,Air Wisconsin Airlines Corp,629.0,12264.0,IAD,"Washington, DC",VA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",43.0,665.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,11042.0,CLE,"Cleveland, OH",OH,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,11.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,185.0,PA
10135,20304.0,SkyWest Airlines Inc.,638.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,4.0,PA
10135,20363.0,Endeavor Air Inc.,629.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",73.0,1003.0,PA
10135,20363.0,Endeavor Air Inc.,631.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,11.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,10397.0,ATL,"Atlanta, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",34.0,1168.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,18.0,PA
10135,20368.0,Allegiant Air,694.0,10693.0,BNA,"Nashville, TN",TN,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,49.0,PA
10135,20368.0,Allegiant Air,694.0,11697.0,FLL,"Fort Lauderdale, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4.0,324.0,PA
10135,20368.0,Allegiant Air,694.0,14082.0,PGD,"Punta Gorda, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,1044.0,PA
10135,20368.0,Allegiant Air,694.0,14112.0,PIE,"St. Petersburg, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,1041.0,PA
10135,20368.0,Allegiant Air,694.0,14761.0,SFB,"Sanford, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",22.0,2106.0,PA
10135,20368.0,Allegiant Air,694.0,14986.0,SRQ,"Sarasota/Bradenton, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,70.0,PA
10135,20397.0,PSA Airlines Inc.,631.0,11057.0,CLT,"Charlotte, NC",NC,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",13.0,428.0,PA
10135,20397.0,PSA Airlines Inc.,638.0,11057.0,CLT,"Charlotte, NC",NC,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",63.0,2685.0,PA
10135,20398.0,Envoy Air,675.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,87.0,PA
10135,20500.0,GoJet Airlines LLC d/b/a United Express,530.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,55.0,PA
10136,19805.0,American Airlines Inc.,614.0,11298.0,DFW,"Dallas/Fort Worth, TX",TX,"Abilene, TX: Abilene Regional",1.0,78.0,TX
10136,20304.0,SkyWest Airlines Inc.,629.0,12266.0,IAH,"Houston, TX",TX,"Abilene, TX: Abilene Regional",32.0,316.0,TX
10136,20398.0,Envoy Air,673.0,11298.0,DFW,"Dallas/Fort Worth, TX",TX,"Abilene, TX: Abilene Regional",4.0,82.0,TX
10136,20398.0,Envoy Air,675.0,11298.0,DFW,"Dallas/Fort Worth, TX",TX,"Abilene, TX: Abilene Regional",81.0,2185.0,TX
10136,20398.0,Envoy Air,676.0,11298.0,DFW,"Dallas/Fort Worth, TX",TX,"Abilene, TX: Abilene Regional",40.0,1007.0,TX
10139,20331.0,Bering Air Inc.,194.0,13970.0,OTZ,"Kotzebue, AK",AK,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,20331.0,Bering Air Inc.,412.0,13970.0,OTZ,"Kotzebue, AK",AK,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,20331.0,Bering Air Inc.,415.0,13806.0,OBU,"Kobuk, AK",AK,"Ambler, AK: Ambler River",9.0,16.0,AK
10139,20331.0,Bering Air Inc.,415.0,13970.0,OTZ,"Kotzebue, AK",AK,"Ambler, AK: Ambler River",24.0,44.0,AK
10139,20331.0,Bering Air Inc.,415.0,14804.0,SHG,"Shungnak, AK",AK,"Ambler, AK: Ambler River",15.0,27.0,AK
10139,20331.0,Bering Air Inc.,415.0,15785.0,WLK,"Selawik, AK",AK,"Ambler, AK: Ambler River",1.0,5.0,AK
10140,19393.0,Southwest Airlines Co.,612.0,10423.0,AUS,"Austin, TX",TX,"Albuquerque, NM: Albuquerque International Sunport",2.0,243.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,11259.0,DAL,"Dallas, TX",TX,"Albuquerque, NM: Albuquerque International Sunport",64.0,4490.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,11292.0,DEN,"Denver, CO",CO,"Albuquerque, NM: Albuquerque International Sunport",39.0,2747.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,12191.0,HOU,"Houston, TX",TX,"Albuquerque, NM: Albuquerque International Sunport",37.0,1622.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,12889.0,LAS,"Las Vegas, NV",NV,"Albuquerque, NM: Albuquerque International Sunport",37.0,2972.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,13198.0,MCI,"Kansas City, MO",MO,"Albuquerque, NM: Albuquerque International Sunport",1.0,107.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,13232.0,MDW,"Chicago, IL",IL,"Albuquerque, NM: Albuquerque International Sunport",9.0,881.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,14107.0,PHX,"Phoenix, AZ",AZ,"Albuquerque, NM: Albuquerque International Sunport",67.0,5737.0,NM
10140,19393.0,Southwest Airlines Co.,612.0,14679.0,SAN,"San Diego, CA",CA,"Albuquerque, NM: Albuquerque International Sunport",1.0,89.0,NM
