DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,125,8,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12228,HUF,"Terre Haute, IN",IN,10397,ATL,"Atlanta, GA",GA,614,8,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,11433,DTW,"Detroit, MI",MI,888,8,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13076,LSE,"La Crosse, WI",WI,10397,ATL,"Atlanta, GA",GA,614,8,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13303,MIA,"Miami, FL",FL,10821,BWI,"Baltimore, MD",MD,622,8,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,12339,IND,"Indianapolis, IN",IN,626,8,L
0.00,0.00,KO,20341,Alaska Central Express,KO,10299,ANC,"Anchorage, AK",AK,10304,ANI,"Aniak, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10299,ANC,"Anchorage, AK",AK,14919,SNP,"St. Paul, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10304,ANI,"Aniak, AK",AK,10551,BET,"Bethel, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,8,G
0.00,0.00,UA,19977,United Air Lines Inc.,UA,11292,DEN,"Denver, CO",CO,12266,IAH,"Houston, TX",TX,698,8,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,15016,STL,"St. Louis, MO",MO,698,8,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,11292,DEN,"Denver, CO",CO,12451,JAX,"Jacksonville, FL",FL,838,8,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,13232,MDW,"Chicago, IL",IL,10721,BOS,"Boston, MA",MA,838,8,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,13232,MDW,"Chicago, IL",IL,14831,SJC,"San Jose, CA",CA,838,8,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,14747,SEA,"Seattle, WA",WA,11259,DAL,"Dallas, TX",TX,838,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10397,ATL,"Atlanta, GA",GA,12451,JAX,"Jacksonville, FL",FL,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10693,BNA,"Nashville, TN",TN,11278,DCA,"Washington, DC",VA,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10849,BZN,"Bozeman, MT",MT,11648,FCA,"Kalispell, MT",MT,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10994,CHS,"Charleston, SC",SC,12264,IAD,"Washington, DC",VA,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11049,CLL,"College Station/Bryan, TX",TX,12266,IAH,"Houston, TX",TX,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11057,CLT,"Charlotte, NC",NC,14492,RDU,"Raleigh/Durham, NC",NC,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11193,CVG,"Cincinnati, OH",KY,11066,CMH,"Columbus, OH",OH,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11996,GSP,"Greer, SC",SC,10397,ATL,"Atlanta, GA",GA,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12217,HSV,"Huntsville, AL",AL,10397,ATL,"Atlanta, GA",GA,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12264,IAD,"Washington, DC",VA,12953,LGA,"New York, NY",NY,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12278,ICT,"Wichita, KS",KS,13198,MCI,"Kansas City, MO",MO,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12448,JAN,"Jackson/Vicksburg, MS",MS,12266,IAH,"Houston, TX",TX,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,13244,MEM,"Memphis, TN",TN,15016,STL,"St. Louis, MO",MO,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,13851,OKC,"Oklahoma City, OK",OK,13198,MCI,"Kansas City, MO",MO,673,8,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,13931,ORF,"Norfolk, VA",VA,12953,LGA,"New York, NY",NY,673,8,F
