ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,0.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",14.0,9.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27.0,1174.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,157.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",153.0,9695.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",21.0,615.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",10.0,432.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",116.0,17859.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,154.0,PA
10136,673.0,"Abilene, TX: Abilene Regional",98.0,5654.0,TX
10139,405.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",47.0,184.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",72.0,339.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",53.0,277.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",361.0,41206.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",546.0,71819.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",23.0,1223.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,535.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,158.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",324.0,20087.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",56.0,2409.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",61.0,7401.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",57.0,5934.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",118.0,19470.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",34.0,4324.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",35.0,4820.0,NM
10140,839.0,"Albuquerque, NM: Albuquerque International Sunport",16.0,2006.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",47.0,5641.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",40.0,1504.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",69.0,2589.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",362.0,1654.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",16.0,81.0,MA
10155,631.0,"Waco, TX: Waco Regional",114.0,4235.0,TX
10155,675.0,"Waco, TX: Waco Regional",1.0,22.0,TX
