ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",13.0,10.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.0,1661.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.0,2386.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",131.0,7860.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27.0,677.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",78.0,12928.0,PA
10136,673.0,"Abilene, TX: Abilene Regional",3.0,135.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",107.0,3947.0,TX
10139,415.0,"Ambler, AK: Ambler River",53.0,179.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",67.0,256.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",40.0,180.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",406.0,47803.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",182.0,22666.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",89.0,3813.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",51.0,2747.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",11.0,1505.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",36.0,2321.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",291.0,16917.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",63.0,2810.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",17.0,1047.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",155.0,15578.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,575.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",111.0,15620.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,600.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",10.0,996.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",19.0,2215.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",55.0,1708.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",69.0,2511.0,GA
10146,631.0,"Albany, GA: Southwest Georgia Regional",1.0,28.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",298.0,1276.0,MA
10154,415.0,"Nantucket, MA: Nantucket Memorial",58.0,109.0,MA
10155,673.0,"Waco, TX: Waco Regional",1.0,21.0,TX
10155,675.0,"Waco, TX: Waco Regional",113.0,3044.0,TX
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",18.0,2520.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",17.0,682.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",28.0,1065.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",113.0,4288.0,CA
10157,675.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",9.0,130.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",68.0,10259.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",115.0,13868.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",23.0,4710.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",22.0,3299.0,NJ
10165,612.0,"Adak Island, AK: Adak",8.0,88.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",116.0,133.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",48.0,185.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",49.0,3199.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",4.0,327.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",31.0,131.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",68.0,2579.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",7.0,283.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",22.0,867.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",123.0,4324.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",5.0,6.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",43.0,112.0,AK
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,31.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",3.0,160.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",213.0,13268.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",51.0,2486.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",75.0,3001.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",48.0,279.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",101.0,224.0,AK
10237,406.0,"Atka, AK: Atka Airport",14.0,14.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",22.0,33.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",2.0,0.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",7.0,14.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",3.0,2.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",55.0,33.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",5.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",49.0,40.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",7.0,136.0,AK
10245,673.0,"King Salmon, AK: King Salmon Airport",25.0,376.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",2.0,3.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",47.0,153.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",12.0,26.0,AK
10257,530.0,"Albany, NY: Albany International",15.0,661.0,NY
10257,612.0,"Albany, NY: Albany International",74.0,9755.0,NY
10257,614.0,"Albany, NY: Albany International",107.0,15348.0,NY
10257,629.0,"Albany, NY: Albany International",1.0,22.0,NY
10257,631.0,"Albany, NY: Albany International",29.0,1605.0,NY
10257,638.0,"Albany, NY: Albany International",215.0,10220.0,NY
10257,673.0,"Albany, NY: Albany International",36.0,2140.0,NY
10257,675.0,"Albany, NY: Albany International",207.0,8503.0,NY
10257,677.0,"Albany, NY: Albany International",28.0,1415.0,NY
10257,678.0,"Albany, NY: Albany International",1.0,82.0,NY
10257,694.0,"Albany, NY: Albany International",183.0,24172.0,NY
10257,698.0,"Albany, NY: Albany International",21.0,1269.0,NY
10257,699.0,"Albany, NY: Albany International",7.0,1329.0,NY
10257,721.0,"Albany, NY: Albany International",10.0,1956.0,NY
10257,722.0,"Albany, NY: Albany International",13.0,1759.0,NY
10257,723.0,"Albany, NY: Albany International",1.0,5.0,NY
10257,838.0,"Albany, NY: Albany International",8.0,1138.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",50.0,905.0,IA
10272,629.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",43.0,649.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",55.0,2819.0,WA
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",4.0,2.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",100.0,10508.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",4.0,587.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",28.0,1114.0,TX
10279,631.0,"Amarillo, TX: Rick Husband Amarillo International",36.0,1792.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",64.0,3773.0,TX
10279,675.0,"Amarillo, TX: Rick Husband Amarillo International",67.0,2451.0,TX
10279,694.0,"Amarillo, TX: Rick Husband Amarillo International",5.0,186.0,TX
10279,698.0,"Amarillo, TX: Rick Husband Amarillo International",26.0,2221.0,TX
10279,699.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,97.0,TX
10299,194.0,"Anchorage, AK: Ted Stevens Anchorage International",57.0,204.0,AK
10299,406.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,0.0,AK
10299,416.0,"Anchorage, AK: Ted Stevens Anchorage International",275.0,1628.0,AK
10299,479.0,"Anchorage, AK: Ted Stevens Anchorage International",47.0,174.0,AK
10299,483.0,"Anchorage, AK: Ted Stevens Anchorage International",403.0,5923.0,AK
10299,484.0,"Anchorage, AK: Ted Stevens Anchorage International",19.0,506.0,AK
10299,612.0,"Anchorage, AK: Ted Stevens Anchorage International",322.0,20506.0,AK
10299,614.0,"Anchorage, AK: Ted Stevens Anchorage International",358.0,39343.0,AK
10299,622.0,"Anchorage, AK: Ted Stevens Anchorage International",5.0,849.0,AK
10299,623.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,179.0,AK
10299,634.0,"Anchorage, AK: Ted Stevens Anchorage International",13.0,1978.0,AK
10299,673.0,"Anchorage, AK: Ted Stevens Anchorage International",175.0,8810.0,AK
10299,839.0,"Anchorage, AK: Ted Stevens Anchorage International",95.0,13500.0,AK
10299,888.0,"Anchorage, AK: Ted Stevens Anchorage International",285.0,38927.0,AK
10299,889.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,62.0,AK
10304,35.0,"Aniak, AK: Aniak Airport",75.0,27.0,AK
10304,416.0,"Aniak, AK: Aniak Airport",75.0,28.0,AK
10304,479.0,"Aniak, AK: Aniak Airport",5.0,16.0,AK
10304,483.0,"Aniak, AK: Aniak Airport",20.0,314.0,AK
10313,35.0,"Anvik, AK: Anvik Airport",5.0,1.0,AK
10313,416.0,"Anvik, AK: Anvik Airport",7.0,1.0,AK
10322,458.0,"Altoona, PA: Altoona-Blair County",88.0,306.0,PA
10324,40.0,"Amook Bay, AK: Amook Bay Airport",4.0,2.0,AK
10333,629.0,"Alpena, MI: Alpena County Regional",43.0,729.0,MI
10349,416.0,"Arctic Village, AK: Arctic Village Airport",32.0,80.0,AK
10361,675.0,"Watertown, NY: Watertown International",43.0,1422.0,NY
10372,631.0,"Aspen, CO: Aspen Pitkin County Sardy Field",715.0,38146.0,CO
10396,416.0,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",55.0,215.0,AK
10397,359.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",80.0,18565.0,GA
10397,458.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",22.0,77.0,GA
10397,479.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.0,127.0,GA
10397,608.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2362.0,209278.0,GA
10397,612.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1383.0,137677.0,GA
10397,614.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1879.0,228536.0,GA
10397,622.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2010.0,351890.0,GA
10397,623.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",99.0,20892.0,GA
10397,624.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",124.0,24769.0,GA
10397,626.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",397.0,77203.0,GA
10397,629.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1605.0,64580.0,GA
10397,631.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",122.0,6603.0,GA
10397,634.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1.0,178.0,GA
10397,638.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1261.0,78180.0,GA
10397,673.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",721.0,38760.0,GA
10397,677.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",61.0,3154.0,GA
10397,678.0,"Atlanta, GA: Hartsfield-Jackson Atlanta International",76.0,5358.0,GA
