ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10011,416.0,"Peach Springs, AZ: Grand Canyon West",3.0,16.0,AZ
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,4.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",39.0,71.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,113.0,PA
10135,622.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,334.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",61.0,2624.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",42.0,2418.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",157.0,9607.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,0.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",60.0,2163.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",156.0,25789.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19.0,2573.0,PA
10136,673.0,"Abilene, TX: Abilene Regional",3.0,136.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",172.0,6490.0,TX
10139,194.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10139,412.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",59.0,279.0,AK
10139,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",74.0,374.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",50.0,283.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",328.0,42174.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",581.0,89443.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,7.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,468.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",52.0,3486.0,NM
