ORIGIN_AIRPORT_ID,NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",40.0,13.0,13.0,14.0,16.0,27.0,41.0,39.0,38.0,25.0,13.0,15.0,14.0,268.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",629.0,60.0,54.0,67.0,88.0,89.0,22.0,61.0,60.0,11.0,3.0,56.0,27.0,598.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",631.0,54.0,54.0,79.0,80.0,98.0,88.0,42.0,11.0,71.0,9.0,4.0,3.0,593.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",638.0,134.0,131.0,125.0,136.0,122.0,133.0,157.0,194.0,116.0,158.0,157.0,153.0,1716.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",675.0,57.0,27.0,46.0,58.0,63.0,62.0,60.0,30.0,,44.0,5.0,21.0,473.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",694.0,78.0,78.0,115.0,124.0,127.0,142.0,156.0,148.0,94.0,119.0,117.0,116.0,1414.0
10136,"Abilene, TX: Abilene Regional",673.0,1.0,3.0,6.0,3.0,,,3.0,10.0,1.0,7.0,3.0,98.0,135.0
10136,"Abilene, TX: Abilene Regional",675.0,147.0,107.0,145.0,173.0,181.0,175.0,172.0,171.0,172.0,178.0,145.0,,1766.0
10139,"Ambler, AK: Ambler River",194.0,2.0,,,,2.0,,2.0,,,,,,6.0
10139,"Ambler, AK: Ambler River",415.0,60.0,53.0,62.0,56.0,53.0,60.0,59.0,65.0,63.0,59.0,43.0,47.0,680.0
10140,"Albuquerque, NM: Albuquerque International Sunport",458.0,76.0,67.0,76.0,76.0,76.0,71.0,74.0,76.0,72.0,74.0,73.0,72.0,883.0
10140,"Albuquerque, NM: Albuquerque International Sunport",479.0,45.0,40.0,54.0,50.0,54.0,50.0,50.0,54.0,52.0,51.0,51.0,53.0,604.0
10140,"Albuquerque, NM: Albuquerque International Sunport",612.0,383.0,406.0,427.0,445.0,496.0,339.0,328.0,329.0,542.0,594.0,426.0,361.0,5076.0
10140,"Albuquerque, NM: Albuquerque International Sunport",614.0,246.0,182.0,209.0,379.0,456.0,494.0,581.0,536.0,453.0,551.0,570.0,546.0,5203.0
10140,"Albuquerque, NM: Albuquerque International Sunport",629.0,88.0,89.0,62.0,34.0,4.0,,,,5.0,4.0,1.0,,287.0
10140,"Albuquerque, NM: Albuquerque International Sunport",631.0,107.0,51.0,12.0,96.0,26.0,28.0,1.0,15.0,22.0,57.0,6.0,23.0,444.0
10140,"Albuquerque, NM: Albuquerque International Sunport",634.0,8.0,11.0,9.0,1.0,7.0,8.0,3.0,3.0,6.0,28.0,18.0,5.0,107.0
10140,"Albuquerque, NM: Albuquerque International Sunport",638.0,15.0,36.0,52.0,23.0,12.0,50.0,52.0,21.0,,,,3.0,264.0
10140,"Albuquerque, NM: Albuquerque International Sunport",673.0,322.0,291.0,376.0,330.0,433.0,373.0,410.0,354.0,363.0,389.0,383.0,324.0,4348.0
10140,"Albuquerque, NM: Albuquerque International Sunport",675.0,59.0,63.0,63.0,25.0,20.0,47.0,36.0,63.0,56.0,30.0,65.0,56.0,583.0
10140,"Albuquerque, NM: Albuquerque International Sunport",694.0,86.0,155.0,117.0,92.0,80.0,113.0,166.0,175.0,151.0,117.0,61.0,61.0,1374.0
10140,"Albuquerque, NM: Albuquerque International Sunport",698.0,22.0,6.0,108.0,60.0,73.0,85.0,87.0,109.0,74.0,54.0,45.0,57.0,780.0
10140,"Albuquerque, NM: Albuquerque International Sunport",699.0,147.0,111.0,236.0,116.0,92.0,94.0,76.0,64.0,94.0,103.0,89.0,118.0,1340.0
10140,"Albuquerque, NM: Albuquerque International Sunport",721.0,1.0,,3.0,3.0,4.0,,,,1.0,2.0,1.0,,15.0
10140,"Albuquerque, NM: Albuquerque International Sunport",722.0,7.0,6.0,5.0,5.0,8.0,6.0,7.0,35.0,27.0,33.0,32.0,34.0,205.0
10140,"Albuquerque, NM: Albuquerque International Sunport",838.0,17.0,10.0,25.0,30.0,20.0,30.0,32.0,35.0,30.0,20.0,35.0,35.0,319.0
10140,"Albuquerque, NM: Albuquerque International Sunport",888.0,16.0,19.0,15.0,10.0,54.0,28.0,31.0,36.0,54.0,38.0,57.0,47.0,405.0
10141,"Aberdeen, SD: Aberdeen Regional",629.0,60.0,55.0,63.0,60.0,60.0,60.0,62.0,62.0,60.0,62.0,55.0,40.0,699.0
10146,"Albany, GA: Southwest Georgia Regional",629.0,72.0,69.0,78.0,83.0,91.0,88.0,78.0,80.0,75.0,90.0,86.0,69.0,959.0
10154,"Nantucket, MA: Nantucket Memorial",125.0,308.0,298.0,348.0,455.0,526.0,505.0,516.0,497.0,541.0,411.0,348.0,362.0,5115.0
10154,"Nantucket, MA: Nantucket Memorial",416.0,53.0,,,,,,,,,,,,53.0
10155,"Waco, TX: Waco Regional",675.0,147.0,113.0,135.0,148.0,148.0,141.0,138.0,155.0,159.0,133.0,34.0,1.0,1452.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",614.0,23.0,18.0,23.0,20.0,14.0,13.0,13.0,13.0,15.0,13.0,4.0,,169.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",629.0,4.0,17.0,78.0,59.0,69.0,88.0,93.0,94.0,97.0,88.0,26.0,14.0,727.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",631.0,26.0,28.0,31.0,31.0,21.0,29.0,30.0,15.0,,,,1.0,212.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",673.0,144.0,113.0,74.0,89.0,81.0,57.0,53.0,54.0,48.0,52.0,92.0,103.0,960.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",675.0,12.0,9.0,9.0,,,,,,,,,,30.0
10158,"Atlantic City, NJ: Atlantic City International",694.0,75.0,68.0,72.0,86.0,96.0,105.0,115.0,107.0,88.0,68.0,84.0,84.0,1048.0
10158,"Atlantic City, NJ: Atlantic City International",698.0,94.0,115.0,160.0,127.0,134.0,153.0,166.0,174.0,105.0,114.0,99.0,78.0,1519.0
10158,"Atlantic City, NJ: Atlantic City International",699.0,22.0,23.0,29.0,27.0,21.0,3.0,4.0,1.0,1.0,1.0,21.0,30.0,183.0
10158,"Atlantic City, NJ: Atlantic City International",722.0,27.0,22.0,,16.0,24.0,54.0,57.0,54.0,54.0,53.0,33.0,33.0,427.0
10165,"Adak Island, AK: Adak",612.0,7.0,8.0,9.0,7.0,6.0,7.0,1.0,5.0,,1.0,3.0,2.0,56.0
10165,"Adak Island, AK: Adak",614.0,2.0,,,2.0,2.0,2.0,8.0,4.0,8.0,7.0,6.0,6.0,47.0
10170,"Kodiak, AK: Kodiak Airport",40.0,1.0,,,,,,,,,,,,1.0
10170,"Kodiak, AK: Kodiak Airport",79.0,147.0,116.0,138.0,155.0,168.0,235.0,269.0,266.0,243.0,236.0,220.0,152.0,2345.0
10170,"Kodiak, AK: Kodiak Airport",416.0,16.0,48.0,48.0,56.0,61.0,72.0,83.0,69.0,56.0,13.0,61.0,52.0,635.0
10170,"Kodiak, AK: Kodiak Airport",459.0,7.0,,,,,,,,,,,,7.0
10170,"Kodiak, AK: Kodiak Airport",612.0,47.0,49.0,51.0,67.0,53.0,15.0,13.0,5.0,29.0,36.0,35.0,27.0,427.0
10170,"Kodiak, AK: Kodiak Airport",614.0,6.0,4.0,10.0,7.0,15.0,85.0,106.0,112.0,67.0,30.0,22.0,17.0,481.0
10184,"Allakaket, AK: Allakaket Airport",416.0,38.0,31.0,48.0,39.0,34.0,50.0,48.0,59.0,51.0,42.0,33.0,40.0,513.0
10185,"Alexandria, LA: Alexandria International",629.0,74.0,68.0,78.0,81.0,139.0,80.0,66.0,59.0,55.0,45.0,30.0,25.0,800.0
10185,"Alexandria, LA: Alexandria International",631.0,9.0,7.0,10.0,4.0,53.0,4.0,1.0,31.0,87.0,96.0,97.0,88.0,487.0
10185,"Alexandria, LA: Alexandria International",638.0,18.0,22.0,23.0,2.0,,,,4.0,2.0,12.0,19.0,35.0,137.0
10185,"Alexandria, LA: Alexandria International",675.0,149.0,123.0,150.0,149.0,51.0,85.0,91.0,62.0,5.0,,,,865.0
10204,"Angoon, AK: Angoon Seaplane Base",35.0,2.0,5.0,2.0,1.0,2.0,2.0,23.0,18.0,4.0,12.0,25.0,12.0,108.0
10204,"Angoon, AK: Angoon Seaplane Base",416.0,37.0,43.0,53.0,46.0,50.0,47.0,31.0,34.0,39.0,35.0,34.0,28.0,477.0
10208,"Augusta, GA: Augusta Regional at Bush Field",608.0,1.0,,33.0,22.0,,1.0,1.0,1.0,,,,,59.0
10208,"Augusta, GA: Augusta Regional at Bush Field",612.0,1.0,,,,,,,,,,,,1.0
10208,"Augusta, GA: Augusta Regional at Bush Field",614.0,1.0,,,9.0,,,1.0,,,,,,11.0
10208,"Augusta, GA: Augusta Regional at Bush Field",631.0,8.0,3.0,29.0,25.0,53.0,105.0,123.0,112.0,62.0,42.0,8.0,26.0,596.0
10208,"Augusta, GA: Augusta Regional at Bush Field",638.0,217.0,213.0,180.0,273.0,216.0,159.0,156.0,157.0,199.0,174.0,267.0,239.0,2450.0
10208,"Augusta, GA: Augusta Regional at Bush Field",673.0,54.0,51.0,60.0,98.0,60.0,59.0,61.0,59.0,37.0,31.0,27.0,17.0,614.0
10208,"Augusta, GA: Augusta Regional at Bush Field",675.0,81.0,75.0,82.0,16.0,41.0,37.0,27.0,45.0,84.0,154.0,67.0,58.0,767.0
10208,"Augusta, GA: Augusta Regional at Bush Field",687.0,1.0,,,,,,,,,,,,1.0
10208,"Augusta, GA: Augusta Regional at Bush Field",888.0,1.0,,1.0,,,2.0,1.0,,,,,,5.0
10221,"Alliance, NE: Alliance Municipal",455.0,53.0,48.0,53.0,50.0,53.0,52.0,53.0,53.0,53.0,53.0,51.0,52.0,624.0
10225,"Wainwright, AK: Wainwright Airport",416.0,117.0,101.0,79.0,87.0,101.0,104.0,134.0,75.0,89.0,135.0,74.0,102.0,1198.0
10237,"Atka, AK: Atka Airport",406.0,13.0,14.0,13.0,14.0,15.0,12.0,14.0,16.0,16.0,16.0,10.0,13.0,166.0
10241,"Akiak, AK: Akiak Airport",35.0,34.0,22.0,46.0,67.0,67.0,64.0,48.0,53.0,50.0,50.0,46.0,35.0,582.0
10241,"Akiak, AK: Akiak Airport",36.0,10.0,2.0,6.0,3.0,7.0,15.0,19.0,12.0,6.0,9.0,5.0,19.0,113.0
10241,"Akiak, AK: Akiak Airport",79.0,4.0,,,5.0,3.0,,3.0,2.0,3.0,1.0,1.0,,22.0
