ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10005,05A,AK,Little Squaw Airport,Little Squaw,,,1.0,,,,1.0,,,,,,2.0
10042,A29,AK,Kiluda Bay Airport,Kiluda Bay,1.0,,,,,,,,1.0,,,,2.0
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,16.0,12.0,14.0,17.0,32.0,37.0,42.0,,24.0,17.0,16.0,15.0,242.0
10063,A50,AK,Big Bay Airport,Big Bay,,,,,,,1.0,,,,,,1.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,398.0,396.0,493.0,589.0,530.0,623.0,645.0,639.0,559.0,594.0,538.0,501.0,6505.0
10136,ABI,TX,Abilene Regional,Abilene,168.0,155.0,170.0,165.0,203.0,215.0,209.0,221.0,198.0,215.0,190.0,203.0,2312.0
10139,ABL,AK,Ambler River,Ambler,101.0,53.0,92.0,84.0,98.0,98.0,99.0,89.0,95.0,90.0,80.0,88.0,1067.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,2136.0,1897.0,2205.0,2127.0,2279.0,2384.0,2504.0,2564.0,2448.0,2611.0,2317.0,2335.0,27807.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,60.0,52.0,60.0,57.0,63.0,61.0,62.0,64.0,61.0,72.0,67.0,61.0,740.0
10146,ABY,GA,Southwest Georgia Regional,Albany,83.0,78.0,89.0,85.0,88.0,87.0,84.0,83.0,81.0,90.0,82.0,83.0,1013.0
10154,ACK,MA,Nantucket Memorial,Nantucket,574.0,476.0,595.0,654.0,1019.0,1507.0,2035.0,2061.0,1603.0,957.0,689.0,589.0,12759.0
10155,ACT,TX,Waco Regional,Waco,117.0,106.0,119.0,157.0,172.0,171.0,174.0,173.0,145.0,153.0,151.0,139.0,1777.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,121.0,108.0,121.0,118.0,122.0,171.0,172.0,222.0,180.0,203.0,177.0,215.0,1930.0
10158,ACY,NJ,Atlantic City International,Atlantic City,302.0,272.0,312.0,296.0,253.0,234.0,225.0,220.0,218.0,228.0,265.0,293.0,3118.0
10165,ADK,AK,Adak,Adak Island,9.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,101.0
10170,ADQ,AK,Kodiak Airport,Kodiak,346.0,316.0,339.0,379.0,424.0,429.0,475.0,160.0,444.0,399.0,355.0,292.0,4358.0
10172,ADW,MD,Joint Base Andrews,Camp Springs,,,,,,,,,1.0,,,,1.0
10184,AET,AK,Allakaket Airport,Allakaket,56.0,50.0,43.0,56.0,56.0,53.0,60.0,64.0,53.0,48.0,42.0,47.0,628.0
10185,AEX,LA,Alexandria International,Alexandria,255.0,243.0,282.0,276.0,276.0,250.0,257.0,265.0,275.0,294.0,279.0,280.0,3232.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,,1.0,2.0,3.0,1.0,5.0,,,1.0,,2.0,,15.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,42.0,54.0,93.0,93.0,103.0,95.0,111.0,109.0,88.0,66.0,67.0,65.0,986.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,390.0,351.0,462.0,533.0,471.0,461.0,466.0,475.0,425.0,438.0,425.0,440.0,5337.0
10216,AHN,GA,Athens/Ben Epps,Athens,,,,,,,,,,,3.0,1.0,4.0
10221,AIA,NE,Alliance Municipal,Alliance,78.0,69.0,66.0,75.0,42.0,49.0,55.0,53.0,51.0,54.0,49.0,53.0,694.0
10225,AIN,AK,Wainwright Airport,Wainwright,85.0,102.0,104.0,105.0,88.0,132.0,110.0,122.0,108.0,100.0,127.0,103.0,1286.0
10237,AKB,AK,Atka Airport,Atka,8.0,6.0,11.0,10.0,14.0,9.0,14.0,8.0,14.0,11.0,8.0,12.0,125.0
10241,AKI,AK,Akiak Airport,Akiak,68.0,58.0,106.0,171.0,118.0,61.0,114.0,106.0,114.0,131.0,118.0,102.0,1267.0
