ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10039,A26,AK,Ivotuk Airstrip,Ivotuk,,,,,,,,0.0,,,,,0.0
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,8.0,10.0,21.0,22.0,45.0,77.0,89.0,57.0,20.0,16.0,23.0,8.0,396.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,10954.0,12557.0,22293.0,26119.0,33357.0,42431.0,46763.0,39270.0,22560.0,34398.0,33309.0,32283.0,356294.0
10136,ABI,TX,Abilene Regional,Abilene,3668.0,3132.0,5607.0,6306.0,8342.0,8604.0,9790.0,8545.0,6716.0,6423.0,5983.0,6694.0,79810.0
10139,ABL,AK,Ambler River,Ambler,92.0,99.0,141.0,171.0,239.0,233.0,189.0,193.0,226.0,207.0,185.0,186.0,2161.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,50759.0,50806.0,95367.0,111194.0,140606.0,176527.0,189650.0,175759.0,170125.0,206120.0,177372.0,176131.0,1720416.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,1218.0,1180.0,1498.0,1357.0,2034.0,1851.0,2096.0,1698.0,1801.0,2407.0,2581.0,2121.0,21842.0
10146,ABY,GA,Southwest Georgia Regional,Albany,1508.0,1397.0,1936.0,2404.0,3307.0,3137.0,3531.0,2970.0,2869.0,3045.0,2992.0,2919.0,32015.0
10154,ACK,MA,Nantucket Memorial,Nantucket,1221.0,957.0,1576.0,1892.0,5997.0,19744.0,31975.0,33598.0,21018.0,9400.0,2683.0,2490.0,132551.0
10155,ACT,TX,Waco Regional,Waco,2073.0,1743.0,3619.0,4275.0,4532.0,4247.0,4491.0,4314.0,3572.0,4748.0,4840.0,4492.0,46946.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,1862.0,2244.0,3103.0,4028.0,5188.0,9586.0,11154.0,11084.0,9881.0,11065.0,12314.0,13224.0,94733.0
10158,ACY,NJ,Atlantic City International,Atlantic City,14362.0,16704.0,32337.0,38796.0,42225.0,41841.0,47587.0,34702.0,29648.0,33713.0,34267.0,32505.0,398687.0
10165,ADK,AK,Adak,Adak Island,113.0,74.0,118.0,127.0,135.0,196.0,260.0,316.0,198.0,246.0,177.0,199.0,2159.0
10170,ADQ,AK,Kodiak Airport,Kodiak,2075.0,2576.0,4391.0,4409.0,5468.0,7054.0,8725.0,9881.0,7373.0,5960.0,6223.0,5797.0,69932.0
10184,AET,AK,Allakaket Airport,Allakaket,95.0,82.0,180.0,164.0,160.0,266.0,280.0,256.0,184.0,131.0,154.0,121.0,2073.0
10185,AEX,LA,Alexandria International,Alexandria,4533.0,4335.0,6577.0,7304.0,9251.0,10731.0,10362.0,8736.0,8574.0,8556.0,8857.0,9967.0,97783.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,,66.0,,,,,491.0,155.0,,,,56.0,768.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,105.0,70.0,174.0,195.0,256.0,284.0,317.0,251.0,204.0,183.0,134.0,84.0,2257.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,11380.0,10633.0,16323.0,20909.0,23767.0,23569.0,28429.0,24428.0,24084.0,24046.0,23125.0,21631.0,252324.0
10216,AHN,GA,Athens/Ben Epps,Athens,,0.0,,,,,,,,116.0,,,116.0
10221,AIA,NE,Alliance Municipal,Alliance,134.0,147.0,203.0,246.0,328.0,366.0,419.0,329.0,320.0,339.0,351.0,361.0,3543.0
10225,AIN,AK,Wainwright Airport,Wainwright,132.0,127.0,213.0,258.0,356.0,311.0,372.0,324.0,212.0,284.0,235.0,330.0,3154.0
10237,AKB,AK,Atka Airport,Atka,6.0,5.0,14.0,7.0,20.0,15.0,31.0,1.0,14.0,22.0,21.0,15.0,171.0
10241,AKI,AK,Akiak Airport,Akiak,27.0,50.0,90.0,123.0,174.0,101.0,68.0,136.0,97.0,121.0,172.0,93.0,1252.0
10243,AKK,AK,Akhiok Airport,Akhiok,17.0,12.0,20.0,26.0,27.0,21.0,42.0,61.0,47.0,19.0,13.0,28.0,333.0
10245,AKN,AK,King Salmon Airport,King Salmon,1182.0,873.0,1455.0,1403.0,2220.0,3422.0,10416.0,4547.0,2356.0,1255.0,726.0,818.0,30673.0
10247,AKP,AK,Anaktuvuk Pass Airport,Anaktuvuk Pass,138.0,98.0,258.0,172.0,222.0,262.0,240.0,300.0,188.0,220.0,184.0,236.0,2518.0
10257,ALB,NY,Albany International,Albany,24887.0,29128.0,48183.0,65272.0,78413.0,87986.0,114808.0,115836.0,97463.0,115088.0,98608.0,93409.0,969081.0
10268,ALO,IA,Waterloo Regional,Waterloo,391.0,307.0,593.0,743.0,958.0,1373.0,1529.0,1274.0,1336.0,1333.0,1454.0,1503.0,12794.0
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa,476.0,473.0,677.0,784.0,945.0,1219.0,1557.0,1375.0,1198.0,1053.0,1113.0,1164.0,12034.0
10275,ALW,WA,Walla Walla Regional,Walla Walla,1547.0,1507.0,2541.0,2957.0,3944.0,4268.0,3846.0,3828.0,3900.0,3440.0,3593.0,3767.0,39138.0
10278,ALZ,AK,Alitak Seaplane Base,Lazy Bay,2.0,2.0,6.0,1.0,10.0,10.0,15.0,17.0,14.0,5.0,4.0,0.0,86.0
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,13827.0,13058.0,22808.0,25323.0,29991.0,32430.0,34661.0,28795.0,27661.0,30268.0,29926.0,29913.0,318661.0
10299,ANC,AK,Ted Stevens Anchorage International,Anchorage,76271.0,74523.0,118106.0,116969.0,167063.0,246659.0,314989.0,301733.0,207805.0,158727.0,152247.0,164948.0,2100040.0
10304,ANI,AK,Aniak Airport,Aniak,125.0,121.0,293.0,302.0,306.0,368.0,442.0,430.0,612.0,507.0,474.0,490.0,4470.0
10313,ANV,AK,Anvik Airport,Anvik,2.0,2.0,2.0,7.0,10.0,18.0,13.0,12.0,12.0,12.0,1.0,2.0,93.0
10322,AOO,PA,Altoona-Blair County,Altoona,253.0,230.0,388.0,369.0,390.0,389.0,344.0,385.0,391.0,358.0,443.0,474.0,4414.0
10324,AOS,AK,Amook Bay Airport,Amook Bay,1.0,0.0,3.0,5.0,5.0,1.0,12.0,6.0,2.0,1.0,4.0,4.0,44.0
10333,APN,MI,Alpena County Regional,Alpena,413.0,502.0,741.0,650.0,983.0,1049.0,1598.0,1531.0,1081.0,1208.0,1034.0,1002.0,11792.0
10349,ARC,AK,Arctic Village Airport,Arctic Village,58.0,52.0,93.0,128.0,137.0,203.0,207.0,226.0,136.0,109.0,98.0,89.0,1536.0
10361,ART,NY,Watertown International,Watertown,611.0,650.0,1045.0,1610.0,1852.0,2134.0,2478.0,2274.0,1721.0,1891.0,1757.0,1800.0,19823.0
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,22906.0,21661.0,32691.0,13864.0,6095.0,20030.0,31351.0,30425.0,21489.0,15489.0,10688.0,21095.0,247784.0
10396,ATK,AK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk,96.0,111.0,176.0,194.0,250.0,262.0,306.0,292.0,179.0,251.0,232.0,222.0,2571.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,1475575.0,1450378.0,2112074.0,2251951.0,3128005.0,3371503.0,3638243.0,3394297.0,3174889.0,3434967.0,3390425.0,3237073.0,34059380.0
10405,ATT,AK,Atmautluak Airport,Atmautluak,59.0,55.0,130.0,159.0,307.0,214.0,178.0,259.0,202.0,281.0,297.0,110.0,2251.0
10408,ATW,WI,Appleton International,Appleton,15941.0,17925.0,29247.0,24620.0,26884.0,31961.0,36610.0,40868.0,31237.0,35183.0,30577.0,30673.0,351726.0
10409,ATY,SD,Watertown Regional,Watertown,347.0,430.0,648.0,680.0,1048.0,1606.0,2665.0,2421.0,2198.0,1998.0,2347.0,2031.0,18419.0
10414,AUG,ME,Augusta State,Augusta/Waterville,83.0,83.0,129.0,113.0,284.0,338.0,451.0,583.0,485.0,529.0,406.0,340.0,3824.0
10416,AUK,AK,Alakanuk Airport,Alakanuk,108.0,83.0,157.0,210.0,274.0,145.0,215.0,209.0,179.0,177.0,206.0,130.0,2093.0
10423,AUS,TX,Austin - Bergstrom International,Austin,197103.0,169996.0,354766.0,418132.0,557978.0,695099.0,767747.0,626933.0,598616.0,743468.0,773754.0,783568.0,6687160.0
10431,AVL,NC,Asheville Regional,Asheville,22544.0,23004.0,39423.0,47914.0,61301.0,76493.0,90938.0,80166.0,65992.0,85793.0,65431.0,63369.0,722368.0
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,6700.0,6740.0,11320.0,11453.0,14518.0,13306.0,14694.0,18532.0,14242.0,15298.0,15263.0,14867.0,156933.0
10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,39824.0,46746.0,80471.0,64423.0,58045.0,78637.0,78712.0,53390.0,46078.0,62371.0,70876.0,84957.0,764530.0
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,3150.0,3698.0,4950.0,5896.0,6843.0,7430.0,8959.0,7320.0,7359.0,8281.0,7955.0,7095.0,78936.0
10529,BDL,CT,Bradley International,Hartford,72222.0,77608.0,123968.0,168439.0,183070.0,216960.0,254492.0,243326.0,214797.0,251887.0,224658.0,220919.0,2252346.0
10535,BDR,CT,Bridgeport Sikorsky,Bridgeport,,,,,,,,,,2.0,,,2.0
10540,BED,MA,Laurence G Hanscom Field,Bedford,,,,,10.0,28.0,57.0,50.0,28.0,8.0,,,181.0
