ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,6505,3782,5312,5091
10136,ABI,TX,Abilene Regional,Abilene,2312,1695,2394,1924
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,27807,16098,19070,22334
10141,ABR,SD,Aberdeen Regional,Aberdeen,740,690,754,700
10146,ABY,GA,Southwest Georgia Regional,Albany,1013,748,1051,961
10154,ACK,MA,Nantucket Memorial,Nantucket,12759,7424,10626,8589
10155,ACT,TX,Waco Regional,Waco,1777,1074,1602,1689
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,1930,1136,1850,2122
10158,ACY,NJ,Atlantic City International,Atlantic City,3118,1912,3069,3177
10185,AEX,LA,Alexandria International,Alexandria,3232,2233,2961,2291
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,5337,3676,4801,4530
10257,ALB,NY,Albany International,Albany,18020,9817,11656,14385
10268,ALO,IA,Waterloo Regional,Waterloo,669,435,538,674
10275,ALW,WA,Walla Walla Regional,Walla Walla,864,604,739,591
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,5817,3669,4648,5142
10333,APN,MI,Alpena County Regional,Alpena,608,604,618,608
10361,ART,NY,Watertown International,Watertown,671,584,618,625
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,6065,4299,5480,5908
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,395557,245314,312541,314165
10408,ATW,WI,Appleton International,Appleton,6690,4736,7185,6120
10409,ATY,SD,Watertown Regional,Watertown,502,588,916,623
10423,AUS,TX,Austin - Bergstrom International,Austin,67047,36881,60706,87491
10431,AVL,NC,Asheville Regional,Asheville,10702,6629,10199,10261
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,5970,2818,2944,2816
10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,5687,4873,5985,5759
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,3697,2087,2134,1661
10529,BDL,CT,Bradley International,Hartford,29137,15666,20757,23788
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,668,674,672,789
10559,BFI,WA,Boeing Field/King County International,Seattle,1933,752,1357,1898
10561,BFL,CA,Meadows Field,Bakersfield,2439,1965,2665,2497
10562,BFM,AL,Mobile International,Mobile,154,40,1,0
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,951,425,364,376
10581,BGR,ME,Bangor International,Bangor,5600,2931,5037,5259
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,20631,11549,14377,14992
10613,BID,RI,Block Island State,Block Island,4132,3274,4026,3765
10617,BIH,CA,Bishop Airport,Bishop,0,0,45,334
10620,BIL,MT,Billings Logan International,Billings,10032,8998,10054,7459
10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,5295,3515,4144,3625
10631,BJI,MN,Bemidji Regional,Bemidji,964,915,971,849
10643,BKG,MO,Branson Airport,Branson,222,62,70,47
10654,BKW,WV,Raleigh County Memorial,Beckley,1096,1142,1339,1175
10666,BLI,WA,Bellingham International,Bellingham,3279,1438,2374,3618
10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,1010,993,1270,1114
10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,3004,1889,2620,2571
10693,BNA,TN,Nashville International,Nashville,85202,58223,76248,88787
10713,BOI,ID,Boise Air Terminal,Boise,25687,18804,25010,26065
10721,BOS,MA,Logan International,Boston,168616,83787,106229,149074
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,961,646,939,782
10731,BQK,GA,Brunswick Golden Isles,Brunswick,1035,785,1030,870
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,641,615,639,731
10747,BRO,TX,Brownsville South Padre Island International,Brownsville,2664,1765,2373,2292
10779,BTM,MT,Bert Mooney,Butte,677,628,690,605
10781,BTR,LA,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,7632,4515,5647,5493
10785,BTV,VT,Burlington International,Burlington,11734,5546,7142,9115
10792,BUF,NY,Buffalo Niagara International,Buffalo,27938,13534,16701,20400
10800,BUR,CA,Bob Hope,Burbank,31457,16096,20223,31716
10821,BWI,MD,Baltimore/Washington International Thurgood Marshall,Baltimore,107760,71127,76375,85362
10849,BZN,MT,Bozeman Yellowstone International,Bozeman,8359,6929,11659,10154
10868,CAE,SC,Columbia Metropolitan,Columbia,11371,6929,8252,8368
10874,CAK,OH,Akron-Canton Regional,Akron,7598,3669,3887,3848
10918,CDC,UT,Cedar City Regional,Cedar City,766,414,627,625
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,926,567,598,615
10980,CHA,TN,Lovell Field,Chattanooga,10184,5578,7060,6668
10990,CHO,VA,Charlottesville Albemarle,Charlottesville,8819,4426,4867,5644
10994,CHS,SC,Charleston AFB/International,Charleston,27095,15345,25169,26505
11003,CID,IA,The Eastern Iowa,Cedar Rapids/Iowa City,10451,6660,8996,8271
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,667,703,731,709
11027,CKB,WV,North Central West Virginia,Clarksburg/Fairmont,905,775,921,1037
11042,CLE,OH,Cleveland-Hopkins International,Cleveland,51455,27258,34769,38427
11049,CLL,TX,Easterwood Field,College Station/Bryan,2248,1409,2030,1314
11057,CLT,NC,Charlotte Douglas International,Charlotte,253084,176723,224392,211216
11066,CMH,OH,John Glenn Columbus International,Columbus,49448,26730,32352,38874
11067,CMI,IL,University of Illinois/Willard,Champaign/Urbana,2810,1501,1724,1491
11076,CMX,MI,Houghton County Memorial,Hancock/Houghton,685,676,711,639
11092,CNY,UT,Canyonlands Regional,Moab,592,621,710,638
11097,COD,WY,Yellowstone Regional,Cody,1084,696,1038,953
11109,COS,CO,City of Colorado Springs Municipal,Colorado Springs,11163,6614,12072,12203
11111,COU,MO,Columbia Regional,Columbia,3084,1724,1784,1612
11122,CPR,WY,Casper/Natrona County International,Casper,2311,1601,2002,1766
