ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10005,05A,AK,Little Squaw Airport,Little Squaw,1.0,0.0,0.0,0.0
10006,06A,AK,Kizhuyak Bay,Kizhuyak,0.0,0.0,0.0,0.0
10011,GCW,AZ,Grand Canyon West,Peach Springs,0.0,0.0,0.0,447.0
10039,A26,AK,Ivotuk Airstrip,Ivotuk,0.0,0.0,0.0,0.0
10042,A29,AK,Kiluda Bay Airport,Kiluda Bay,1.0,0.0,0.0,0.0
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,317.0,349.0,396.0,355.0
10063,A50,AK,Big Bay Airport,Big Bay,1.0,0.0,0.0,0.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,437600.0,190303.0,356294.0,422995.0
10136,ABI,TX,Abilene Regional,Abilene,86769.0,46449.0,79810.0,73914.0
10139,ABL,AK,Ambler River,Ambler,3743.0,1333.0,2161.0,2757.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,2695239.0,896302.0,1720416.0,2365700.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,28782.0,14393.0,21842.0,21768.0
10146,ABY,GA,Southwest Georgia Regional,Albany,41460.0,17388.0,32015.0,35055.0
10154,ACK,MA,Nantucket Memorial,Nantucket,131488.0,45659.0,132551.0,136471.0
10155,ACT,TX,Waco Regional,Waco,61964.0,27080.0,46946.0,54104.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,86137.0,38024.0,94733.0,118983.0
10158,ACY,NJ,Atlantic City International,Atlantic City,522612.0,211199.0,398687.0,412315.0
10165,ADK,AK,Adak,Adak Island,3023.0,1418.0,2159.0,2596.0
10170,ADQ,AK,Kodiak Airport,Kodiak,82958.0,38070.0,69932.0,79939.0
10172,ADW,MD,Joint Base Andrews,Camp Springs,10.0,0.0,0.0,0.0
10184,AET,AK,Allakaket Airport,Allakaket,2759.0,1386.0,2073.0,2400.0
10185,AEX,LA,Alexandria International,Alexandria,118811.0,63290.0,97783.0,96702.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,1429.0,633.0,768.0,2086.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,2668.0,1245.0,2257.0,2284.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,331208.0,154260.0,252324.0,271928.0
10216,AHN,GA,Athens/Ben Epps,Athens,1.0,0.0,116.0,0.0
10221,AIA,NE,Alliance Municipal,Alliance,3076.0,1605.0,3543.0,4153.0
10225,AIN,AK,Wainwright Airport,Wainwright,3999.0,2154.0,3154.0,3534.0
10237,AKB,AK,Atka Airport,Atka,267.0,95.0,171.0,243.0
10241,AKI,AK,Akiak Airport,Akiak,2927.0,834.0,1252.0,1372.0
10243,AKK,AK,Akhiok Airport,Akhiok,688.0,297.0,333.0,360.0
10245,AKN,AK,King Salmon Airport,King Salmon,44579.0,20477.0,30673.0,34057.0
10247,AKP,AK,Anaktuvuk Pass Airport,Anaktuvuk Pass,3368.0,1767.0,2518.0,2791.0
10257,ALB,NY,Albany International,Albany,1506439.0,521682.0,969081.0,1283156.0
10268,ALO,IA,Waterloo Regional,Waterloo,22302.0,6970.0,12794.0,14903.0
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa,7629.0,4685.0,12034.0,9207.0
10275,ALW,WA,Walla Walla Regional,Walla Walla,49259.0,20178.0,39138.0,33814.0
10278,ALZ,AK,Alitak Seaplane Base,Lazy Bay,82.0,67.0,86.0,107.0
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,366280.0,177997.0,318661.0,379905.0
10298,ANB,AL,Anniston Regional,Anniston,135.0,0.0,0.0,0.0
10299,ANC,AK,Ted Stevens Anchorage International,Anchorage,2613288.0,1075309.0,2100040.0,2462912.0
10304,ANI,AK,Aniak Airport,Aniak,13111.0,2516.0,4470.0,5562.0
10313,ANV,AK,Anvik Airport,Anvik,1148.0,133.0,93.0,91.0
10322,AOO,PA,Altoona-Blair County,Altoona,3651.0,1473.0,4414.0,4534.0
10324,AOS,AK,Amook Bay Airport,Amook Bay,0.0,50.0,44.0,58.0
10325,APA,CO,Centennial,Denver,2.0,0.0,0.0,0.0
10327,APC,CA,Napa County,Napa,19.0,3.0,0.0,0.0
10333,APN,MI,Alpena County Regional,Alpena,12439.0,6437.0,11792.0,13866.0
10349,ARC,AK,Arctic Village Airport,Arctic Village,2051.0,865.0,1536.0,2011.0
10361,ART,NY,Watertown International,Watertown,22466.0,11563.0,19823.0,20243.0
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,307146.0,183805.0,247784.0,299068.0
10380,ASN,AL,Talladega Municipal,Talladega,9.0,0.0,0.0,0.0
10396,ATK,AK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk,3383.0,1574.0,2571.0,2996.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,47613013.0,19030860.0,34059380.0,40719099.0
10405,ATT,AK,Atmautluak Airport,Atmautluak,3976.0,1386.0,2251.0,3164.0
10408,ATW,WI,Appleton International,Appleton,385743.0,183970.0,351726.0,415816.0
10409,ATY,SD,Watertown Regional,Watertown,11681.0,7225.0,18419.0,15401.0
10414,AUG,ME,Augusta State,Augusta/Waterville,5413.0,1739.0,3824.0,5695.0
10416,AUK,AK,Alakanuk Airport,Alakanuk,3766.0,1533.0,2093.0,2518.0
10423,AUS,TX,Austin - Bergstrom International,Austin,8409446.0,3161264.0,6687160.0,10186327.0
10431,AVL,NC,Asheville Regional,Asheville,811194.0,361611.0,722368.0,919699.0
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,289167.0,110458.0,156933.0,189697.0
