ORIGIN_AIRPORT_ID,CODE,
10397,ATL,
13930,ORD,
11292,DEN,
11298,DFW,
12892,LAX,
12889,LAS,
11057,CLT,
14747,SEA,
14107,PHX,
13204,MCO,
14771,SFO,
13487,MSP,
10721,BOS,
12266,IAH,
11433,DTW,
11618,EWR,
12953,LGA,
12478,JFK,
14100,PHL,
11697,FLL,
10821,BWI,
14869,SLC,
14679,SAN,
11278,DCA,
13303,MIA,
15304,TPA,
13232,MDW,
14057,PDX,
10693,BNA,
10423,AUS,
11259,DAL,
15016,STL,
12264,IAD,
14831,SJC,
13495,MSY,
12191,HOU,
14492,RDU,
14893,SMF,
13796,OAK,
13198,MCI,
14908,SNA,
14683,SAT,
14635,RSW,
11042,CLE,
12339,IND,
14122,PIT,
11193,CVG,
11066,CMH,
12451,JAX,
14027,PBI,
13342,MKE,
10529,BDL,
10800,BUR,
10140,ABQ,
13891,ONT,
13871,OMA,
10792,BUF,
10994,CHS,
13244,MEM,
14524,RIC,
13851,OKC,
14570,RNO,
10713,BOI,
14730,SDF,
13931,ORF,
11884,GEG,
14307,PVD,
15376,TUS,
11986,GRR,
11540,ELP,
12954,LGB,
10599,BHM,
15370,TUL,
10257,ALB,
14761,SFB,
14685,SAV,
11423,DSM,
13577,MYR,
14576,ROC,
11996,GSP,
15096,SYR,
15412,TYS,
13485,MSN,
14112,PIE,
14193,PNS,
12992,LIT,
14321,PWM,
14262,PSP,
11995,GSO,
14986,SRQ,
15919,XNA,
12278,ICT,
10466,AZA,
12197,HPN,
11109,COS,
13296,MHT,
11267,DAY,
11638,FAT,
14082,PGD,
15624,VPS,
10431,AVL,
10849,BZN,
12391,ISP,
13230,MDT,
12217,HSV,
12945,LEX,
13158,MAF,
10785,BTV,
11003,CID,
10868,CAE,
11481,ECP,
11603,EUG,
14783,SGF,
11775,FSD,
10980,CHA,
12448,JAN,
12323,ILM,
12896,LBB,
13264,MFR,
10158,ACY,
14689,SBA,
11624,EYW,
14489,RDM,
11637,FAR,
10620,BIL,
15356,TTN,
13486,MSO,
12441,JAC,
14252,PSC,
