STATE_ABR,STATE,L,M,N,S,No_hub_cat,total,L+M
CA,California,3,5,8,5,2,23,8
FL,Florida,4,3,4,8,0,19,7
TX,Texas,3,3,14,5,0,25,6
VA,Virginia,2,1,5,1,0,9,3
IL,Illinois,2,0,8,0,2,12,2
NY,New York,2,0,8,6,0,16,2
NC,North Carolina,1,1,5,3,0,10,2
NV,Nevada,1,1,1,0,0,3,2
PA,Pennsylvania,1,1,4,2,1,9,2
TN,Tennessee,1,1,1,2,0,5,2
MO,Missouri,0,2,3,1,1,7,2
OH,Ohio,0,2,3,1,0,6,2
AZ,Arizona,1,0,4,2,0,7,1
CO,Colorado,1,0,7,1,3,12,1
GA,Georgia,1,0,6,1,0,8,1
MA,Massachusetts,1,0,4,0,1,6,1
MD,Maryland,1,0,2,0,0,3,1
MI,Michigan,1,0,13,1,0,15,1
MN,Minnesota,1,0,6,0,1,8,1
NJ,New Jersey,1,0,1,1,0,3,1
UT,Utah,1,0,5,0,1,7,1
WA,Washington,1,0,8,2,1,12,1
CT,Connecticut,0,1,1,0,0,2,1
ID,Idaho,0,1,5,0,0,6,1
IN,Indiana,0,1,1,2,0,4,1
KY,Kentucky,0,1,2,2,0,5,1
LA,Louisiana,0,1,6,0,0,7,1
NE,Nebraska,0,1,5,0,0,6,1
NM,New Mexico,0,1,3,0,1,5,1
OR,Oregon,0,1,1,3,0,5,1
SC,South Carolina,0,1,2,3,0,6,1
WI,Wisconsin,0,1,5,2,0,8,1
AL,Alabama,0,0,3,2,1,6,0
AR,Arkansas,0,0,2,2,0,4,0
IA,Iowa,0,0,3,2,0,5,0
KS,Kansas,0,0,4,1,1,6,0
ME,Maine,0,0,2,1,0,3,0
MS,Mississippi,0,0,5,1,0,6,0
MT,Montana,0,0,3,4,0,7,0
ND,North Dakota,0,0,6,1,1,8,0
NH,New Hampshire,0,0,1,1,1,3,0
OK,Oklahoma,0,0,2,2,0,4,0
RI,Rhode Island,0,0,2,1,0,3,0
SD,South Dakota,0,0,3,2,0,5,0
VT,Vermont,0,0,0,1,0,1,0
WV,West Virginia,0,0,4,0,1,5,0
WY,Wyoming,0,0,7,1,1,9,0
