ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,diff_2022,change_type,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022,Latitude,Longitude
14704,SBY,MD,Salisbury-Ocean City/Wicomico Regional,Salisbury,10k-100k,no,N,loss,-36.4,at least -30%,1905,1372,1576,1212,-364,less,1905,100.0,1212,100.0,38.339115,-75.5075949
11288,DEC,IL,Decatur Airport,Decatur,less than 10k,yes,,loss,-45.4,at least -30%,1842,794,599,1005,406,more,0,0.0,1005,100.0,39.8331255,-88.8773767
15607,VLD,GA,Valdosta Regional,Valdosta,10k-100k,no,N,loss,-3.5,less than -10%,1040,822,1176,1004,-172,less,1039,99.9,1004,100.0,30.7891551,-83.2786564
10731,BQK,GA,Brunswick Golden Isles,Brunswick,10k-100k,no,N,loss,-15.9,at least -10%,1035,785,1030,870,-160,less,1035,100.0,870,100.0,31.2548331,-81.4669111
14877,SLN,KS,Salina Regional,Salina,10k-100k,yes,N,loss,-11.4,at least -10%,916,644,685,812,127,more,916,100.0,812,100.0,38.8332633,-97.6097952
10739,BRD,MN,Brainerd Lakes Regional,Brainerd,10k-100k,yes,N,gain,14,at least 10%,641,615,639,731,92,more,628,98.0,731,100.0,46.3526733,-94.2020084
14237,PRC,AZ,Prescott Regional Ernest A Love Field,Prescott,10k-100k,yes,N,loss,-0.1,less than -10%,730,690,971,729,-242,less,728,99.7,729,100.0,34.6501415,-112.4282583
12335,IMT,MI,Ford,Iron Mountain/Kingsfd,10k-100k,yes,N,gain,8.1,less than 10%,664,697,727,718,-9,less,664,100.0,718,100.0,45.81515,-88.11853
11013,CIU,MI,Chippewa County International,Sault Ste. Marie,10k-100k,yes,N,gain,6.3,less than 10%,667,703,731,709,-22,less,667,100.0,709,100.0,45.0673752,-91.2924666
12519,JMS,ND,Jamestown Regional,Jamestown,10k-100k,yes,N,loss,-24.6,at least -20%,932,878,973,703,-270,less,932,100.0,703,100.0,46.92649,-98.6791
15374,TUP,MS,Tupelo Regional,Tupelo,10k-100k,yes,N,loss,-29.2,at least -20%,992,879,784,702,-82,less,551,55.5,702,100.0,34.2576066,-88.7033859
14802,SHD,VA,Shenandoah Valley Regional,Staunton,10k-100k,yes,N,gain,0.7,less than 10%,696,686,690,701,11,more,696,100.0,701,100.0,38.2638356,-78.897264
11587,ESC,MI,Delta County,Escanaba,10k-100k,yes,N,gain,14.5,at least 10%,605,577,675,693,18,more,605,100.0,693,100.0,38.8531357,-107.763621
12255,HYS,KS,Hays Regional,Hays,10k-100k,yes,N,loss,-43.1,at least -30%,1199,813,612,682,70,more,1199,100.0,682,100.0,38.85406,-99.27376
10268,ALO,IA,Waterloo Regional,Waterloo,10k-100k,yes,N,gain,0.7,less than 10%,669,435,538,674,136,more,669,100.0,674,100.0,42.55058,-92.39661
11092,CNY,UT,Canyonlands Regional,Moab,10k-100k,yes,N,gain,7.8,less than 10%,592,621,710,638,-72,less,592,100.0,638,100.0,38.2135733,-109.9025345
12511,JLN,MO,Joplin Regional,Joplin,10k-100k,no,N,loss,-52.9,at least -30%,1336,834,795,629,-166,less,904,67.7,629,100.0,37.0847269,-94.241987
10361,ART,NY,Watertown International,Watertown,10k-100k,yes,N,loss,-6.9,less than -10%,671,584,618,625,7,more,670,99.9,625,100.0,43.99431,-76.02332
11447,DVL,ND,Devils Lake Regional,Devils Lake,less than 10k,yes,,gain,4,less than 10%,598,573,633,622,-11,less,598,100.0,622,100.0,48.10919,-98.90391
10967,CGI,MO,Cape Girardeau Regional,Cape Girardeau,10k-100k,yes,,loss,-33.6,at least -30%,926,567,598,615,17,more,926,100.0,615,100.0,37.226842,-89.5645181
13121,LWB,WV,Greenbrier Valley,Lewisburg,10k-100k,yes,N,loss,-4.1,less than -10%,636,554,656,610,-46,less,636,100.0,610,100.0,38.0198478,-80.543845
10333,APN,MI,Alpena County Regional,Alpena,10k-100k,yes,N,unchanged,0,unchanged,608,604,618,608,-10,less,608,100.0,608,100.0,45.11297,-83.57758
12902,LBL,KS,Liberal Mid-America Regional,Liberal,less than 10k,yes,,loss,-1.3,less than -10%,614,567,599,606,7,more,612,99.7,606,100.0,37.0439061,-100.962346
10779,BTM,MT,Bert Mooney,Butte,10k-100k,yes,N,loss,-10.6,at least -10%,677,628,690,605,-85,less,674,99.6,605,100.0,45.9551935,-112.5021977
14081,PGA,AZ,Page Municipal,Page,10k-100k,yes,N,loss,-16.9,at least -10%,704,560,586,585,-1,less,704,100.0,585,100.0,36.9244374,-111.451092
11315,DIK,ND,Dickinson - Theodore Roosevelt Regional,Dickinson,10k-100k,yes,N,loss,-6.4,less than -10%,613,441,532,574,42,more,613,100.0,574,100.0,46.8016664,-102.7928843
12177,HOB,NM,Lea County Regional,Hobbs,10k-100k,no,N,loss,-23.1,at least -20%,740,385,417,569,152,more,740,100.0,569,100.0,32.8968816,-103.3587288
13832,OGS,NY,Ogdensburg International,Ogdensburg,10k-100k,yes,N,loss,-36.7,at least -30%,833,610,611,527,-84,less,397,47.7,527,100.0,44.6820927,-75.4768298
15582,VEL,UT,Vernal Regional,Vernal,10k-100k,yes,,loss,-16.5,at least -10%,587,551,603,490,-113,less,587,100.0,490,100.0,40.4555157,-109.5287479
11274,DBQ,IA,Dubuque Regional,Dubuque,10k-100k,no,N,loss,-55.2,at least -30%,985,453,562,441,-121,less,985,100.0,441,100.0,42.4015826,-90.7094375
14534,RIW,WY,Central Wyoming Regional,Riverton/Lander,10k-100k,no,N,loss,-61.7,at least -30%,1020,486,576,391,-185,less,0,0.0,391,100.0,43.0759678,-107.2902839
14543,RKS,WY,Southwest Wyoming Regional,Rock Springs,10k-100k,no,N,loss,-45.5,at least -30%,715,525,573,390,-183,less,713,99.7,390,100.0,41.5988254,-109.0718882
11525,EKO,NV,Elko Regional,Elko,10k-100k,no,N,loss,-46.3,at least -30%,672,544,671,361,-310,less,672,100.0,361,100.0,40.8324211,-115.7631232
14006,PAH,KY,Barkley Regional,Paducah,10k-100k,yes,N,loss,-35.8,at least -30%,1239,650,700,796,96,more,1239,100.0,795,99.9,37.0612439,-88.7675112
13241,MEI,MS,Key Field,Meridian,10k-100k,yes,N,loss,-17.4,at least -10%,952,611,602,786,184,more,935,98.2,785,99.9,32.333547,-88.7451526
