ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,diff_2022,change_type,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022,Latitude,Longitude
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,6505,3782,5312,5091,-221,less,3053,46.93312836,1071,21.03712434,40.5833639,-75.5043761
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,N,loss,-16.8,at least -10%,2312,1695,2394,1924,-470,less,2250,97.3183391,1766,91.78794179,32.4118941,-99.6800464
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,M,loss,-19.7,at least -10%,27807,16098,19070,22334,3264,more,790,2.841011256,870,3.895406107,35.0394211,-106.6085003
10141,ABR,SD,Aberdeen Regional,Aberdeen,10k-100k,yes,N,loss,-5.4,less than -10%,740,690,754,700,-54,less,735,99.32432432,699,99.85714286,45.45324,-98.41844
10146,ABY,GA,Southwest Georgia Regional,Albany,10k-100k,no,N,loss,-5.1,less than -10%,1013,748,1051,961,-90,less,1012,99.90128332,959,99.79188345,31.3254159,-84.4382721
10154,ACK,MA,Nantucket Memorial,Nantucket,100k-1 million,no,N,loss,-32.7,at least -30%,12759,7424,10626,8589,-2037,less,276,2.163178933,0,0.0,41.2834704,-70.099451
10155,ACT,TX,Waco Regional,Waco,10k-100k,no,N,loss,-5.0,less than -10%,1777,1074,1602,1689,87,more,1673,94.1474395,1452,85.96802842,31.6092433,-97.2232208
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,10k-100k,no,N,gain,9.9,less than 10%,1930,1136,1850,2122,272,more,1553,80.46632124,757,35.67389255,40.7450055,-123.8695086
10158,ACY,NJ,Atlantic City International,Atlantic City,100k-1 million,no,S,gain,1.9,less than 10%,3118,1912,3069,3177,108,more,0,0.0,0,0.0,39.3642834,-74.4229266
10185,AEX,LA,Alexandria International,Alexandria,100k-1 million,no,N,loss,-29.1,at least -20%,3232,2233,2961,2291,-670,less,3219,99.59777228,1665,72.67568747,31.32585,-92.54896
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,100k-1 million,no,N,loss,-15.1,at least -10%,5337,3676,4801,4530,-271,less,2036,38.14877272,779,17.19646799,33.3702981,-81.9649175
10257,ALB,NY,Albany International,Albany,1-5 million,no,S,loss,-20.2,at least -20%,18020,9817,11656,14385,2729,more,5914,32.8190899,2567,17.84497741,42.74817,-73.80257
10268,ALO,IA,Waterloo Regional,Waterloo,10k-100k,yes,N,gain,0.7,less than 10%,669,435,538,674,136,more,669,100.0,674,100.0,42.55058,-92.39661
10275,ALW,WA,Walla Walla Regional,Walla Walla,10k-100k,no,N,loss,-31.6,at least -30%,864,604,739,591,-148,less,0,0.0,0,0.0,46.0645809,-118.3430209
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,100k-1 million,no,N,loss,-11.6,at least -10%,5817,3669,4648,5142,494,more,1667,28.65738353,1119,21.76196033,35.2181993,-101.7063897
10333,APN,MI,Alpena County Regional,Alpena,10k-100k,yes,N,unchanged,0.0,unchanged,608,604,618,608,-10,less,608,100.0,608,100.0,45.11297,-83.57758
10361,ART,NY,Watertown International,Watertown,10k-100k,yes,N,loss,-6.9,less than -10%,671,584,618,625,7,more,670,99.8509687,625,100.0,43.99431,-76.02332
