,ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,1Q2019,2Q2019,3Q2019,4Q2019,1Q2020,2Q2020,3Q2020,4Q2020,1Q2021,2Q2021,3Q2021,4Q2021,1Q2022,2Q2022,3Q2022,4Q2022
0,10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,loss,-21.7,at least -20%,91336,120387,120663,105214,84366,20682,39989,45266,45804,101907,108593,99990,84301,122236,118287,98171
1,10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,loss,-16.8,at least -10%,17745,23214,23302,22508,14884,4831,12298,14436,12407,23252,25051,19100,15526,20169,20078,18141
2,10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,loss,-19.7,at least -10%,552903,704029,727560,710747,448213,79721,176350,192018,196932,428327,535534,559623,453782,622071,648851,640996
3,10141,ABR,SD,Aberdeen Regional,Aberdeen,10k-100k,yes,loss,-5.4,less than -10%,6590,6946,7180,8066,5736,548,3453,4656,3896,5242,5595,7109,5249,5470,5612,5437
4,10146,ABY,GA,Southwest Georgia Regional,Albany,10k-100k,no,loss,-5.1,less than -10%,9836,11028,9966,10630,8142,721,3367,5158,4841,8848,9370,8956,8053,9784,8487,8731
5,10154,ACK,MA,Nantucket Memorial,Nantucket,100k-1 million,no,loss,-32.7,at least -30%,6835,27027,85490,12136,4469,3669,30325,7196,3754,27633,86591,14573,4383,29362,88649,14077
6,10155,ACT,TX,Waco Regional,Waco,10k-100k,no,loss,-5.0,less than -10%,11737,17113,16778,16336,9956,1859,6944,8321,7435,13054,12377,14080,10993,15243,14110,13758
7,10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,10k-100k,no,gain,9.9,less than 10%,14882,20725,25060,25470,17718,2607,8753,8946,7209,18802,32119,36603,27737,32893,31221,27132
8,10158,ACY,NJ,Atlantic City International,Atlantic City,100k-1 million,no,gain,1.9,less than 10%,150134,127499,113924,131055,123805,15961,26644,44789,63403,122862,111937,100485,95979,107316,118589,90431
9,10185,AEX,LA,Alexandria International,Alexandria,100k-1 million,no,loss,-29.1,at least -20%,26811,31436,28339,32225,23826,4837,15817,18810,15445,27286,27672,27380,25582,27313,21179,22628
