ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
10011,GCW,AZ,Grand Canyon West,Peach Springs,less than 10k,no,gain,,other
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,loss,-21.7,at least -20%
10136,ABI,TX,Abilene Regional,Abilene,10k-100k,no,loss,-16.8,at least -10%
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1-5 million,no,loss,-19.7,at least -10%
10141,ABR,SD,Aberdeen Regional,Aberdeen,10k-100k,yes,loss,-5.4,less than -10%
10146,ABY,GA,Southwest Georgia Regional,Albany,10k-100k,no,loss,-5.1,less than -10%
10154,ACK,MA,Nantucket Memorial,Nantucket,100k-1 million,no,loss,-32.7,at least -30%
10155,ACT,TX,Waco Regional,Waco,10k-100k,no,loss,-5,less than -10%
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,10k-100k,no,gain,9.9,less than 10%
10158,ACY,NJ,Atlantic City International,Atlantic City,100k-1 million,no,gain,1.9,less than 10%
10172,ADW,MD,Joint Base Andrews,Camp Springs,less than 10k,no,loss,-100,at least -30%
10185,AEX,LA,Alexandria International,Alexandria,100k-1 million,no,loss,-29.1,at least -20%
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,less than 10k,no,gain,13.3,at least 10%
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,100k-1 million,no,loss,-15.1,at least -10%
10216,AHN,GA,Athens/Ben Epps,Athens,less than 10k,no,loss,-100,at least -30%
10221,AIA,NE,Alliance Municipal,Alliance,less than 10k,yes,loss,-10.1,at least -10%
10257,ALB,NY,Albany International,Albany,1-5 million,no,loss,-20.2,at least -20%
10268,ALO,IA,Waterloo Regional,Waterloo,10k-100k,yes,gain,0.7,less than 10%
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa,less than 10k,yes,loss,-55.7,at least -30%
10275,ALW,WA,Walla Walla Regional,Walla Walla,10k-100k,no,loss,-31.6,at least -30%
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,100k-1 million,no,loss,-11.6,at least -10%
10298,ANB,AL,Anniston Regional,Anniston,less than 10k,no,loss,-100,at least -30%
10322,AOO,PA,Altoona-Blair County,Altoona,less than 10k,yes,loss,-19.2,at least -10%
10325,APA,CO,Centennial,Denver,less than 10k,no,loss,-100,at least -30%
10327,APC,CA,Napa County,Napa,less than 10k,no,loss,-100,at least -30%
10333,APN,MI,Alpena County Regional,Alpena,10k-100k,yes,unchanged,0,unchanged
10361,ART,NY,Watertown International,Watertown,10k-100k,yes,loss,-6.9,less than -10%
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,100k-1 million,no,loss,-2.6,less than -10%
10380,ASN,AL,Talladega Municipal,Talladega,less than 10k,no,loss,-100,at least -30%
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%
10408,ATW,WI,Appleton International,Appleton,100k-1 million,no,loss,-8.5,less than -10%
10409,ATY,SD,Watertown Regional,Watertown,10k-100k,yes,gain,24.1,at least 20%
10414,AUG,ME,Augusta State,Augusta/Waterville,less than 10k,yes,loss,-0.9,less than -10%
10423,AUS,TX,Austin - Bergstrom International,Austin,more than 5 million,no,gain,30.5,at least 30%
10431,AVL,NC,Asheville Regional,Asheville,100k-1 million,no,loss,-4.1,less than -10%
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,100k-1 million,no,loss,-52.8,at least -30%
