AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
339,Airbus Industrie A330-900,19790.0,Delta Air Lines Inc.,14.0,6.0,509.0,454.0
359,Airbus Industrie A350-900,19790.0,Delta Air Lines Inc.,29.0,61.0,763.0,1307.0
415,Cessna C208B/Grand Caravan,21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",6376.0,5852.0,2832.0,911.0
479,Pilatus PC-12,21599.0,Boutique Air,17537.0,13640.0,7324.0,4644.0
530,Bombardier CRJ550,20500.0,GoJet Airlines LLC d/b/a United Express,4609.0,32057.0,58149.0,50833.0
608,Boeing 717-200,19790.0,Delta Air Lines Inc.,152285.0,86741.0,87244.0,120106.0
612,Boeing 737-700/700LR/Max 7,19393.0,Southwest Airlines Co.,999642.0,602378.0,638413.0,764065.0
612,Boeing 737-700/700LR/Max 7,19790.0,Delta Air Lines Inc.,9030.0,4925.0,0.0,0.0
612,Boeing 737-700/700LR/Max 7,19977.0,United Air Lines Inc.,35948.0,16804.0,26838.0,36690.0
612,Boeing 737-700/700LR/Max 7,19930.0,Alaska Airlines Inc.,3845.0,1901.0,2526.0,5287.0
614,Boeing 737-800,19393.0,Southwest Airlines Co.,314230.0,268698.0,343869.0,426812.0
614,Boeing 737-800,19790.0,Delta Air Lines Inc.,82578.0,59043.0,68916.0,74278.0
614,Boeing 737-800,19805.0,American Airlines Inc.,334423.0,192289.0,238223.0,285250.0
614,Boeing 737-800,19930.0,Alaska Airlines Inc.,43626.0,17550.0,32933.0,38602.0
614,Boeing 737-800,19977.0,United Air Lines Inc.,124566.0,57964.0,95813.0,127182.0
622,Boeing 757-200,19790.0,Delta Air Lines Inc.,92138.0,49505.0,63678.0,87439.0
622,Boeing 757-200,19977.0,United Air Lines Inc.,33499.0,10483.0,11623.0,14048.0
623,Boeing 757-300,19790.0,Delta Air Lines Inc.,16392.0,9612.0,15717.0,15679.0
623,Boeing 757-300,19977.0,United Air Lines Inc.,16656.0,9035.0,13761.0,11016.0
624,Boeing 767-400/ER,19790.0,Delta Air Lines Inc.,2772.0,1974.0,11751.0,3391.0
