AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
19790,Delta Air Lines Inc.,339,Airbus Industrie A330-900,14,6,509,454
19790,Delta Air Lines Inc.,359,Airbus Industrie A350-900,29,61,763,1307
21253,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,6376,5852,2832,911
21599,Boutique Air,479,Pilatus PC-12,17537,13640,7324,4644
20500,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,4609,32057,58149,50833
19790,Delta Air Lines Inc.,608,Boeing 717-200,152285,86741,87244,120106
19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,999642,602378,638413,764065
19790,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,9030,4925,0,0
19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,35948,16804,26838,36690
19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,3845,1901,2526,5287
19393,Southwest Airlines Co.,614,Boeing 737-800,314230,268698,343869,426812
19790,Delta Air Lines Inc.,614,Boeing 737-800,82578,59043,68916,74278
19805,American Airlines Inc.,614,Boeing 737-800,334423,192289,238223,285250
19930,Alaska Airlines Inc.,614,Boeing 737-800,43626,17550,32933,38602
19977,United Air Lines Inc.,614,Boeing 737-800,124566,57964,95813,127182
19790,Delta Air Lines Inc.,622,Boeing 757-200,92138,49505,63678,87439
19977,United Air Lines Inc.,622,Boeing 757-200,33499,10483,11623,14048
19790,Delta Air Lines Inc.,623,Boeing 757-300,16392,9612,15717,15679
19977,United Air Lines Inc.,623,Boeing 757-300,16656,9035,13761,11016
19790,Delta Air Lines Inc.,624,Boeing 767-400/ER,2772,1974,11751,3391
19790,Delta Air Lines Inc.,626,Boeing 767-300/300ER,6244,7756,15619,15105
19790,Delta Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,753,349,0,0
19977,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,13230,6148,5448,12857
20304,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,350402,197118,204866,173686
20363,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,69315,52174,78167,56793
20397,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,60268,7815,0,0
20366,ExpressJet Airlines LLC d/b/a aha!,629,Canadair RJ-200ER /RJ-440,7867,0,0,0
20046,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,103036,50443,86241,64601
20304,SkyWest Airlines Inc.,631,Canadair RJ-700,173071,111212,156218,149063
