ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,244020,141572,181917,207267
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21253,"Multi-Aero, Inc. d/b/a Air Choice One",259,307,118,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599,Boutique Air,1351,1188,868,302
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20500,GoJet Airlines LLC d/b/a United Express,607,13,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393,Southwest Airlines Co.,39045,27260,29409,30833
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,3800,2081,2422,4539
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930,Alaska Airlines Inc.,653,460,717,892
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,12556,5718,7019,6618
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20304,SkyWest Airlines Inc.,27869,7275,789,6362
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20363,Endeavor Air Inc.,39046,41746,56996,27611
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20397,PSA Airlines Inc.,1396,1047,1186,1390
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20366,ExpressJet Airlines LLC d/b/a aha!,479,345,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20046,Air Wisconsin Airlines Corp,21,11,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20378,Mesa Airlines Inc.,1805,845,1481,1566
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20398,Envoy Air,381,66,734,1347
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20452,Republic Airline,5865,4897,12466,5312
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20427,Piedmont Airlines,1,0,1,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20409,JetBlue Airways,3381,1621,2427,2078
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20416,Spirit Air Lines,9310,6376,8620,10029
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20436,Frontier Airlines Inc.,3712,2485,5371,7472
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20253,Cape Air,1161,1271,1796,1875
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",21253,"Multi-Aero, Inc. d/b/a Air Choice One",1879,1493,690,45
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20500,GoJet Airlines LLC d/b/a United Express,10485,14288,16677,5503
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,13289,6203,6694,10080
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,77019,33023,48737,68002
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,3335,1940,2492,2790
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19393,Southwest Airlines Co.,1,0,6604,8968
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,63977,31243,43022,49673
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20422,Sun Country Airlines d/b/a MN Airlines,227,93,107,123
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20046,Air Wisconsin Airlines Corp,36767,17192,24153,26402
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20304,SkyWest Airlines Inc.,62168,37874,48394,48060
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20363,Endeavor Air Inc.,2265,1419,728,822
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20366,ExpressJet Airlines LLC d/b/a aha!,12562,5217,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20397,PSA Airlines Inc.,507,1,2,2
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20398,Envoy Air,66145,35308,36447,40719
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20452,Republic Airline,13555,17749,32817,14208
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20237,Trans States Airlines,12143,2574,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20445,CommuteAir LLC dba CommuteAir,86,66,0,0
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20427,Piedmont Airlines,1,209,4733,2608
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20409,JetBlue Airways,2593,1029,1040,1136
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20416,Spirit Air Lines,9613,5875,6220,7530
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20436,Frontier Airlines Inc.,3014,1641,2580,931
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19690,Hawaiian Airlines Inc.,1,0,0,0
11292,CO,DEN,"Denver, CO: Denver International",21879,Key Lime Air Corporation,1300,1395,2079,3233
11292,CO,DEN,"Denver, CO: Denver International",21599,Boutique Air,5232,3380,1555,845
11292,CO,DEN,"Denver, CO: Denver International",19790,Delta Air Lines Inc.,11973,7676,10096,10449
11292,CO,DEN,"Denver, CO: Denver International",19393,Southwest Airlines Co.,69721,58794,73211,79719
11292,CO,DEN,"Denver, CO: Denver International",19930,Alaska Airlines Inc.,1878,1316,1874,1774
11292,CO,DEN,"Denver, CO: Denver International",19977,United Air Lines Inc.,68053,40604,62857,80170
11292,CO,DEN,"Denver, CO: Denver International",20422,Sun Country Airlines d/b/a MN Airlines,317,245,292,353
11292,CO,DEN,"Denver, CO: Denver International",19805,American Airlines Inc.,9901,6445,9577,8259
11292,CO,DEN,"Denver, CO: Denver International",20046,Air Wisconsin Airlines Corp,788,197,0,0
11292,CO,DEN,"Denver, CO: Denver International",20304,SkyWest Airlines Inc.,50310,50480,74707,60357
11292,CO,DEN,"Denver, CO: Denver International",20500,GoJet Airlines LLC d/b/a United Express,7442,33,0,0
11292,CO,DEN,"Denver, CO: Denver International",20363,Endeavor Air Inc.,8,0,0,0
11292,CO,DEN,"Denver, CO: Denver International",20378,Mesa Airlines Inc.,3,0,1,1
11292,CO,DEN,"Denver, CO: Denver International",20452,Republic Airline,4954,1812,1,0
11292,CO,DEN,"Denver, CO: Denver International",21167,Compass Airlines,1201,214,0,0
11292,CO,DEN,"Denver, CO: Denver International",20398,Envoy Air,1,7,1,33
11292,CO,DEN,"Denver, CO: Denver International",20366,ExpressJet Airlines LLC d/b/a aha!,2,151,0,0
11292,CO,DEN,"Denver, CO: Denver International",20237,Trans States Airlines,24418,5963,0,0
11292,CO,DEN,"Denver, CO: Denver International",20368,Allegiant Air,188,91,305,426
