ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,339,Airbus Industrie A330-900,1,1,44,59
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,359,Airbus Industrie A350-900,8,18,255,611
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21253,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,259,307,118,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599,Boutique Air,479,Pilatus PC-12,1351,1188,590,259
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",20500,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,1,,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,608,Boeing 717-200,30388,34749,36975,42673
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,30402,21337,21064,17097
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,4447,2472,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,587,157,514,738
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,1,1,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393,Southwest Airlines Co.,614,Boeing 737-800,8418,5923,7605,12452
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,614,Boeing 737-800,9222,11557,9699,13163
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805,American Airlines Inc.,614,Boeing 737-800,4869,2296,1750,747
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930,Alaska Airlines Inc.,614,Boeing 737-800,99,40,222,251
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,614,Boeing 737-800,565,278,428,742
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,622,Boeing 757-200,27285,14670,20798,35483
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,622,Boeing 757-200,1,1,2,1
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,623,Boeing 757-300,3537,2904,3819,3764
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,623,Boeing 757-300,4,,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,624,Boeing 767-400/ER,326,852,3429,729
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,626,Boeing 767-300/300ER,1198,1888,4775,3416
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790,Delta Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,373,170,,
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,5,,,
