ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,339,Airbus Industrie A330-900,1.0,1.0,44.0,59.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,359,Airbus Industrie A350-900,8.0,18.0,255.0,611.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,21253,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,259.0,307.0,118.0,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,21599,Boutique Air,479,Pilatus PC-12,1351.0,1188.0,590.0,259.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20500,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,1.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,608,Boeing 717-200,30388.0,34749.0,36975.0,42673.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19393,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,30402.0,21337.0,21064.0,17097.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,4447.0,2472.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,587.0,157.0,514.0,738.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,1.0,1.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19393,Southwest Airlines Co.,614,Boeing 737-800,8418.0,5923.0,7605.0,12452.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,614,Boeing 737-800,9222.0,11557.0,9699.0,13163.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,614,Boeing 737-800,4869.0,2296.0,1750.0,747.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930,Alaska Airlines Inc.,614,Boeing 737-800,99.0,40.0,222.0,251.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,614,Boeing 737-800,565.0,278.0,428.0,742.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,622,Boeing 757-200,27285.0,14670.0,20798.0,35483.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,622,Boeing 757-200,1.0,1.0,2.0,1.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,623,Boeing 757-300,3537.0,2904.0,3819.0,3764.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,623,Boeing 757-300,4.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,624,Boeing 767-400/ER,326.0,852.0,3429.0,729.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,626,Boeing 767-300/300ER,1198.0,1888.0,4775.0,3416.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,373.0,170.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,5.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20304,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,25123.0,6296.0,3.0,526.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20363,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,11832.0,15276.0,16167.0,17127.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20397,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,13.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20366,ExpressJet Airlines LLC d/b/a aha!,629,Canadair RJ-200ER /RJ-440,3.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20046,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,21.0,11.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20304,SkyWest Airlines Inc.,631,Canadair RJ-700,1218.0,208.0,12.0,420.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20363,Endeavor Air Inc.,631,Canadair RJ-700,2109.0,889.0,356.0,1973.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20378,Mesa Airlines Inc.,631,Canadair RJ-700,299.0,170.0,1.0,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20397,PSA Airlines Inc.,631,Canadair RJ-700,229.0,51.0,232.0,102.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20500,GoJet Airlines LLC d/b/a United Express,631,Canadair RJ-700,606.0,13.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977,United Air Lines Inc.,634,Boeing 737-900,4.0,,,4.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20363,Endeavor Air Inc.,638,Canadair CRJ 900,25105.0,25581.0,40473.0,8511.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20397,PSA Airlines Inc.,638,Canadair CRJ 900,1154.0,996.0,954.0,1288.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20304,SkyWest Airlines Inc.,638,Canadair CRJ 900,974.0,9.0,2.0,4566.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,64127.0,11042.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805,American Airlines Inc.,655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,15.0,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790,Delta Air Lines Inc.,656,McDonnell Douglas MD-90,24781.0,4511.0,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20304,SkyWest Airlines Inc.,673,Embraer ERJ-175,554.0,762.0,772.0,850.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20378,Mesa Airlines Inc.,673,Embraer ERJ-175,1506.0,672.0,1479.0,1566.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20398,Envoy Air,673,Embraer ERJ-175,380.0,66.0,734.0,1340.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20452,Republic Airline,673,Embraer ERJ-175,4175.0,3766.0,11786.0,4864.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20366,ExpressJet Airlines LLC d/b/a aha!,673,Embraer ERJ-175,468.0,343.0,,
