ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,DEST_AIRPORT_ID,DEST,hub_cat_dest,NAME_DEST,DEST_STATE_ABR,2019,2020,2021,2022
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10397,ATL,L,Hartsfield-Jackson Atlanta International,GA,952.0,295.0,856.0,890.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10434,AVP,N,Wilkes Barre Scranton International,PA,2.0,2.0,4.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10469,AZO,N,Kalamazoo/Battle Creek International,MI,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10693,BNA,L,Nashville International,TN,67.0,61.0,65.0,87.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10868,CAE,S,Columbia Metropolitan,SC,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11003,CID,S,The Eastern Iowa,IA,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11027,CKB,N,North Central West Virginia,WV,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11042,CLE,M,Cleveland-Hopkins International,OH,2.0,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11057,CLT,L,Charlotte Douglas International,NC,1018.0,873.0,1012.0,951.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11066,CMH,M,John Glenn Columbus International,OH,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11267,DAY,S,James M Cox/Dayton International,OH,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11278,DCA,L,Ronald Reagan Washington National,VA,1.0,,,2.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11433,DTW,L,Detroit Metro Wayne County,MI,998.0,745.0,859.0,392.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11577,ERI,N,Erie International/Tom Ridge Field,PA,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11618,EWR,L,Newark Liberty International,NJ,23.0,2.0,6.0,20.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11641,FAY,N,Fayetteville Regional/Grannis Field,NC,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11697,FLL,L,Fort Lauderdale-Hollywood International,FL,53.0,34.0,81.0,91.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11823,FWA,S,Fort Wayne International,IN,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11996,GSP,S,Greenville-Spartanburg International,SC,1.0,,,2.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12197,HPN,S,Westchester County,NY,8.0,,1.0,8.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12264,IAD,L,Washington Dulles International,VA,1.0,13.0,455.0,152.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12339,IND,M,Indianapolis International,IN,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12397,ITH,N,Ithaca Tompkins International,NY,1.0,,,1.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12478,JFK,L,John F. Kennedy International,NY,5.0,1.0,5.0,6.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12953,LGA,L,LaGuardia,NY,20.0,,6.0,34.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13577,MYR,S,Myrtle Beach International,SC,102.0,74.0,101.0,113.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13851,OKC,S,Will Rogers World,OK,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13930,ORD,L,Chicago O'Hare International,IL,1320.0,665.0,823.0,1169.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14082,PGD,S,Punta Gorda Airport,FL,178.0,142.0,185.0,199.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14100,PHL,L,Philadelphia International,PA,988.0,270.0,1.0,4.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14112,PIE,S,St Pete Clearwater International,FL,188.0,161.0,212.0,274.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14633,RST,N,Rochester International,MN,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14685,SAV,S,Savannah/Hilton Head International,GA,50.0,40.0,46.0,20.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14711,SCE,N,University Park,PA,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14730,SDF,S,Louisville Muhammad Ali International,KY,1.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14761,SFB,S,Orlando Sanford International,FL,508.0,333.0,518.0,563.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15096,SYR,S,Syracuse Hancock International,NY,1.0,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15412,TYS,S,McGhee Tyson,TN,2.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15919,XNA,S,Northwest Arkansas National,AR,2.0,,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,11150,CSG,N,Columbus Airport,GA,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,13232,MDW,L,Chicago Midway International,IL,,21.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14122,PIT,M,Pittsburgh International,PA,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,14986,SRQ,S,Sarasota/Bradenton International,FL,,47.0,68.0,107.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,15323,TRI,N,Tri Cities,TN,,1.0,,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,10577,BGM,N,Greater Binghamton/Edwin A. Link Field,NY,,,1.0,
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,100k-1 million,no,S,loss,-21.7,at least -20%,12323,ILM,S,Wilmington International,NC,,,1.0,
