ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",31.0,2890.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",173.0,6857.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5.0,325.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",136.0,8489.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,91.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",164.0,5935.0,PA
10135,676.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,29.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,66.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",86.0,12449.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",40.0,5710.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,146.0,TX
10136,655.0,"Abilene, TX: Abilene Regional",1.0,66.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",5.0,296.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",83.0,3270.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",130.0,4163.0,TX
10136,699.0,"Abilene, TX: Abilene Regional",1.0,87.0,TX
10139,194.0,"Ambler, AK: Ambler River",14.0,32.0,AK
10139,415.0,"Ambler, AK: Ambler River",43.0,171.0,AK
10139,416.0,"Ambler, AK: Ambler River",32.0,94.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",75.0,344.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",61.0,296.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",930.0,105082.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",375.0,50056.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",42.0,1717.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",102.0,5863.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",141.0,8143.0,NM
10140,655.0,"Albuquerque, NM: Albuquerque International Sunport",30.0,3898.0,NM
10140,656.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,92.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",510.0,31139.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",26.0,1053.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",16.0,1017.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",59.0,7272.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",95.0,11091.0,NM
