ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10042,33.0,"Kiluda Bay, AK: Kiluda Bay Airport",1.0,0.0,AK
10056,33.0,"Kodiak Island, AK: Trident Basin Seaplane Base",6.0,0.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",10.0,3.0,AK
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",26.0,2422.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",138.0,5064.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,53.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",119.0,7843.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,73.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",58.0,2522.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",47.0,7838.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,1146.0,PA
10136,675.0,"Abilene, TX: Abilene Regional",34.0,1329.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",134.0,4359.0,TX
10139,194.0,"Ambler, AK: Ambler River",18.0,60.0,AK
10139,405.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",55.0,242.0,AK
10139,416.0,"Ambler, AK: Ambler River",27.0,91.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",64.0,244.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",59.0,267.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",697.0,70475.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",335.0,37481.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,288.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",109.0,5904.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,260.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",159.0,9532.0,NM
10140,655.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,801.0,NM
10140,656.0,"Albuquerque, NM: Albuquerque International Sunport",13.0,1673.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",401.0,22239.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",97.0,4120.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,248.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",37.0,3662.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",50.0,4303.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,366.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",10.0,937.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",23.0,2877.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",61.0,8127.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",60.0,2274.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",83.0,3129.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",395.0,1672.0,MA
10154,458.0,"Nantucket, MA: Nantucket Memorial",179.0,740.0,MA
10155,673.0,"Waco, TX: Waco Regional",3.0,93.0,TX
10155,675.0,"Waco, TX: Waco Regional",7.0,247.0,TX
10155,676.0,"Waco, TX: Waco Regional",107.0,3301.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",120.0,4866.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1.0,44.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",58.0,6994.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",37.0,4814.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",207.0,35168.0,NJ
10165,612.0,"Adak Island, AK: Adak",8.0,161.0,AK
10165,614.0,"Adak Island, AK: Adak",1.0,9.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",197.0,238.0,AK
10170,131.0,"Kodiak, AK: Kodiak Airport",1.0,0.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",27.0,109.0,AK
