ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10005,479.0,"Little Squaw, AK: Little Squaw Airport",1.0,1.0,AK
10056,33.0,"Kodiak Island, AK: Trident Basin Seaplane Base",5.0,5.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",37.0,81.0,AK
10063,40.0,"Big Bay, AK: Big Bay Airport",1.0,1.0,AK
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",31.0,2908.0,PA
10135,614.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,160.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",161.0,6570.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7.0,363.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",136.0,8303.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",169.0,6261.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80.0,12105.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",60.0,8768.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,156.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",2.0,127.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",71.0,3039.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",135.0,4624.0,TX
10139,194.0,"Ambler, AK: Ambler River",15.0,32.0,AK
10139,406.0,"Ambler, AK: Ambler River",3.0,16.0,AK
10139,415.0,"Ambler, AK: Ambler River",41.0,154.0,AK
10139,416.0,"Ambler, AK: Ambler River",40.0,95.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",85.0,344.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",55.0,259.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",759.0,95809.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",458.0,63774.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",30.0,1308.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",120.0,7477.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,118.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",142.0,9038.0,NM
10140,655.0,"Albuquerque, NM: Albuquerque International Sunport",29.0,3799.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",503.0,32298.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",26.0,1055.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",24.0,1565.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",56.0,7568.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",112.0,13250.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,184.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",13.0,1906.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",90.0,14682.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",62.0,2535.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",84.0,3505.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",1203.0,5746.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",54.0,113.0,MA
10154,458.0,"Nantucket, MA: Nantucket Memorial",204.0,1002.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",143.0,827.0,MA
10154,629.0,"Nantucket, MA: Nantucket Memorial",21.0,887.0,MA
10154,673.0,"Nantucket, MA: Nantucket Memorial",82.0,5100.0,MA
10154,675.0,"Nantucket, MA: Nantucket Memorial",82.0,3358.0,MA
10154,677.0,"Nantucket, MA: Nantucket Memorial",2.0,62.0,MA
