ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10042,40.0,"Kiluda Bay, AK: Kiluda Bay Airport",1.0,1.0,AK
10056,33.0,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,3.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",21.0,24.0,AK
10135,608.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",29.0,2397.0,PA
10135,614.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,155.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",122.0,4491.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,109.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",140.0,8168.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",47.0,2576.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",149.0,5255.0,PA
10135,676.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4.0,132.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",45.0,6285.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20.0,2816.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",2.0,301.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",41.0,1634.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",155.0,5393.0,TX
10139,194.0,"Ambler, AK: Ambler River",11.0,21.0,AK
10139,415.0,"Ambler, AK: Ambler River",56.0,226.0,AK
10139,416.0,"Ambler, AK: Ambler River",28.0,63.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",75.0,344.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",52.0,260.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",894.0,100095.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",368.0,51586.0,NM
