ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10042,20443.0,Island Air Service,40.0,10056.0,A43,"Kodiak Island, AK",AK,"Kiluda Bay, AK: Kiluda Bay Airport",1.0,1.0,AK
10056,20443.0,Island Air Service,33.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,1.0,AK
10056,20443.0,Island Air Service,33.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,33.0,15091.0,SYB,"Seal Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,2.0,AK
10056,20443.0,Island Air Service,40.0,10278.0,ALZ,"Lazy Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,3.0,AK
10056,20443.0,Island Air Service,40.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,8.0,AK
10056,20443.0,Island Air Service,40.0,12743.0,KMY,"Moser Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10056,20443.0,Island Air Service,40.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",6.0,5.0,AK
10056,20443.0,Island Air Service,40.0,12782.0,KPR,"Port Williams, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,3.0,AK
10056,20443.0,Island Air Service,40.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",5.0,2.0,AK
10056,20443.0,Island Air Service,40.0,15091.0,SYB,"Seal Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,3.0,AK
10135,19790.0,Delta Air Lines Inc.,608.0,10397.0,ATL,"Atlanta, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",28.0,2292.0,PA
10135,19790.0,Delta Air Lines Inc.,608.0,12478.0,JFK,"New York, NY",NY,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,105.0,PA
10135,19977.0,United Air Lines Inc.,614.0,11618.0,EWR,"Newark, NJ",NJ,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,155.0,PA
10135,19977.0,United Air Lines Inc.,694.0,14100.0,PHL,"Philadelphia, PA",PA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,141.0,PA
10135,19977.0,United Air Lines Inc.,698.0,12953.0,LGA,"New York, NY",NY,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,128.0,PA
10135,20046.0,Air Wisconsin Airlines Corp,629.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,291.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",87.0,3239.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",25.0,961.0,PA
10135,20304.0,SkyWest Airlines Inc.,629.0,15919.0,XNA,"Fayetteville, AR",AR,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,20304.0,SkyWest Airlines Inc.,631.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,66.0,PA
10135,20304.0,SkyWest Airlines Inc.,673.0,13851.0,OKC,"Oklahoma City, OK",OK,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,20304.0,SkyWest Airlines Inc.,673.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44.0,2476.0,PA
10135,20304.0,SkyWest Airlines Inc.,673.0,15096.0,SYR,"Syracuse, NY",NY,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,58.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,10397.0,ATL,"Atlanta, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.0,3529.0,PA
10135,20366.0,ExpressJet Airlines LLC d/b/a aha!,675.0,13930.0,ORD,"Chicago, IL",IL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7.0,257.0,PA
10135,20368.0,Allegiant Air,694.0,10693.0,BNA,"Nashville, TN",TN,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,1139.0,PA
10135,20368.0,Allegiant Air,694.0,13577.0,MYR,"Myrtle Beach, SC",SC,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,389.0,PA
10135,20368.0,Allegiant Air,694.0,14082.0,PGD,"Punta Gorda, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,1433.0,PA
10135,20368.0,Allegiant Air,694.0,14112.0,PIE,"St. Petersburg, FL",FL,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,1346.0,PA
10135,20368.0,Allegiant Air,694.0,14685.0,SAV,"Savannah, GA",GA,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",7.0,465.0,PA
