DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,3,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,698,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,11193,CVG,"Cincinnati, OH",KY,694,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,12478,JFK,"New York, NY",NY,888,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,10185,AEX,"Alexandria, LA",LA,624,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,10185,AEX,"Alexandria, LA",LA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,622,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13619,NC1,"Gastonia, NC",NC,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14635,RSW,"Fort Myers, FL",FL,698,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11630,FAI,"Fairbanks, AK",AK,10397,ATL,"Atlanta, GA",GA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11630,FAI,"Fairbanks, AK",AK,14533,RIV,"Riverside, CA",CA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11630,FAI,"Fairbanks, AK",AK,14747,SEA,"Seattle, WA",WA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11726,FOE,"Topeka, KS",KS,14533,RIV,"Riverside, CA",CA,624,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11726,FOE,"Topeka, KS",KS,14533,RIV,"Riverside, CA",CA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11726,FOE,"Topeka, KS",KS,14533,RIV,"Riverside, CA",CA,698,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11982,GRK,"Killeen, TX",TX,11630,FAI,"Fairbanks, AK",AK,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,10185,AEX,"Alexandria, LA",LA,694,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,10185,AEX,"Alexandria, LA",LA,696,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13619,NC1,"Gastonia, NC",NC,16218,YUM,"Yuma, AZ",AZ,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13689,NJK,"El Centro, CA",CA,10397,ATL,"Atlanta, GA",GA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14107,PHX,"Phoenix, AZ",AZ,12953,LGA,"New York, NY",NY,699,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14262,PSP,"Palm Springs, CA",CA,13487,MSP,"Minneapolis, MN",MN,694,3,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14275,PTK,"Pontiac, MI",MI,14492,RDU,"Raleigh/Durham, NC",NC,622,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,10397,ATL,"Atlanta, GA",GA,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,11630,FAI,"Fairbanks, AK",AK,626,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,11726,FOE,"Topeka, KS",KS,624,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14533,RIV,"Riverside, CA",CA,12892,LAX,"Los Angeles, CA",CA,698,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14635,RSW,"Fort Myers, FL",FL,10185,AEX,"Alexandria, LA",LA,698,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14771,SFO,"San Francisco, CA",CA,14893,SMF,"Sacramento, CA",CA,622,3,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,16218,YUM,"Yuma, AZ",AZ,10397,ATL,"Atlanta, GA",GA,626,3,L
0.00,0.00,KO,20341,Alaska Central Express,KO,10170,ADQ,"Kodiak, AK",AK,12321,ILI,"Iliamna, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10245,AKN,"King Salmon, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10551,BET,"Bethel, AK",AK,15012,STG,"St. George Island, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10926,CDV,"Cordova, AK",AK,15171,TEK,"Tatitlek, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,11336,DLG,"Dillingham, AK",AK,15293,TOG,"Togiak, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14738,SDP,"Sandpoint, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12523,JNU,"Juneau, AK",AK,10926,CDV,"Cordova, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15293,TOG,"Togiak, AK",AK,10299,ANC,"Anchorage, AK",AK,405,3,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15991,YAK,"Yakutat, AK",AK,12523,JNU,"Juneau, AK",AK,405,3,G
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,10257,ALB,"Albany, NY",NY,15304,TPA,"Tampa, FL",FL,838,3,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,10397,ATL,"Atlanta, GA",GA,12264,IAD,"Washington, DC",VA,838,3,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,10397,ATL,"Atlanta, GA",GA,14492,RDU,"Raleigh/Durham, NC",NC,838,3,F
