DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,B6,20409,JetBlue Airways,B6,12451,JAX,"Jacksonville, FL",FL,12478,JFK,"New York, NY",NY,699,10,F
0.00,0.00,B6,20409,JetBlue Airways,B6,12478,JFK,"New York, NY",NY,12451,JAX,"Jacksonville, FL",FL,699,10,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,626,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,687,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,11391,DQK,"Fort Drum, NY",NY,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,11433,DTW,"Detroit, MI",MI,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,12478,JFK,"New York, NY",NY,687,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,15154,TCM,"Tacoma, WA",WA,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11391,DQK,"Fort Drum, NY",NY,626,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11391,DQK,"Fort Drum, NY",NY,687,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13619,NC1,"Gastonia, NC",NC,614,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10800,BUR,"Burbank, CA",CA,10397,ATL,"Atlanta, GA",GA,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11049,CLL,"College Station/Bryan, TX",TX,10185,AEX,"Alexandria, LA",LA,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11066,CMH,"Columbus, OH",OH,10397,ATL,"Atlanta, GA",GA,608,10,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11391,DQK,"Fort Drum, NY",NY,10185,AEX,"Alexandria, LA",LA,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11391,DQK,"Fort Drum, NY",NY,10185,AEX,"Alexandria, LA",LA,626,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11391,DQK,"Fort Drum, NY",NY,10185,AEX,"Alexandria, LA",LA,687,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,11391,DQK,"Fort Drum, NY",NY,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,13619,NC1,"Gastonia, NC",NC,696,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11977,GRB,"Green Bay, WI",WI,10397,ATL,"Atlanta, GA",GA,614,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12264,IAD,"Washington, DC",VA,12892,LAX,"Los Angeles, CA",CA,622,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12339,IND,"Indianapolis, IN",IN,13198,MCI,"Kansas City, MO",MO,614,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,11391,DQK,"Fort Drum, NY",NY,626,10,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,11391,DQK,"Fort Drum, NY",NY,687,10,L
