ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",8.0,3.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",10.0,9.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",29.0,81.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",52.0,195.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",41.0,331.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.0,283.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,240.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,15.0,PA
10136,675.0,"Abilene, TX: Abilene Regional",29.0,148.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",72.0,322.0,TX
10139,415.0,"Ambler, AK: Ambler River",23.0,27.0,AK
10139,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",60.0,28.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",49.0,44.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",285.0,2502.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",164.0,2103.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",29.0,240.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,50.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,57.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",63.0,769.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",112.0,922.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,68.0,NM
10140,676.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,7.0,NM
