ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",20.0,12.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",84.0,2167.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,137.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",99.0,4971.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",30.0,940.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",26.0,794.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85.0,8159.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,240.0,PA
10136,629.0,"Abilene, TX: Abilene Regional",19.0,187.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",1.0,71.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",64.0,2247.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",66.0,1972.0,TX
10139,194.0,"Ambler, AK: Ambler River",6.0,9.0,AK
10139,415.0,"Ambler, AK: Ambler River",29.0,54.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",65.0,140.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",47.0,100.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",310.0,24273.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",162.0,14316.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",75.0,3183.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",74.0,4007.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,222.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",407.0,21101.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",10.0,491.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",45.0,4050.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",28.0,2754.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,205.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,598.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",70.0,1489.0,SD
10141,638.0,"Aberdeen, SD: Aberdeen Regional",3.0,125.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",85.0,1604.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",610.0,2495.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",107.0,290.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",42.0,247.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",17.0,733.0,MA
10155,673.0,"Waco, TX: Waco Regional",3.0,106.0,TX
10155,675.0,"Waco, TX: Waco Regional",35.0,1133.0,TX
10155,676.0,"Waco, TX: Waco Regional",56.0,1640.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",18.0,562.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",53.0,2612.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",17.0,2418.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",69.0,9432.0,NJ
10165,614.0,"Adak Island, AK: Adak",9.0,86.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",193.0,212.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",43.0,134.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",38.0,3110.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",4.0,409.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",5.0,19.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",35.0,99.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",136.0,2820.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",2.0,67.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",39.0,1326.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",44.0,1590.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",13.0,10.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",43.0,77.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",4.0,14.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,54.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",41.0,2206.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",222.0,8841.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",31.0,1854.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",24.0,727.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",53.0,147.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",78.0,174.0,AK
10237,406.0,"Atka, AK: Atka Airport",11.0,13.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",46.0,66.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",10.0,2.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",3.0,0.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",9.0,8.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",8.0,12.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",52.0,24.0,AK
10245,79.0,"King Salmon, AK: King Salmon Airport",27.0,9.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",1.0,0.0,AK
10245,218.0,"King Salmon, AK: King Salmon Airport",1.0,0.0,AK
10245,406.0,"King Salmon, AK: King Salmon Airport",2.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",57.0,30.0,AK
10245,612.0,"King Salmon, AK: King Salmon Airport",17.0,866.0,AK
10245,655.0,"King Salmon, AK: King Salmon Airport",9.0,0.0,AK
10245,673.0,"King Salmon, AK: King Salmon Airport",14.0,564.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",2.0,5.0,AK
