ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,20443.0,Island Air Service,35.0,10324.0,AOS,"Amook Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,2.0,AK
10056,20443.0,Island Air Service,35.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,2.0,AK
10056,20443.0,Island Air Service,35.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,2.0,AK
10056,20443.0,Island Air Service,35.0,15091.0,SYB,"Seal Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,1.0,AK
10056,20443.0,Island Air Service,40.0,10278.0,ALZ,"Lazy Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",3.0,2.0,AK
10056,20443.0,Island Air Service,40.0,10324.0,AOS,"Amook Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",6.0,18.0,AK
10056,20443.0,Island Air Service,40.0,12705.0,KKB,"Kitoi Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",6.0,12.0,AK
10056,20443.0,Island Air Service,40.0,12771.0,KOY,"Olga Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",8.0,10.0,AK
10056,20443.0,Island Air Service,40.0,12782.0,KPR,"Port Williams, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,3.0,AK
10056,20443.0,Island Air Service,40.0,12785.0,KPY,"Port Bailey, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",5.0,5.0,AK
10056,20443.0,Island Air Service,40.0,12854.0,KWP,"West Point, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,11.0,AK
10056,20443.0,Island Air Service,40.0,12869.0,KZB,"Zachar Bay, AK",AK,"Kodiak Island, AK: Trident Basin Seaplane Base",1.0,0.0,AK
10135,20304.0,SkyWest Airlines Inc.,629.0,11433.0,DTW,"Detroit, MI",MI,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",62.0,1659.0,PA
