DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,10647,BKL,"Cleveland, OH",OH,13105,LUK,"Cincinnati, OH",OH,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,13105,LUK,"Cincinnati, OH",OH,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,14050,PDK,"Atlanta, GA",GA,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,10647,BKL,"Cleveland, OH",OH,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,11057,CLT,"Charlotte, NC",NC,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,13232,MDW,"Chicago, IL",IL,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,14050,PDK,"Atlanta, GA",GA,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13232,MDW,"Chicago, IL",IL,13105,LUK,"Cincinnati, OH",OH,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,632,4,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,13105,LUK,"Cincinnati, OH",OH,632,4,L
0.00,0.00,22Q,21636,Gem Air LLC,22Q,10713,BOI,"Boise, ID",ID,14897,SMN,"Salmon, ID",ID,035,4,F
0.00,0.00,22Q,21636,Gem Air LLC,22Q,10713,BOI,"Boise, ID",ID,14897,SMN,"Salmon, ID",ID,194,4,F
0.00,0.00,22Q,21636,Gem Air LLC,22Q,14897,SMN,"Salmon, ID",ID,10713,BOI,"Boise, ID",ID,035,4,F
0.00,0.00,22Q,21636,Gem Air LLC,22Q,14897,SMN,"Salmon, ID",ID,10713,BOI,"Boise, ID",ID,194,4,F
0.00,0.00,2HQ,21712,Elite Airways LLC,2HQ,11618,EWR,"Newark, NJ",NJ,15628,VRB,"Vero Beach, FL",FL,629,4,F
0.00,0.00,2HQ,21712,Elite Airways LLC,2HQ,11618,EWR,"Newark, NJ",NJ,15628,VRB,"Vero Beach, FL",FL,631,4,F
0.00,0.00,2HQ,21712,Elite Airways LLC,2HQ,15628,VRB,"Vero Beach, FL",FL,11618,EWR,"Newark, NJ",NJ,629,4,F
0.00,0.00,2HQ,21712,Elite Airways LLC,2HQ,15628,VRB,"Vero Beach, FL",FL,11618,EWR,"Newark, NJ",NJ,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,10874,CAK,"Akron, OH",OH,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,11003,CID,"Cedar Rapids/Iowa City, IA",IA,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,11624,EYW,"Key West, FL",FL,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,11823,FWA,"Fort Wayne, IN",IN,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,14633,RST,"Rochester, MN",MN,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,15323,TRI,"Bristol/Johnson City/Kingsport, TN",TN,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10423,AUS,"Austin, TX",TX,11193,CVG,"Cincinnati, OH",KY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10469,AZO,"Kalamazoo, MI",MI,11433,DTW,"Detroit, MI",MI,631,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10529,BDL,"Hartford, CT",CT,11193,CVG,"Cincinnati, OH",KY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10693,BNA,"Nashville, TN",TN,12478,JFK,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10693,BNA,"Nashville, TN",TN,12953,LGA,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10721,BOS,"Boston, MA",MA,13931,ORF,"Norfolk, VA",VA,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10785,BTV,"Burlington, VT",VT,12478,JFK,"New York, NY",NY,629,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10792,BUF,"Buffalo, NY",NY,13487,MSP,"Minneapolis, MN",MN,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10821,BWI,"Baltimore, MD",MD,12478,JFK,"New York, NY",NY,629,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10874,CAK,"Akron, OH",OH,10397,ATL,"Atlanta, GA",GA,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10980,CHA,"Chattanooga, TN",TN,11433,DTW,"Detroit, MI",MI,629,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10994,CHS,"Charleston, SC",SC,12478,JFK,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11003,CID,"Cedar Rapids/Iowa City, IA",IA,10397,ATL,"Atlanta, GA",GA,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11042,CLE,"Cleveland, OH",OH,12478,JFK,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11042,CLE,"Cleveland, OH",OH,12953,LGA,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11057,CLT,"Charlotte, NC",NC,12953,LGA,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,10423,AUS,"Austin, TX",TX,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,10529,BDL,"Hartford, CT",CT,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,11618,EWR,"Newark, NJ",NJ,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,12266,IAH,"Houston, TX",TX,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,12478,JFK,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,12953,LGA,"New York, NY",NY,638,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11193,CVG,"Cincinnati, OH",KY,14492,RDU,"Raleigh/Durham, NC",NC,629,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11203,CWA,"Mosinee, WI",WI,11433,DTW,"Detroit, MI",MI,629,4,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11278,DCA,"Washington, DC",VA,12478,JFK,"New York, NY",NY,638,4,F
