DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,1QQ,21614,City Wings Inc dba Seaflight,1QQ,15024,STT,"Charlotte Amalie, VI",VI,15027,STX,"Christiansted, VI",VI,415,5,F
0.00,0.00,1QQ,21614,City Wings Inc dba Seaflight,1QQ,15027,STX,"Christiansted, VI",VI,15024,STT,"Charlotte Amalie, VI",VI,415,5,F
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,10647,BKL,"Cleveland, OH",OH,13105,LUK,"Cincinnati, OH",OH,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,13105,LUK,"Cincinnati, OH",OH,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,11057,CLT,"Charlotte, NC",NC,14050,PDK,"Atlanta, GA",GA,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,10647,BKL,"Cleveland, OH",OH,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,11057,CLT,"Charlotte, NC",NC,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,13232,MDW,"Chicago, IL",IL,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13105,LUK,"Cincinnati, OH",OH,14050,PDK,"Atlanta, GA",GA,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,13232,MDW,"Chicago, IL",IL,13105,LUK,"Cincinnati, OH",OH,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,11057,CLT,"Charlotte, NC",NC,632,5,L
0.00,0.00,1WQ,21596,Ultimate JetCharters LLC dba Ultimate Air Shuttle,1WQ,14050,PDK,"Atlanta, GA",GA,13105,LUK,"Cincinnati, OH",OH,632,5,L
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,12250,HYA,"Hyannis, MA",MA,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,12932,LEB,"Lebanon-Hanover, NH",NH,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,14306,PVC,"Provincetown, MA",MA,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,12197,HPN,"White Plains, NY",NY,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,12932,LEB,"Lebanon-Hanover, NH",NH,12197,HPN,"White Plains, NY",NY,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12250,HYA,"Hyannis, MA",MA,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,14306,PVC,"Provincetown, MA",MA,12197,HPN,"White Plains, NY",NY,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,15027,STX,"Christiansted, VI",VI,15626,VQS,"Vieques, PR",PR,125,5,F
0.00,0.00,9K,20253,Cape Air,9K,15626,VQS,"Vieques, PR",PR,15027,STX,"Christiansted, VI",VI,125,5,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,10868,CAE,"Columbia, SC",SC,612,5,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,623,5,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13697,N1C,"Cherry Point, NC",NC,699,5,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14057,PDX,"Portland, OR",OR,888,5,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14307,PVD,"Providence, RI",RI,698,5,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14533,RIV,"Riverside, CA",CA,623,5,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14771,SFO,"San Francisco, CA",CA,888,5,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10868,CAE,"Columbia, SC",SC,14193,PNS,"Pensacola, FL",FL,612,5,L
