ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",18.0,8.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,42.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",80.0,2931.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",34.0,1451.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",204.0,11992.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27.0,921.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",98.0,14946.0,PA
10136,673.0,"Abilene, TX: Abilene Regional",1.0,41.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",172.0,6653.0,TX
10139,405.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",45.0,186.0,AK
10139,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",71.0,290.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",51.0,239.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",380.0,46786.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",334.0,46562.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",64.0,2954.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",68.0,3571.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",12.0,1827.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",42.0,2750.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",307.0,18732.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",61.0,2502.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",109.0,12468.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",86.0,8962.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",125.0,19474.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,377.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,735.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,3299.0,NM
10140,839.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,92.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",34.0,4511.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",60.0,2121.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",73.0,2874.0,GA
10146,631.0,"Albany, GA: Southwest Georgia Regional",1.0,45.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",487.0,2130.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",91.0,290.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",11.0,70.0,MA
10155,673.0,"Waco, TX: Waco Regional",2.0,42.0,TX
10155,675.0,"Waco, TX: Waco Regional",156.0,4450.0,TX
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",25.0,3749.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",8.0,201.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",43.0,1771.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",133.0,7279.0,CA
10157,675.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",12.0,224.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",82.0,12130.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",122.0,14467.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",27.0,5318.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",5.0,590.0,NJ
10165,612.0,"Adak Island, AK: Adak",4.0,80.0,AK
10165,614.0,"Adak Island, AK: Adak",4.0,119.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",129.0,184.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",56.0,178.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",50.0,4052.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",12.0,1383.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",30.0,121.0,AK
10185,614.0,"Alexandria, LA: Alexandria International",1.0,143.0,LA
10185,629.0,"Alexandria, LA: Alexandria International",60.0,2369.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",16.0,624.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",16.0,868.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",147.0,5934.0,LA
10185,694.0,"Alexandria, LA: Alexandria International",1.0,29.0,LA
10194,673.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,56.0,TX
10204,35.0,"Angoon, AK: Angoon Seaplane Base",1.0,2.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",24.0,82.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,91.0,GA
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",3.0,81.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",50.0,2690.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",200.0,13213.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",127.0,5556.0,GA
