ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",9.0,4.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",7.0,6.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",100.0,1792.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",11.0,513.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",79.0,3682.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",9.0,132.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",70.0,6287.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",6.0,151.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",1.0,125.0,TX
10136,629.0,"Abilene, TX: Abilene Regional",22.0,284.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",2.0,141.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",66.0,1789.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",30.0,793.0,TX
10139,194.0,"Ambler, AK: Ambler River",5.0,3.0,AK
10139,415.0,"Ambler, AK: Ambler River",36.0,96.0,AK
10139,416.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",57.0,97.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",12.0,39.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",188.0,17808.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",81.0,7586.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",15.0,504.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",72.0,3649.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,41.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",22.0,951.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",338.0,14683.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",37.0,1340.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,238.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,488.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",27.0,2058.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,105.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",20.0,1219.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",56.0,1155.0,SD
10141,638.0,"Aberdeen, SD: Aberdeen Regional",1.0,25.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",78.0,1397.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",287.0,957.0,MA
10155,673.0,"Waco, TX: Waco Regional",1.0,67.0,TX
10155,675.0,"Waco, TX: Waco Regional",42.0,1041.0,TX
10155,676.0,"Waco, TX: Waco Regional",22.0,635.0,TX
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",13.0,436.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",58.0,1808.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",45.0,6154.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",6.0,598.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",78.0,9952.0,NJ
10165,612.0,"Adak Island, AK: Adak",4.0,44.0,AK
10165,614.0,"Adak Island, AK: Adak",3.0,30.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",117.0,124.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",43.0,140.0,AK
10170,483.0,"Kodiak, AK: Kodiak Airport",6.0,54.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",51.0,2172.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",2.0,86.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",30.0,82.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",56.0,1438.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",1.0,17.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",107.0,2667.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",10.0,213.0,LA
10194,673.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,66.0,TX
10204,35.0,"Angoon, AK: Angoon Seaplane Base",8.0,13.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",25.0,57.0,AK
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",23.0,807.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",195.0,6976.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",24.0,963.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",49.0,1887.0,GA
10216,675.0,"Athens, GA: Athens/Ben Epps",0.0,0.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",48.0,147.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",71.0,127.0,AK
10237,406.0,"Atka, AK: Atka Airport",10.0,5.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",28.0,50.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",4.0,0.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",1.0,0.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",9.0,5.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",5.0,7.0,AK
