ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",18.0,16.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",26.0,61.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",29.0,1208.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",91.0,3688.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44.0,2586.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",165.0,10641.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56.0,2114.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",143.0,21078.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",8.0,1015.0,PA
10135,724.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,101.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",4.0,546.0,TX
10136,629.0,"Abilene, TX: Abilene Regional",58.0,1590.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",5.0,294.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",174.0,5680.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",16.0,494.0,TX
10139,194.0,"Ambler, AK: Ambler River",5.0,8.0,AK
10139,415.0,"Ambler, AK: Ambler River",63.0,225.0,AK
10139,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",70.0,259.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",33.0,140.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",340.0,44708.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",288.0,45317.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",57.0,2538.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",81.0,4429.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,331.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",156.0,10556.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",344.0,23234.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",90.0,3764.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",26.0,1554.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",91.0,12401.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",64.0,7840.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",46.0,7719.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,677.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",37.0,5867.0,NM
