ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",9.0,6.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",23.0,39.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",26.0,1110.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",140.0,4965.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",37.0,1843.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",175.0,10703.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",27.0,1074.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",111.0,13277.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,385.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",3.0,464.0,TX
10136,629.0,"Abilene, TX: Abilene Regional",49.0,1387.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",7.0,382.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",145.0,5442.0,TX
10136,676.0,"Abilene, TX: Abilene Regional",12.0,434.0,TX
10136,694.0,"Abilene, TX: Abilene Regional",1.0,148.0,TX
10136,698.0,"Abilene, TX: Abilene Regional",1.0,85.0,TX
10139,194.0,"Ambler, AK: Ambler River",4.0,1.0,AK
10139,415.0,"Ambler, AK: Ambler River",60.0,238.0,AK
10139,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",72.0,255.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",28.0,169.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",279.0,37260.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",173.0,27375.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",32.0,1499.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,725.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",194.0,13919.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",457.0,31612.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",70.0,3170.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",20.0,1355.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",18.0,2302.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",14.0,1845.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",54.0,9605.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",2.0,350.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,4924.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",27.0,4241.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",63.0,2034.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",92.0,3264.0,GA
10146,638.0,"Albany, GA: Southwest Georgia Regional",1.0,43.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",556.0,2545.0,MA
10154,416.0,"Nantucket, MA: Nantucket Memorial",24.0,68.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",27.0,143.0,MA
10154,530.0,"Nantucket, MA: Nantucket Memorial",19.0,440.0,MA
10154,629.0,"Nantucket, MA: Nantucket Memorial",8.0,162.0,MA
10154,631.0,"Nantucket, MA: Nantucket Memorial",5.0,73.0,MA
10154,673.0,"Nantucket, MA: Nantucket Memorial",2.0,12.0,MA
10154,678.0,"Nantucket, MA: Nantucket Memorial",89.0,2554.0,MA
10155,673.0,"Waco, TX: Waco Regional",4.0,227.0,TX
10155,675.0,"Waco, TX: Waco Regional",132.0,3843.0,TX
10155,676.0,"Waco, TX: Waco Regional",18.0,462.0,TX
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",8.0,1111.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",80.0,3715.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",6.0,362.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",146.0,17831.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",108.0,11674.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",1.0,192.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",97.0,12528.0,NJ
10165,612.0,"Adak Island, AK: Adak",1.0,21.0,AK
10165,614.0,"Adak Island, AK: Adak",7.0,114.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",180.0,226.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",41.0,183.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",62.0,3970.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",21.0,1089.0,AK
10184,194.0,"Allakaket, AK: Allakaket Airport",5.0,6.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",43.0,154.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",118.0,3522.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",31.0,1306.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",130.0,4152.0,LA
10185,676.0,"Alexandria, LA: Alexandria International",7.0,271.0,LA
10204,35.0,"Angoon, AK: Angoon Seaplane Base",15.0,19.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",42.0,92.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",40.0,145.0,AK
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",71.0,3756.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",240.0,15100.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",35.0,2084.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",71.0,2827.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",52.0,328.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",99.0,356.0,AK
10237,406.0,"Atka, AK: Atka Airport",12.0,20.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",76.0,167.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",8.0,3.0,AK
10241,79.0,"Akiak, AK: Akiak Airport",1.0,3.0,AK
10241,416.0,"Akiak, AK: Akiak Airport",5.0,1.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",12.0,15.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",3.0,12.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",131.0,117.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",2.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",69.0,105.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",18.0,96.0,AK
10245,612.0,"King Salmon, AK: King Salmon Airport",11.0,522.0,AK
10245,614.0,"King Salmon, AK: King Salmon Airport",4.0,108.0,AK
10245,673.0,"King Salmon, AK: King Salmon Airport",29.0,1188.0,AK
10245,888.0,"King Salmon, AK: King Salmon Airport",4.0,84.0,AK
10247,194.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",1.0,2.0,AK
10247,416.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",47.0,174.0,AK
10247,479.0,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport",22.0,46.0,AK
10257,530.0,"Albany, NY: Albany International",53.0,2466.0,NY
10257,608.0,"Albany, NY: Albany International",85.0,8481.0,NY
10257,612.0,"Albany, NY: Albany International",74.0,9549.0,NY
10257,614.0,"Albany, NY: Albany International",107.0,17241.0,NY
10257,631.0,"Albany, NY: Albany International",159.0,9912.0,NY
10257,638.0,"Albany, NY: Albany International",42.0,2634.0,NY
10257,673.0,"Albany, NY: Albany International",93.0,6619.0,NY
10257,675.0,"Albany, NY: Albany International",206.0,9596.0,NY
10257,678.0,"Albany, NY: Albany International",10.0,883.0,NY
10257,694.0,"Albany, NY: Albany International",58.0,7767.0,NY
10257,698.0,"Albany, NY: Albany International",2.0,211.0,NY
10257,699.0,"Albany, NY: Albany International",2.0,214.0,NY
10257,721.0,"Albany, NY: Albany International",3.0,408.0,NY
10257,722.0,"Albany, NY: Albany International",7.0,955.0,NY
10257,838.0,"Albany, NY: Albany International",9.0,1477.0,NY
10268,675.0,"Waterloo, IA: Waterloo Regional",30.0,958.0,IA
10272,629.0,"Alamosa, CO: San Luis Valley Regional/Bergman Field",54.0,945.0,CO
10275,482.0,"Walla Walla, WA: Walla Walla Regional",74.0,3944.0,WA
10278,35.0,"Lazy Bay, AK: Alitak Seaplane Base",4.0,1.0,AK
10278,40.0,"Lazy Bay, AK: Alitak Seaplane Base",6.0,9.0,AK
10279,612.0,"Amarillo, TX: Rick Husband Amarillo International",85.0,10556.0,TX
10279,614.0,"Amarillo, TX: Rick Husband Amarillo International",16.0,2039.0,TX
10279,629.0,"Amarillo, TX: Rick Husband Amarillo International",109.0,4489.0,TX
10279,638.0,"Amarillo, TX: Rick Husband Amarillo International",119.0,7419.0,TX
10279,673.0,"Amarillo, TX: Rick Husband Amarillo International",80.0,4856.0,TX
10279,699.0,"Amarillo, TX: Rick Husband Amarillo International",1.0,172.0,TX
10279,838.0,"Amarillo, TX: Rick Husband Amarillo International",3.0,460.0,TX
10299,194.0,"Anchorage, AK: Ted Stevens Anchorage International",30.0,124.0,AK
10299,416.0,"Anchorage, AK: Ted Stevens Anchorage International",354.0,2350.0,AK
10299,479.0,"Anchorage, AK: Ted Stevens Anchorage International",19.0,29.0,AK
10299,483.0,"Anchorage, AK: Ted Stevens Anchorage International",381.0,7375.0,AK
10299,612.0,"Anchorage, AK: Ted Stevens Anchorage International",402.0,28334.0,AK
10299,614.0,"Anchorage, AK: Ted Stevens Anchorage International",427.0,42538.0,AK
10299,622.0,"Anchorage, AK: Ted Stevens Anchorage International",59.0,7854.0,AK
10299,626.0,"Anchorage, AK: Ted Stevens Anchorage International",22.0,3458.0,AK
10299,634.0,"Anchorage, AK: Ted Stevens Anchorage International",25.0,2239.0,AK
10299,673.0,"Anchorage, AK: Ted Stevens Anchorage International",224.0,11084.0,AK
10299,699.0,"Anchorage, AK: Ted Stevens Anchorage International",1.0,104.0,AK
10299,721.0,"Anchorage, AK: Ted Stevens Anchorage International",77.0,10092.0,AK
10299,888.0,"Anchorage, AK: Ted Stevens Anchorage International",458.0,51482.0,AK
10304,35.0,"Aniak, AK: Aniak Airport",177.0,62.0,AK
10304,416.0,"Aniak, AK: Aniak Airport",81.0,53.0,AK
