DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,12339,IND,"Indianapolis, IN",IN,13487,MSP,"Minneapolis, MN",MN,631,12,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,13487,MSP,"Minneapolis, MN",MN,12339,IND,"Indianapolis, IN",IN,631,12,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12478,JFK,"New York, NY",NY,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,10154,ACK,"Nantucket, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,12,F
0.00,0.00,B6,20409,JetBlue Airways,B6,10721,BOS,"Boston, MA",MA,13303,MIA,"Miami, FL",FL,678,12,F
0.00,0.00,B6,20409,JetBlue Airways,B6,12478,JFK,"New York, NY",NY,14570,RNO,"Reno, NV",NV,699,12,F
0.00,0.00,B6,20409,JetBlue Airways,B6,13303,MIA,"Miami, FL",FL,10721,BOS,"Boston, MA",MA,678,12,F
0.00,0.00,B6,20409,JetBlue Airways,B6,14635,RSW,"Fort Myers, FL",FL,11618,EWR,"Newark, NJ",NJ,699,12,F
0.00,0.00,B6,20409,JetBlue Airways,B6,15024,STT,"Charlotte Amalie, VI",VI,12478,JFK,"New York, NY",NY,699,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11292,DEN,"Denver, CO",CO,622,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,12094,HDN,"Hayden, CO",CO,698,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13232,MDW,"Chicago, IL",IL,622,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,13303,MIA,"Miami, FL",FL,614,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14122,PIT,"Pittsburgh, PA",PA,608,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,14831,SJC,"San Jose, CA",CA,687,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10559,BFI,"Seattle, WA",WA,13796,OAK,"Oakland, CA",CA,622,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10683,BMG,"Bloomington, IN",IN,14492,RDU,"Raleigh/Durham, NC",NC,608,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10721,BOS,"Boston, MA",MA,12197,HPN,"White Plains, NY",NY,622,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10849,BZN,"Bozeman, MT",MT,14869,SLC,"Salt Lake City, UT",UT,694,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,13495,MSY,"New Orleans, LA",LA,698,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,14747,SEA,"Seattle, WA",WA,723,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11953,GNV,"Gainesville, FL",FL,12007,GTR,"Columbus, MS",MS,608,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12007,GTR,"Columbus, MS",MS,10397,ATL,"Atlanta, GA",GA,608,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12094,HDN,"Hayden, CO",CO,10397,ATL,"Atlanta, GA",GA,698,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12266,IAH,"Houston, TX",TX,10397,ATL,"Atlanta, GA",GA,626,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,14869,SLC,"Salt Lake City, UT",UT,687,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,13198,MCI,"Kansas City, MO",MO,694,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13198,MCI,"Kansas City, MO",MO,12892,LAX,"Los Angeles, CA",CA,694,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13198,MCI,"Kansas City, MO",MO,14869,SLC,"Salt Lake City, UT",UT,698,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13303,MIA,"Miami, FL",FL,11953,GNV,"Gainesville, FL",FL,608,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13486,MSO,"Missoula, MT",MT,13487,MSP,"Minneapolis, MN",MN,694,12,F
