DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,12197,HPN,"White Plains, NY",NY,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,15027,STX,"Christiansted, VI",VI,15626,VQS,"Vieques, PR",PR,125,6,F
0.00,0.00,9K,20253,Cape Air,9K,15626,VQS,"Vieques, PR",PR,15027,STX,"Christiansted, VI",VI,125,6,F
0.00,0.00,B6,20409,JetBlue Airways,B6,13204,MCO,"Orlando, FL",FL,12953,LGA,"New York, NY",NY,699,6,F
0.00,0.00,B6,20409,JetBlue Airways,B6,13487,MSP,"Minneapolis, MN",MN,10721,BOS,"Boston, MA",MA,699,6,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,699,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11648,FCA,"Kalispell, MT",MT,888,6,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10559,BFI,"Seattle, WA",WA,14112,PIE,"St. Petersburg, FL",FL,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11123,CPS,"St. Louis, MO",MO,14869,SLC,"Salt Lake City, UT",UT,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11618,EWR,"Newark, NJ",NJ,10721,BOS,"Boston, MA",MA,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11648,FCA,"Kalispell, MT",MT,10397,ATL,"Atlanta, GA",GA,888,6,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,10821,BWI,"Baltimore, MD",MD,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,11618,EWR,"Newark, NJ",NJ,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13341,MKC,"Kansas City, MO",MO,13487,MSP,"Minneapolis, MN",MN,699,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13342,MKE,"Milwaukee, WI",WI,13487,MSP,"Minneapolis, MN",MN,622,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,13341,MKC,"Kansas City, MO",MO,699,6,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14107,PHX,"Phoenix, AZ",AZ,10559,BFI,"Seattle, WA",WA,622,6,L
0.00,0.00,KO,20341,Alaska Central Express,KO,10299,ANC,"Anchorage, AK",AK,10304,ANI,"Aniak, AK",AK,405,6,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10304,ANI,"Aniak, AK",AK,10551,BET,"Bethel, AK",AK,405,6,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,6,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,6,G
0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,11057,CLT,"Charlotte, NC",NC,10654,BKW,"Beckley, WV",WV,669,6,F
0.00,0.00,LF,21635,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,LF,11057,CLT,"Charlotte, NC",NC,10654,BKW,"Beckley, WV",WV,675,6,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,11618,EWR,"Newark, NJ",NJ,698,6,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,13930,ORD,"Chicago, IL",IL,12953,LGA,"New York, NY",NY,614,6,F
0.00,0.00,VI,20426,Vieques Air Link Inc.,VI,11126,CPX,"Culebra, PR",PR,15626,VQS,"Vieques, PR",PR,131,6,F
0.00,0.00,VI,20426,Vieques Air Link Inc.,VI,15626,VQS,"Vieques, PR",PR,11126,CPX,"Culebra, PR",PR,131,6,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,13232,MDW,"Chicago, IL",IL,11884,GEG,"Spokane, WA",WA,838,6,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,14193,PNS,"Pensacola, FL",FL,11259,DAL,"Dallas, TX",TX,614,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10397,ATL,"Atlanta, GA",GA,12451,JAX,"Jacksonville, FL",FL,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10693,BNA,"Nashville, TN",TN,14730,SDF,"Louisville, KY",KY,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11049,CLL,"College Station/Bryan, TX",TX,12266,IAH,"Houston, TX",TX,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11193,CVG,"Cincinnati, OH",KY,14100,PHL,"Philadelphia, PA",PA,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11775,FSD,"Sioux Falls, SD",SD,13487,MSP,"Minneapolis, MN",MN,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12264,IAD,"Washington, DC",VA,10821,BWI,"Baltimore, MD",MD,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12264,IAD,"Washington, DC",VA,12953,LGA,"New York, NY",NY,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12448,JAN,"Jackson/Vicksburg, MS",MS,13495,MSY,"New Orleans, LA",LA,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12915,LCH,"Lake Charles, LA",LA,12266,IAH,"Houston, TX",TX,673,6,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,13303,MIA,"Miami, FL",FL,11624,EYW,"Key West, FL",FL,673,6,F
