DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11433,DTW,"Detroit, MI",MI,13485,MSN,"Madison, WI",WI,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11775,FSD,"Sioux Falls, SD",SD,13487,MSP,"Minneapolis, MN",MN,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,13485,MSN,"Madison, WI",WI,11433,DTW,"Detroit, MI",MI,631,11,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,13487,MSP,"Minneapolis, MN",MN,11775,FSD,"Sioux Falls, SD",SD,631,11,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,11,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12478,JFK,"New York, NY",NY,125,11,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,11,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,11,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,10154,ACK,"Nantucket, MA",MA,125,11,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,15624,VPS,"Valparaiso, FL",FL,694,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10721,BOS,"Boston, MA",MA,13487,MSP,"Minneapolis, MN",MN,694,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11057,CLT,"Charlotte, NC",NC,13487,MSP,"Minneapolis, MN",MN,694,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,11193,CVG,"Cincinnati, OH",KY,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,12953,LGA,"New York, NY",NY,723,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,14635,RSW,"Fort Myers, FL",FL,623,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12889,LAS,"Las Vegas, NV",NV,13487,MSP,"Minneapolis, MN",MN,698,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,14533,RIV,"Riverside, CA",CA,614,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,10721,BOS,"Boston, MA",MA,694,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,11057,CLT,"Charlotte, NC",NC,694,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,13930,ORD,"Chicago, IL",IL,723,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13851,OKC,"Oklahoma City, OK",OK,11433,DTW,"Detroit, MI",MI,622,11,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14635,RSW,"Fort Myers, FL",FL,11433,DTW,"Detroit, MI",MI,623,11,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,15624,VPS,"Valparaiso, FL",FL,10397,ATL,"Atlanta, GA",GA,694,11,F
0.00,0.00,GCH,20267,Grand Canyon Helicopters,GCH,10661,BLD,"Boulder City, NV",NV,10011,1G4,"Peach Springs, AZ",AZ,340,11,F
0.00,0.00,KO,20341,Alaska Central Express,KO,10299,ANC,"Anchorage, AK",AK,10304,ANI,"Aniak, AK",AK,405,11,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10304,ANI,"Aniak, AK",AK,10551,BET,"Bethel, AK",AK,405,11,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,11,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,11,G
0.00,0.00,KO,20341,Alaska Central Express,KO,15991,YAK,"Yakutat, AK",AK,12819,KTN,"Ketchikan, AK",AK,405,11,G
0.00,0.00,SEB,20280,"Seaborne Virgin Islands, Inc.",SEB,14843,SJU,"San Juan, PR",PR,15027,STX,"Christiansted, VI",VI,456,11,F
0.00,0.00,SEB,20280,"Seaborne Virgin Islands, Inc.",SEB,15027,STX,"Christiansted, VI",VI,14843,SJU,"San Juan, PR",PR,456,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,14635,RSW,"Fort Myers, FL",FL,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,14683,SAT,"San Antonio, TX",TX,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,15304,TPA,"Tampa, FL",FL,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,15370,TUL,"Tulsa, OK",OK,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,14027,PBI,"West Palm Beach/Palm Beach, FL",FL,12266,IAH,"Houston, TX",TX,614,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,14683,SAT,"San Antonio, TX",TX,12266,IAH,"Houston, TX",TX,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,15304,TPA,"Tampa, FL",FL,12266,IAH,"Houston, TX",TX,634,11,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,15370,TUL,"Tulsa, OK",OK,12266,IAH,"Houston, TX",TX,634,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10561,BFL,"Bakersfield, CA",CA,12892,LAX,"Los Angeles, CA",CA,673,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10693,BNA,"Nashville, TN",TN,11278,DCA,"Washington, DC",VA,673,11,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12278,ICT,"Wichita, KS",KS,13930,ORD,"Chicago, IL",IL,673,11,F
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10136,ABI,"Abilene, TX",TX,12191,HOU,"Houston, TX",TX,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,11042,CLE,"Cleveland, OH",OH,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10158,ACY,"Atlantic City, NJ",NJ,11986,GRR,"Grand Rapids, MI",MI,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10172,ADW,"Camp Springs, MD",MD,12217,HSV,"Huntsville, AL",AL,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,10397,ATL,"Atlanta, GA",GA,614,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,11259,DAL,"Dallas, TX",TX,619,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,12898,LBE,"Latrobe, PA",PA,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,13697,N1C,"Cherry Point, NC",NC,619,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,13871,OMA,"Omaha, NE",NE,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,15249,TLH,"Tallahassee, FL",FL,617,11,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10208,AGS,"Augusta, GA",GA,15412,TYS,"Knoxville, TN",TN,614,11,L
