ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10011,416.0,"Peach Springs, AZ: Grand Canyon West",8.0,67.0,AZ
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",14.0,8.0,AK
10135,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,48.0,PA
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",67.0,2352.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",79.0,4512.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",125.0,7722.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,2.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",46.0,1581.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,0.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",115.0,18609.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,274.0,PA
10135,888.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,165.0,PA
10136,614.0,"Abilene, TX: Abilene Regional",4.0,563.0,TX
10136,673.0,"Abilene, TX: Abilene Regional",6.0,372.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",145.0,5770.0,TX
10136,699.0,"Abilene, TX: Abilene Regional",1.0,161.0,TX
10139,415.0,"Ambler, AK: Ambler River",62.0,229.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",76.0,340.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",54.0,285.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",427.0,53758.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",209.0,30748.0,NM
10140,622.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,180.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",62.0,2802.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",12.0,630.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",9.0,1402.0,NM
10140,638.0,"Albuquerque, NM: Albuquerque International Sunport",52.0,3522.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",376.0,24223.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",63.0,2879.0,NM
10140,677.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,235.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",117.0,13751.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",108.0,11430.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",236.0,38406.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,485.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,383.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",25.0,3725.0,NM
10140,839.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,173.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",15.0,2219.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",63.0,1841.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",78.0,3179.0,GA
10146,631.0,"Albany, GA: Southwest Georgia Regional",1.0,34.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",348.0,1531.0,MA
10154,415.0,"Nantucket, MA: Nantucket Memorial",85.0,173.0,MA
10155,631.0,"Waco, TX: Waco Regional",1.0,62.0,TX
10155,673.0,"Waco, TX: Waco Regional",7.0,475.0,TX
10155,675.0,"Waco, TX: Waco Regional",135.0,4441.0,TX
10155,723.0,"Waco, TX: Waco Regional",1.0,109.0,TX
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",23.0,3012.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",78.0,2769.0,CA
10157,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",31.0,1475.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",74.0,3662.0,CA
10157,675.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",9.0,120.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",72.0,10883.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",160.0,20079.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",29.0,5379.0,NJ
10165,612.0,"Adak Island, AK: Adak",9.0,99.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",138.0,143.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",48.0,163.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",51.0,3878.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",10.0,925.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",48.0,230.0,AK
10184,479.0,"Allakaket, AK: Allakaket Airport",2.0,8.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",78.0,3111.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",10.0,451.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",23.0,932.0,LA
10185,675.0,"Alexandria, LA: Alexandria International",150.0,5141.0,LA
10194,449.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,25.0,TX
10194,614.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",3.0,510.0,TX
10194,673.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,74.0,TX
10194,675.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,41.0,TX
10204,35.0,"Angoon, AK: Angoon Seaplane Base",2.0,3.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",3.0,2.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",53.0,199.0,AK
10208,608.0,"Augusta, GA: Augusta Regional at Bush Field",33.0,2777.0,GA
10208,631.0,"Augusta, GA: Augusta Regional at Bush Field",29.0,1784.0,GA
10208,638.0,"Augusta, GA: Augusta Regional at Bush Field",180.0,11956.0,GA
10208,673.0,"Augusta, GA: Augusta Regional at Bush Field",60.0,3515.0,GA
10208,675.0,"Augusta, GA: Augusta Regional at Bush Field",82.0,3602.0,GA
10208,677.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,56.0,GA
10208,888.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,73.0,GA
10221,455.0,"Alliance, NE: Alliance Municipal",53.0,335.0,NE
10225,416.0,"Wainwright, AK: Wainwright Airport",79.0,288.0,AK
10237,406.0,"Atka, AK: Atka Airport",13.0,16.0,AK
10241,35.0,"Akiak, AK: Akiak Airport",46.0,103.0,AK
10241,36.0,"Akiak, AK: Akiak Airport",6.0,4.0,AK
10241,416.0,"Akiak, AK: Akiak Airport",2.0,0.0,AK
10243,79.0,"Akhiok, AK: Akhiok Airport",12.0,15.0,AK
10243,416.0,"Akhiok, AK: Akhiok Airport",4.0,5.0,AK
10245,35.0,"King Salmon, AK: King Salmon Airport",85.0,59.0,AK
10245,194.0,"King Salmon, AK: King Salmon Airport",3.0,0.0,AK
10245,406.0,"King Salmon, AK: King Salmon Airport",1.0,0.0,AK
10245,416.0,"King Salmon, AK: King Salmon Airport",62.0,43.0,AK
10245,483.0,"King Salmon, AK: King Salmon Airport",4.0,70.0,AK
10245,612.0,"King Salmon, AK: King Salmon Airport",1.0,70.0,AK
