ORIGIN_AIRPORT_ID,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10056,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",4.0,1.0,AK
10056,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",15.0,13.0,AK
10135,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56.0,2419.0,PA
10135,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4.0,200.0,PA
10135,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",157.0,9847.0,PA
10135,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5.0,253.0,PA
10135,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",5.0,217.0,PA
10135,677.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",24.0,1186.0,PA
10135,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",117.0,18133.0,PA
10135,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,298.0,PA
10136,673.0,"Abilene, TX: Abilene Regional",3.0,164.0,TX
10136,675.0,"Abilene, TX: Abilene Regional",145.0,5610.0,TX
10136,699.0,"Abilene, TX: Abilene Regional",1.0,177.0,TX
10139,405.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,415.0,"Ambler, AK: Ambler River",43.0,167.0,AK
10140,458.0,"Albuquerque, NM: Albuquerque International Sunport",73.0,333.0,NM
10140,479.0,"Albuquerque, NM: Albuquerque International Sunport",51.0,256.0,NM
10140,612.0,"Albuquerque, NM: Albuquerque International Sunport",426.0,50369.0,NM
10140,614.0,"Albuquerque, NM: Albuquerque International Sunport",570.0,78889.0,NM
10140,622.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,151.0,NM
10140,629.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,33.0,NM
10140,631.0,"Albuquerque, NM: Albuquerque International Sunport",6.0,346.0,NM
10140,634.0,"Albuquerque, NM: Albuquerque International Sunport",18.0,2180.0,NM
10140,673.0,"Albuquerque, NM: Albuquerque International Sunport",383.0,23486.0,NM
10140,675.0,"Albuquerque, NM: Albuquerque International Sunport",65.0,2714.0,NM
10140,694.0,"Albuquerque, NM: Albuquerque International Sunport",61.0,6868.0,NM
10140,698.0,"Albuquerque, NM: Albuquerque International Sunport",45.0,4744.0,NM
10140,699.0,"Albuquerque, NM: Albuquerque International Sunport",89.0,14661.0,NM
10140,721.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,193.0,NM
10140,722.0,"Albuquerque, NM: Albuquerque International Sunport",32.0,3180.0,NM
10140,838.0,"Albuquerque, NM: Albuquerque International Sunport",35.0,5027.0,NM
10140,839.0,"Albuquerque, NM: Albuquerque International Sunport",8.0,1034.0,NM
10140,888.0,"Albuquerque, NM: Albuquerque International Sunport",57.0,8064.0,NM
10141,629.0,"Aberdeen, SD: Aberdeen Regional",55.0,1965.0,SD
10146,629.0,"Albany, GA: Southwest Georgia Regional",86.0,2991.0,GA
10154,125.0,"Nantucket, MA: Nantucket Memorial",348.0,1583.0,MA
10154,479.0,"Nantucket, MA: Nantucket Memorial",20.0,103.0,MA
10155,631.0,"Waco, TX: Waco Regional",84.0,3312.0,TX
10155,675.0,"Waco, TX: Waco Regional",34.0,1187.0,TX
10157,612.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",8.0,1082.0,CA
10157,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",4.0,482.0,CA
10157,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",26.0,1191.0,CA
10157,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",92.0,5994.0,CA
10158,694.0,"Atlantic City, NJ: Atlantic City International",84.0,10786.0,NJ
10158,698.0,"Atlantic City, NJ: Atlantic City International",99.0,10400.0,NJ
10158,699.0,"Atlantic City, NJ: Atlantic City International",21.0,3708.0,NJ
10158,722.0,"Atlantic City, NJ: Atlantic City International",33.0,4999.0,NJ
10165,612.0,"Adak Island, AK: Adak",3.0,87.0,AK
10165,614.0,"Adak Island, AK: Adak",6.0,158.0,AK
10170,79.0,"Kodiak, AK: Kodiak Airport",220.0,336.0,AK
10170,416.0,"Kodiak, AK: Kodiak Airport",61.0,294.0,AK
10170,612.0,"Kodiak, AK: Kodiak Airport",35.0,3845.0,AK
10170,614.0,"Kodiak, AK: Kodiak Airport",22.0,2793.0,AK
10184,416.0,"Allakaket, AK: Allakaket Airport",33.0,151.0,AK
10185,629.0,"Alexandria, LA: Alexandria International",30.0,1316.0,LA
10185,631.0,"Alexandria, LA: Alexandria International",97.0,5039.0,LA
10185,638.0,"Alexandria, LA: Alexandria International",19.0,946.0,LA
10194,614.0,"Dallas/Fort Worth, TX: Perot Field Fort Worth Alliance",1.0,160.0,TX
10204,35.0,"Angoon, AK: Angoon Seaplane Base",25.0,44.0,AK
10204,40.0,"Angoon, AK: Angoon Seaplane Base",10.0,18.0,AK
10204,416.0,"Angoon, AK: Angoon Seaplane Base",34.0,125.0,AK
10208,629.0,"Augusta, GA: Augusta Regional at Bush Field",1.0,49.0,GA
