ORIGIN_AIRPORT_ID,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,NAME,DEPARTURES_PERFORMED,PASSENGERS,ORIGIN_STATE_ABR
10011,20424.0,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",416.0,"Peach Springs, AZ: Grand Canyon West",3.0,16.0,AZ
10056,20443.0,Island Air Service,35.0,"Kodiak Island, AK: Trident Basin Seaplane Base",2.0,4.0,AK
10056,20443.0,Island Air Service,40.0,"Kodiak Island, AK: Trident Basin Seaplane Base",39.0,71.0,AK
10135,19977.0,United Air Lines Inc.,622.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2.0,334.0,PA
10135,19977.0,United Air Lines Inc.,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,102.0,PA
10135,20046.0,Air Wisconsin Airlines Corp,629.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",61.0,2624.0,PA
10135,20304.0,SkyWest Airlines Inc.,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",1.0,69.0,PA
10135,20304.0,SkyWest Airlines Inc.,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",72.0,4548.0,PA
10135,20363.0,Endeavor Air Inc.,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",18.0,1068.0,PA
10135,20363.0,Endeavor Air Inc.,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",26.0,1598.0,PA
10135,20368.0,Allegiant Air,694.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",155.0,25687.0,PA
10135,20368.0,Allegiant Air,698.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19.0,2573.0,PA
10135,20397.0,PSA Airlines Inc.,631.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",23.0,1281.0,PA
10135,20397.0,PSA Airlines Inc.,638.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",59.0,3461.0,PA
10135,20398.0,Envoy Air,675.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",60.0,2163.0,PA
10135,20452.0,Republic Airline,673.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,0.0,PA
10135,20500.0,GoJet Airlines LLC d/b/a United Express,530.0,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3.0,113.0,PA
10136,20398.0,Envoy Air,673.0,"Abilene, TX: Abilene Regional",3.0,136.0,TX
10136,20398.0,Envoy Air,675.0,"Abilene, TX: Abilene Regional",172.0,6490.0,TX
10139,20330.0,Ryan Air f/k/a Arctic Transportation,416.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,20331.0,Bering Air Inc.,194.0,"Ambler, AK: Ambler River",2.0,0.0,AK
10139,20331.0,Bering Air Inc.,412.0,"Ambler, AK: Ambler River",1.0,0.0,AK
10139,20331.0,Bering Air Inc.,415.0,"Ambler, AK: Ambler River",59.0,279.0,AK
10140,19393.0,Southwest Airlines Co.,612.0,"Albuquerque, NM: Albuquerque International Sunport",324.0,41774.0,NM
10140,19393.0,Southwest Airlines Co.,614.0,"Albuquerque, NM: Albuquerque International Sunport",336.0,52637.0,NM
10140,19393.0,Southwest Airlines Co.,838.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,4743.0,NM
10140,19790.0,Delta Air Lines Inc.,694.0,"Albuquerque, NM: Albuquerque International Sunport",30.0,4184.0,NM
10140,19790.0,Delta Air Lines Inc.,698.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,390.0,NM
10140,19790.0,Delta Air Lines Inc.,699.0,"Albuquerque, NM: Albuquerque International Sunport",71.0,11269.0,NM
10140,19790.0,Delta Air Lines Inc.,888.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,140.0,NM
10140,19805.0,American Airlines Inc.,614.0,"Albuquerque, NM: Albuquerque International Sunport",189.0,29729.0,NM
10140,19805.0,American Airlines Inc.,698.0,"Albuquerque, NM: Albuquerque International Sunport",55.0,5729.0,NM
10140,19805.0,American Airlines Inc.,699.0,"Albuquerque, NM: Albuquerque International Sunport",5.0,756.0,NM
10140,19805.0,American Airlines Inc.,838.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,144.0,NM
10140,19930.0,Alaska Airlines Inc.,614.0,"Albuquerque, NM: Albuquerque International Sunport",15.0,2089.0,NM
10140,19930.0,Alaska Airlines Inc.,634.0,"Albuquerque, NM: Albuquerque International Sunport",3.0,468.0,NM
10140,19930.0,Alaska Airlines Inc.,694.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,134.0,NM
10140,19930.0,Alaska Airlines Inc.,839.0,"Albuquerque, NM: Albuquerque International Sunport",9.0,1414.0,NM
10140,19930.0,Alaska Airlines Inc.,888.0,"Albuquerque, NM: Albuquerque International Sunport",21.0,3361.0,NM
10140,19977.0,United Air Lines Inc.,612.0,"Albuquerque, NM: Albuquerque International Sunport",4.0,400.0,NM
10140,19977.0,United Air Lines Inc.,614.0,"Albuquerque, NM: Albuquerque International Sunport",41.0,4988.0,NM
10140,19977.0,United Air Lines Inc.,694.0,"Albuquerque, NM: Albuquerque International Sunport",73.0,9020.0,NM
10140,19977.0,United Air Lines Inc.,698.0,"Albuquerque, NM: Albuquerque International Sunport",29.0,3191.0,NM
10140,19977.0,United Air Lines Inc.,888.0,"Albuquerque, NM: Albuquerque International Sunport",9.0,1364.0,NM
10140,20304.0,SkyWest Airlines Inc.,631.0,"Albuquerque, NM: Albuquerque International Sunport",1.0,7.0,NM
10140,20304.0,SkyWest Airlines Inc.,673.0,"Albuquerque, NM: Albuquerque International Sunport",328.0,21694.0,NM
10140,20378.0,Mesa Airlines Inc.,638.0,"Albuquerque, NM: Albuquerque International Sunport",52.0,3486.0,NM
10140,20378.0,Mesa Airlines Inc.,673.0,"Albuquerque, NM: Albuquerque International Sunport",51.0,3381.0,NM
10140,20398.0,Envoy Air,673.0,"Albuquerque, NM: Albuquerque International Sunport",31.0,2016.0,NM
10140,20409.0,JetBlue Airways,694.0,"Albuquerque, NM: Albuquerque International Sunport",62.0,9470.0,NM
10140,20436.0,Frontier Airlines Inc.,722.0,"Albuquerque, NM: Albuquerque International Sunport",7.0,759.0,NM
10140,20445.0,CommuteAir LLC dba CommuteAir,675.0,"Albuquerque, NM: Albuquerque International Sunport",36.0,1647.0,NM
10140,21599.0,Boutique Air,479.0,"Albuquerque, NM: Albuquerque International Sunport",50.0,283.0,NM
10140,21894.0,"ADVANCED AIR, LLC",458.0,"Albuquerque, NM: Albuquerque International Sunport",74.0,374.0,NM
10141,20304.0,SkyWest Airlines Inc.,629.0,"Aberdeen, SD: Aberdeen Regional",62.0,1847.0,SD
10146,20363.0,Endeavor Air Inc.,629.0,"Albany, GA: Southwest Georgia Regional",78.0,2935.0,GA
10154,20253.0,Cape Air,125.0,"Nantucket, MA: Nantucket Memorial",516.0,2779.0,MA
10154,20363.0,Endeavor Air Inc.,631.0,"Nantucket, MA: Nantucket Memorial",96.0,5233.0,MA
10154,20363.0,Endeavor Air Inc.,638.0,"Nantucket, MA: Nantucket Memorial",22.0,1265.0,MA
10154,20409.0,JetBlue Airways,678.0,"Nantucket, MA: Nantucket Memorial",207.0,11980.0,MA
10154,20452.0,Republic Airline,673.0,"Nantucket, MA: Nantucket Memorial",102.0,6107.0,MA
10154,20500.0,GoJet Airlines LLC d/b/a United Express,530.0,"Nantucket, MA: Nantucket Memorial",100.0,3944.0,MA
10154,21080.0,Tradewind Aviation,479.0,"Nantucket, MA: Nantucket Memorial",158.0,948.0,MA
10154,21618.0,"Southern Airways Express, dba Mokulele Airlines",415.0,"Nantucket, MA: Nantucket Memorial",135.0,604.0,MA
10155,20398.0,Envoy Air,673.0,"Waco, TX: Waco Regional",3.0,124.0,TX
10155,20398.0,Envoy Air,675.0,"Waco, TX: Waco Regional",138.0,4396.0,TX
10155,20398.0,Envoy Air,677.0,"Waco, TX: Waco Regional",1.0,13.0,TX
10157,20207.0,TEM Enterprises dba  Avelo Airlines,614.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",13.0,1930.0,CA
10157,20304.0,SkyWest Airlines Inc.,629.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",93.0,4462.0,CA
10157,20304.0,SkyWest Airlines Inc.,631.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",30.0,1424.0,CA
10157,20304.0,SkyWest Airlines Inc.,673.0,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",53.0,3234.0,CA
10158,20409.0,JetBlue Airways,694.0,"Atlantic City, NJ: Atlantic City International",2.0,308.0,NJ
10158,20416.0,Spirit Air Lines,694.0,"Atlantic City, NJ: Atlantic City International",113.0,14518.0,NJ
