DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12478,JFK,"New York, NY",NY,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,13541,MVY,"Martha's Vineyard, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,10721,BOS,"Boston, MA",MA,14321,PWM,"Portland, ME",ME,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,11126,CPX,"Culebra, PR",PR,14843,SJU,"San Juan, PR",PR,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,10154,ACK,"Nantucket, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12478,JFK,"New York, NY",NY,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,14321,PWM,"Portland, ME",ME,10721,BOS,"Boston, MA",MA,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,14843,SJU,"San Juan, PR",PR,11126,CPX,"Culebra, PR",PR,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,15027,STX,"Christiansted, VI",VI,15626,VQS,"Vieques, PR",PR,125,8,F
0.00,0.00,9K,20253,Cape Air,9K,15626,VQS,"Vieques, PR",PR,15027,STX,"Christiansted, VI",VI,125,8,F
0.00,0.00,B6,20409,JetBlue Airways,B6,12889,LAS,"Las Vegas, NV",NV,12892,LAX,"Los Angeles, CA",CA,699,8,F
0.00,0.00,KO,20341,Alaska Central Express,KO,10299,ANC,"Anchorage, AK",AK,10304,ANI,"Aniak, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,10304,ANI,"Aniak, AK",AK,10551,BET,"Bethel, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,12321,ILI,"Iliamna, AK",AK,14273,PTH,"Port Heiden, AK",AK,405,8,G
0.00,0.00,KO,20341,Alaska Central Express,KO,14273,PTH,"Port Heiden, AK",AK,10299,ANC,"Anchorage, AK",AK,405,8,G
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,10613,BID,"Block Island, RI",RI,15855,WST,"Westerly, RI",RI,079,8,F
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,15855,WST,"Westerly, RI",RI,10613,BID,"Block Island, RI",RI,079,8,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,10849,BZN,"Bozeman, MT",MT,13930,ORD,"Chicago, IL",IL,698,8,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,13930,ORD,"Chicago, IL",IL,10849,BZN,"Bozeman, MT",MT,698,8,F
0.00,0.00,WN,19393,Southwest Airlines Co.,WN,15370,TUL,"Tulsa, OK",OK,13232,MDW,"Chicago, IL",IL,838,8,F
0.00,0.00,YX,20452,Republic Airline,YX,10423,AUS,"Austin, TX",TX,11618,EWR,"Newark, NJ",NJ,677,8,F
0.00,0.00,YX,20452,Republic Airline,YX,10529,BDL,"Hartford, CT",CT,10154,ACK,"Nantucket, MA",MA,673,8,F
0.00,0.00,YX,20452,Republic Airline,YX,11298,DFW,"Dallas/Fort Worth, TX",TX,12264,IAD,"Washington, DC",VA,677,8,F
0.00,0.00,YX,20452,Republic Airline,YX,11618,EWR,"Newark, NJ",NJ,10423,AUS,"Austin, TX",TX,677,8,F
0.00,0.00,YX,20452,Republic Airline,YX,12264,IAD,"Washington, DC",VA,10785,BTV,"Burlington, VT",VT,677,8,F
0.00,0.00,YX,20452,Republic Airline,YX,12264,IAD,"Washington, DC",VA,10792,BUF,"Buffalo, NY",NY,673,8,F
0.00,0.00,YX,20452,Republic Airline,YX,12264,IAD,"Washington, DC",VA,11298,DFW,"Dallas/Fort Worth, TX",TX,677,8,F
0.00,0.00,YX,20452,Republic Airline,YX,12264,IAD,"Washington, DC",VA,11618,EWR,"Newark, NJ",NJ,673,8,F
0.00,0.00,YX,20452,Republic Airline,YX,14683,SAT,"San Antonio, TX",TX,13930,ORD,"Chicago, IL",IL,673,8,F
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,13487,MSP,"Minneapolis, MN",MN,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10185,AEX,"Alexandria, LA",LA,14683,SAT,"San Antonio, TX",TX,617,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10466,AZA,"Phoenix, AZ",AZ,11259,DAL,"Dallas, TX",TX,614,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10466,AZA,"Phoenix, AZ",AZ,11726,FOE,"Topeka, KS",KS,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10466,AZA,"Phoenix, AZ",AZ,13303,MIA,"Miami, FL",FL,617,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10466,AZA,"Phoenix, AZ",AZ,13796,OAK,"Oakland, CA",CA,614,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10874,CAK,"Akron, OH",OH,11259,DAL,"Dallas, TX",TX,614,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11259,DAL,"Dallas, TX",TX,10466,AZA,"Phoenix, AZ",AZ,614,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11259,DAL,"Dallas, TX",TX,12889,LAS,"Las Vegas, NV",NV,614,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11618,EWR,"Newark, NJ",NJ,13303,MIA,"Miami, FL",FL,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11726,FOE,"Topeka, KS",KS,11995,GSO,"Greensboro/High Point, NC",NC,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11979,GRF,"Tacoma, WA",WA,10599,BHM,"Birmingham, AL",AL,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11982,GRK,"Killeen, TX",TX,14683,SAT,"San Antonio, TX",TX,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11995,GSO,"Greensboro/High Point, NC",NC,10185,AEX,"Alexandria, LA",LA,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11995,GSO,"Greensboro/High Point, NC",NC,10466,AZA,"Phoenix, AZ",AZ,619,8,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,11995,GSO,"Greensboro/High Point, NC",NC,10874,CAK,"Akron, OH",OH,617,8,L
