DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,11953,GNV,"Gainesville, FL",FL,638,7,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11953,GNV,"Gainesville, FL",FL,10397,ATL,"Atlanta, GA",GA,638,7,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12478,JFK,"New York, NY",NY,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,13541,MVY,"Martha's Vineyard, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,10721,BOS,"Boston, MA",MA,14321,PWM,"Portland, ME",ME,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,11126,CPX,"Culebra, PR",PR,14843,SJU,"San Juan, PR",PR,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,10154,ACK,"Nantucket, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,10154,ACK,"Nantucket, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12478,JFK,"New York, NY",NY,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,14321,PWM,"Portland, ME",ME,10721,BOS,"Boston, MA",MA,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,14843,SJU,"San Juan, PR",PR,11126,CPX,"Culebra, PR",PR,125,7,F
0.00,0.00,9K,20253,Cape Air,9K,15027,STX,"Christiansted, VI",VI,15626,VQS,"Vieques, PR",PR,125,7,F
