DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10397,ATL,"Atlanta, GA",GA,10980,CHA,"Chattanooga, TN",TN,631,9,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,10980,CHA,"Chattanooga, TN",TN,10397,ATL,"Atlanta, GA",GA,631,9,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11003,CID,"Cedar Rapids/Iowa City, IA",IA,11433,DTW,"Detroit, MI",MI,631,9,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,12323,ILM,"Wilmington, NC",NC,10397,ATL,"Atlanta, GA",GA,631,9,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10994,CHS,"Charleston, SC",SC,12264,IAD,"Washington, DC",VA,675,9,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10994,CHS,"Charleston, SC",SC,12266,IAH,"Houston, TX",TX,675,9,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,12266,IAH,"Houston, TX",TX,10994,CHS,"Charleston, SC",SC,675,9,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10216,AHN,"Athens, GA",GA,11111,COU,"Columbia, MO",MO,608,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,10216,AHN,"Athens, GA",GA,608,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10397,ATL,"Atlanta, GA",GA,11193,CVG,"Cincinnati, OH",KY,626,9,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10559,BFI,"Seattle, WA",WA,14908,SNA,"Santa Ana, CA",CA,622,9,L
